rank,name,url,score,criteria_score,mod_adj,completeness,uncertainty,pop_risk,primary_driver,c1,c2,c3,c4,c5,c6,c7,rationale
1,CONSUL Democracy,https://consulproject.org,84.3,84.3,0,0.95,LOW,HIGH,criteria,13,20,20,4,11,12,6,"CONSUL Democracy has real government partnerships (Madrid, Munich, Aarhus, UNDP, Inter-American Development Bank) — that's exactly the kind of deployment evidence I weight heavily. Primary driver: open source and community governance at 20 points. Popularity risk is HIGH — this is a well-known project and I hold the score more loosely because of how well-documented it is."
2,LiquidFeedback,https://liquidfeedback.com,83.5,75.5,8,0.9,LOW,MEDIUM,criteria,4,20,18,6,11,12,6,"LiquidFeedback has real government partnerships (European Commission, NIMD (Netherlands Institute for Multiparty Democracy)) — that's exactly the kind of deployment evidence I weight heavily. Primary driver: open source and community governance at 20 points."
3,Decidim,https://decidim.org,81.6,70.6,11,0.9,LOW,HIGH,criteria,7,20,18,4,11,6,6,"Decidim has real government partnerships (City Council of Barcelona, European Commission, French Senate, City of Helsinki,) — that's exactly the kind of deployment evidence I weight heavily. The community governance model (Decidim Free Software Association (democratic governance)) earned a strong modifier boost of +11. Popularity risk is HIGH — this is a well-known project and I hold the score more loosely because of how well-documented it is."
4,Cobudget,https://cobudget.com,75.6,67.6,8,0.85,LOW,MEDIUM,criteria,2,18,18,4,11,10,6,Cobudget has real government partnerships (Partnerships with local organizations and community groups in deployed countries) — that's exactly the kind of deployment evidence I weight heavily. Primary driver: open source and community governance at 18 points.
5,Your Priorities,https://yrpri.org,74.5,74.5,0,0.9,LOW,HIGH,criteria,13,12,18,6,11,10,6,Your Priorities has real government partnerships (Multiple government and local authorities) — that's exactly the kind of deployment evidence I weight heavily. Primary driver: making government processes legible at 18 points. Popularity risk is HIGH — this is a well-known project and I hold the score more loosely because of how well-documented it is.
6,Fairbnb.coop,https://fairbnb.coop,73.8,57.8,16,0.95,LOW,MEDIUM,criteria,2,12,14,4,11,12,4,Fairbnb.coop has real government partnerships (City of Bologna (Italy) - local tourism partnership) — that's exactly the kind of deployment evidence I weight heavily. The community governance model (True) earned a strong modifier boost of +16.
7,mySociety Datasets and APIs,https://data.mysociety.org,73.6,68.6,5,0.9,LOW,HIGH,criteria,0,20,20,6,8,10,6,"mySociety Datasets and APIs has real government partnerships (UK Parliament, UK Cabinet Office, European Commission, Multiple local authoritie) — that's exactly the kind of deployment evidence I weight heavily. Primary driver: open source and community governance at 20 points. Popularity risk is HIGH — this is a well-known project and I hold the score more loosely because of how well-documented it is."
8,Mastodon,https://github.com/mastodon/mastodon,73.6,68.6,5,0.9,LOW,HIGH,criteria,12,16,7,6,11,12,6,"Mastodon has real government partnerships (EU institutions exploring Mastodon for official communications (2023-2024), Japa) — that's exactly the kind of deployment evidence I weight heavily. Primary driver: open source and community governance at 16 points. Popularity risk is HIGH — this is a well-known project and I hold the score more loosely because of how well-documented it is."
9,CiviCRM,https://civicrm.org,73.5,73.5,0,0.9,LOW,MEDIUM,criteria,4,20,20,4,11,10,6,CiviCRM has real government partnerships (Partnerships with local government agencies and public sector organizations usin) — that's exactly the kind of deployment evidence I weight heavily. Primary driver: open source and community governance at 20 points.
10,CommunityRule,https://communityrule.info,72.5,72.5,0,0.9,LOW,MEDIUM,criteria,7,20,16,4,11,10,6,CommunityRule has real government partnerships (Partnerships with local government innovation labs) — that's exactly the kind of deployment evidence I weight heavily. Primary driver: open source and community governance at 20 points.
11,Bonfire,https://bonfirenetworks.org,71.7,63.7,8,0.75,LOW,LOW,criteria,7,20,13,4,5,12,4,Bonfire is deployed in global — genuine cross-jurisdictional reach with real users. Primary driver: open source and community governance at 20 points.
12,Loomio,https://www.loomio.org,71.7,63.7,8,0.85,LOW,HIGH,criteria,0,20,20,2,11,6,6,Loomio has real government partnerships (New Zealand local government pilots) — that's exactly the kind of deployment evidence I weight heavily. Primary driver: open source and community governance at 20 points. Popularity risk is HIGH — this is a well-known project and I hold the score more loosely because of how well-documented it is.
13,Polis,https://github.com/compdemocracy/polis,70.6,70.6,0,0.9,LOW,HIGH,criteria,5,16,20,6,11,8,6,"Polis has real government partnerships (Taiwan Executive Yuan (vTaiwan), UNDP) — that's exactly the kind of deployment evidence I weight heavily. Primary driver: making government processes legible at 20 points. Popularity risk is HIGH — this is a well-known project and I hold the score more loosely because of how well-documented it is."
14,Ushahidi,https://www.ushahidi.com,70.6,70.6,0,0.9,LOW,HIGH,criteria,7,14,18,6,11,10,6,"Ushahidi has real government partnerships (Kenyan government (election monitoring), Various local government agencies for c) — that's exactly the kind of deployment evidence I weight heavily. Primary driver: making government processes legible at 18 points. Popularity risk is HIGH — this is a well-known project and I hold the score more loosely because of how well-documented it is."
15,OpenCRVS,https://www.opencrvs.org,69.7,64.7,5,0.9,LOW,HIGH,criteria,5,14,14,4,11,12,6,"OpenCRVS is genuinely open source with an active GitHub presence, which earns solid marks on Criterion 2. But I don't see strong evidence of accessibility for excluded communities specifically — the users seem to be professionals or already-engaged groups."
16,Ethelo,https://ethelo.com,69.6,69.6,0,0.95,LOW,MEDIUM,criteria,12,10,18,4,11,12,4,Ethelo — The world's leading group solutions technology — a multi-party scenario analysis engine that finds f — speaks to several of my criteria. The making government processes legible criterion at 18 points is doing most of the work here.
17,adhocracy+,https://adhocracy.plus,68.6,68.6,0,0.9,LOW,HIGH,criteria,7,20,16,4,11,10,2,"adhocracy+ is genuinely open source with an active GitHub presence, which earns solid marks on Criterion 2. But I don't see strong evidence of accessibility for excluded communities specifically — the users seem to be professionals or already-engaged groups."
18,Alaveteli,https://alaveteli.org,68.6,68.6,0,0.85,LOW,HIGH,criteria,7,18,20,4,8,9,4,"Alaveteli is genuinely open source with an active GitHub presence, which earns solid marks on Criterion 2. But I don't see strong evidence of accessibility for excluded communities specifically — the users seem to be professionals or already-engaged groups."
19,Fundación Ciudadanía Inteligente,https://ciudadaniai.org,68.6,68.6,0,0.9,LOW,MEDIUM,criteria,7,14,20,4,11,10,4,Fundación Ciudadanía Inteligente — Latin American organization fighting for the transformation of democracies through civic technology  — speaks to several of my criteria. But I don't see strong evidence of accessibility for excluded communities specifically — the users seem to be professionals or already-engaged groups.
20,Constitute Project,https://constituteproject.org,68.6,68.6,0,0.9,LOW,MEDIUM,criteria,7,16,18,4,11,8,6,"Constitute Project is genuinely open source with an active GitHub presence, which earns solid marks on Criterion 2. But I don't see strong evidence of accessibility for excluded communities specifically — the users seem to be professionals or already-engaged groups."
21,Open Data Editor (ODE),https://okfn.org/en/projects/open-data-editor,68.6,68.6,0,1.0,LOW,HIGH,criteria,7,16,14,4,11,12,6,"Open Data Editor (ODE) is genuinely open source with an active GitHub presence, which earns solid marks on Criterion 2. But I don't see strong evidence of accessibility for excluded communities specifically — the users seem to be professionals or already-engaged groups."
22,Creative Commons,https://creativecommons.org,67.8,59.8,8,0.9,LOW,HIGH,criteria,2,12,14,4,11,12,6,"Creative Commons — CC empowers individuals and communities around the world through technical, legal, and policy soluti — speaks to several of my criteria. But I don't see strong evidence of accessibility for excluded communities specifically — the users seem to be professionals or already-engaged groups."
23,Internet Archive Wayback Machine,https://web.archive.org,66.8,58.8,8,1.0,LOW,HIGH,criteria,0,16,13,6,11,8,6,"Internet Archive Wayback Machine is genuinely open source with an active GitHub presence, which earns solid marks on Criterion 2. But I don't see strong evidence of accessibility for excluded communities specifically — the users seem to be professionals or already-engaged groups."
24,Open Supply Hub,https://opensupplyhub.org,65.7,65.7,0,0.9,LOW,HIGH,criteria,2,16,18,4,11,10,6,"Open Supply Hub is genuinely open source with an active GitHub presence, which earns solid marks on Criterion 2. But I don't see strong evidence of accessibility for excluded communities specifically — the users seem to be professionals or already-engaged groups."
