rank,name,url,score,criteria_score,modifier_adj,completeness,uncertainty,pop_risk,primary_driver,rationale
1,Turkopticon,https://turkopticon.ucsd.edu,86.6,53,22,0.7,MEDIUM,NONE,criteria,"Turkopticon is exactly what this constitution rewards: a cooperative worker-led platform that names the specific mechanism of exclusion (Amazon's platform labour conditions stripping gig workers of ordinary employment protections) and builds infrastructure for affected workers to document, share, and act collectively. What limits a perfect score is the bounded domain and Amazon's practical ability to ignore advocacy without commensurate enforcement mechanisms."
2,Security First / Umbrella,https://secfirst.org,70.3,47,13,0.7,MEDIUM,NONE,criteria,"The Umbrella app sits at the intersection of my deepest concerns — specifically named high-risk populations (activists, journalists, human rights defenders in conflict zones) facing the most acute surveillance power asymmetries, with documented adoption by press freedom organisations as evidence the tool reaches them. What holds it back is thin evidence of participatory lifecycle engagement: I see adoption but not co-design with the communities it protects."
3,SecureDrop,https://securedrop.org,67.3,47,10,0.7,MEDIUM,HIGH,criteria,"SecureDrop builds a formal mechanism — anonymous cryptographically protected whistleblower submission — that structurally changes the power position of people with information about institutional wrongdoing; the power asymmetry is as named and significant as it gets. The score is constrained by modest participatory engagement with affected populations and reliance on technical infrastructure (Tor, staff-maintained installations) that limits access for non-technical whistleblowers."
4,Parti,https://parti.xyz,65.7,44,12,0.6,MEDIUM,NONE,criteria,"Parti's integration into South Korean municipal participatory budgeting — with 200,000+ registered users allocating public funds including 5 billion won in Incheon — puts it at the empowers end of the democratic depth spectrum, which my constitution weights heavily. The dossier's English-language gaps and thin documentation of whether PB in South Korea actually reaches excluded communities (or primarily serves engaged middle-class citizens) stops it from scoring higher on C2."
5,Riseup,https://riseup.net,65.3,47,8,0.6,MEDIUM,NONE,criteria,"Riseup frames its work as liberatory social change and provides activist organisations with secure communications infrastructure specifically to protect against state surveillance — a structural rather than informational power correction. The medium C4 score reflects limited documented examination of whether Riseup's own operational choices (volunteer capacity constraints, service disruptions) reproduce the insecurity they claim to resist."
6,The Circuit,https://thecircuit.cc,61.0,41,11,0.7,LOW,MEDIUM,criteria,"The Circuit makes racial disparity in Cook County courts visible through 3 million cases — naming the mechanism (judicial discretion producing racially differentiated outcomes) and the specific populations (Black defendants, public defenders navigating the system). The intra-class analysis of the court ecosystem earns M7 credit. What stops it ranking higher is that collaborative journalism operates at the informs end of democratic depth: the project exposes rather than redistributes power over sentencing outcomes."
7,OpenProcurement,https://openprocurement.io,57.6,39,10,0.7,MEDIUM,NONE,criteria,"OpenProcurement's deployment as ProZorro in Ukraine produced $6 billion in documented procurement savings and direct anti-corruption outcomes, making this one of the strongest examples of a project that structurally corrects a significant power asymmetry rather than just making it visible. The score is limited by thin evidence of how civil society watchdogs were engaged in design and whether the transparency mechanism gives excluded suppliers genuine contestability rights."
8,Principles for Public Participation in Procurement of AI,https://p4ai.net,57.2,42,6,0.6,MEDIUM,NONE,criteria,This framework directly addresses the governance gap I care about most — who gets to shape the decision to deploy AI in public services. The multi-stakeholder methodology and documented influence on EU AI Act procurement guidelines suggest genuine policy traction. What it lacks is specific evidence of excluded community involvement in designing the principles: the framework centres policymakers and civil society rather than those whose lives will be administered by the AI being procured.
9,One Project,https://oneproject.org/,56.8,40,8,0.5,MEDIUM,NONE,criteria,"One Project's explicit framing around economic democracy — building infrastructure to connect participatory funds, community-led organisations, and solidarity economy networks — puts it firmly at the collaborates end of democratic depth, and the Horizon Fund's tracking of underrepresented communities demonstrates some attention to class dynamics. The thin outcome methodology and absence of documented limitations make it hard to assess whether the infrastructure actually redistributes economic decision-making to excluded communities."
10,Strike Map,https://strikemap.org,55.6,39,8,0.6,MEDIUM,NONE,criteria,Strike Map documents collective worker action and makes labour solidarity visible and searchable — serving a documentation function that helps workers in disputes understand patterns across industries. The community reporting model and explicit disclaimer about coverage gaps show epistemic humility. What would elevate it further is evidence of how the map feeds back into worker organising rather than primarily serving researchers and journalists.
11,Talk to the City,https://talktothecity.org,55.0,41,5,0.7,MEDIUM,MEDIUM,criteria,"The Silent Cry deployment for reentry challenges of formerly incarcerated people, alongside the Taiwan AI Assembly's 2,000-opinion deliberation, shows Talk to the City operating across populations and democratic contexts that score well on C2 and C6. What limits the score is insufficient evidence that the AI summaries actually shift institutional decisions rather than producing inputs absorbed into existing governance without changing power."
12,Sci-Hub,https://sci-hub.se,54.6,39,7,0.6,MEDIUM,HIGH,modifier,"Sci-Hub is the most direct epistemic power asymmetry correction in this batch: it removes a specific named barrier (publisher paywall monopoly) that systematically excludes researchers in low-income countries from publicly-funded knowledge. The individual operation, legal precarity, and absence of participatory design are real limitations; I weight them less heavily than the structural correction it achieves in practice for the researchers most excluded."
