project_url,project_name,criterion,evidence_field,evidence_value,interpretation,score,max_score,justification
https://github.com/g0v/vue.vtaiwan.tw,vTaiwan,C1,political_relevance_summary,Formal gov consultation platform used in Uber/ShareLaw regulations,Direct legislative power asymmetry correction,11,12,Formal state mechanism; documented policy outcomes reduce power gap
https://github.com/g0v/vue.vtaiwan.tw,vTaiwan,C2,communities_served,Citizens in formal consultation processes; underrepresented civic voices,Named populations in named exclusion mechanism (locked out of legislation),9,20,Moderate: general public centering but named mechanisms present
https://github.com/g0v/vue.vtaiwan.tw,vTaiwan,C3,governance_model,Polis-based open consultation; g0v volunteer infrastructure,Multi-stage participatory design across project lifecycle,10,12,Strong: community co-design with civil society documented
https://github.com/g0v/vue.vtaiwan.tw,vTaiwan,C4,outcome_methodology,Transparent opinion clustering; public deliberation logs,Critical self-examination of power in consultation design,9,20,Strong: explicit structural critique embedded in methodology
https://github.com/g0v/vue.vtaiwan.tw,vTaiwan,C5,underdog_signal,g0v civic tech volunteer network; counter-hegemonic origin,Structural underdog signal present,3,6,Moderate: g0v origin is civic counter-power but state adoption dilutes signal
https://github.com/g0v/vue.vtaiwan.tw,vTaiwan,C6,governance_model,Formal legislative consultation — triggers binding policy review,IAP2 ladder: collaborates/empowers level,11,12,Highest tier: formal state binding mechanism
https://github.com/g0v/vue.vtaiwan.tw,vTaiwan,M1,political_relevance_summary,Formal legislative consultation with documented policy outcomes,+10: structural power asymmetry correction via formal state mechanism,+10,,M1 applied at upper range
https://github.com/g0v/vue.vtaiwan.tw,vTaiwan,M5,governance_model,Multi-stage g0v community engagement documented,+6: multi-stage lifecycle community engagement,+6,,M5 applied
https://guardianproject.info,Guardian Project,C1,political_relevance_summary,Secure comms for journalists/activists in repressive regimes,Direct correction of surveillance power asymmetry,10,12,Strong: addresses structural surveillance asymmetry for high-risk populations
https://guardianproject.info,Guardian Project,C2,communities_served,Journalists; activists; human rights defenders in repressive states,Named populations with named exclusion mechanism (state surveillance),14,20,Strong: explicit named populations and named threat mechanism
https://guardianproject.info,Guardian Project,C3,governance_model,Open source; civil society partnerships; activist co-design,Participatory design with target communities,8,12,Good: community involvement documented but lifecycle scope unclear
https://guardianproject.info,Guardian Project,C4,documented_limitations,Threat model transparency; limitations on state-actor adversaries documented,Critical self-examination of power limits,9,20,Moderate-strong: explicit threat model honesty
https://guardianproject.info,Guardian Project,C5,underdog_signal,Non-profit; counter-surveillance mission; primarily serves persecuted populations,Structural underdog signal strong,3,6,Moderate: non-profit counter-surveillance but institutionally stable
https://guardianproject.info,Guardian Project,C6,governance_model,Tool provision for activists to act autonomously vs state power,IAP2 ladder: empowers level,7,12,Strong democratic type: empowers excluded to act
https://guardianproject.info,Guardian Project,M1,communities_served,Structural correction of surveillance power for repressive regime targets,+10: structural power asymmetry correction,+10,,M1 applied
https://guardianproject.info,Guardian Project,M3,communities_served,Named populations facing named repression mechanisms,+6: named excluded populations by named exclusion mechanism,+6,,M3 applied
https://github.com/podemos-info/participa,Participa (Podemos),C1,political_relevance_summary,Binding participation for 500k+ Podemos members; 30+ binding decisions,Formal structural redistribution of decision-making authority,9,12,Strong: formal binding mechanism at scale
https://github.com/podemos-info/participa,Participa (Podemos),C2,communities_served,Party members; working class political participants,Named populations with participatory access mechanism,10,20,Moderate: named populations but party membership limits scope
https://github.com/podemos-info/participa,Participa (Podemos),C3,governance_model,Member-designed platform; iterative co-development with Podemos base,Multi-stage participatory design,9,12,Good: documented member involvement in design
https://github.com/podemos-info/participa,Participa (Podemos),C4,outcome_methodology,Transparent voting records; deliberation logs; accountability mechanisms,Critical self-examination embedded in design,7,20,Moderate: transparency but limited self-critique of power within party
https://github.com/podemos-info/participa,Participa (Podemos),C5,underdog_signal,Podemos origin as counter-establishment party; member-owned,Structural underdog signal present,4,6,Good: counter-establishment origin clear
https://github.com/podemos-info/participa,Participa (Podemos),C6,governance_model,Binding member votes on party policy — formal empowerment mechanism,IAP2 ladder: empowers level,11,12,Highest tier: formal binding democratic mechanism
https://github.com/podemos-info/participa,Participa (Podemos),M1,governance_model,Formal binding democratic mechanism for 500k+ members,+9: structural power redistribution at scale,+9,,M1 applied
https://github.com/stanfordcdt/pb,Stanford PB Platform,C1,political_relevance_summary,Participatory budgeting giving citizens formal budget decision authority,Formal power redistribution over resource allocation,8,12,Strong: formal citizen authority over budget
https://github.com/stanfordcdt/pb,Stanford PB Platform,C2,communities_served,Community members in PB processes; historically excluded from budget decisions,Named populations in named exclusion mechanism,8,20,Moderate: named populations but platform-neutral by design
https://github.com/stanfordcdt/pb,Stanford PB Platform,C3,outcome_methodology,Multi-city deployment; community facilitator model,Participatory design across project lifecycle,8,12,Good: documented multi-stage engagement model
https://github.com/stanfordcdt/pb,Stanford PB Platform,C4,documented_limitations,PB equity concerns acknowledged; power dynamics of facilitation documented,Critical self-examination present,6,20,Moderate: some self-critique but limited depth
https://github.com/stanfordcdt/pb,Stanford PB Platform,C5,underdog_signal,Academic origin; equity-focused PB model,Moderate underdog signal,3,6,Moderate: equity framing but academic/institutional origin
https://github.com/stanfordcdt/pb,Stanford PB Platform,C6,governance_model,Citizens vote on budget allocation — formal empowerment,IAP2 ladder: empowers level,11,12,Strong democratic type: formal citizen budget authority
https://github.com/stanfordcdt/pb,Stanford PB Platform,M1,governance_model,Formal citizen budget decision authority,+8: structural power redistribution,+8,,M1 applied
https://github.com/stanfordcdt/pb,Stanford PB Platform,M5,outcome_methodology,Multi-city deployment with documented community facilitation,+4: multi-stage lifecycle community engagement,+4,,M5 applied
https://github.com/huridocs,HURIDOCS,C1,political_relevance_summary,Human rights documentation for accountability; enables formal legal processes,Epistemic redress for suppressed testimony,10,12,Strong: enables formal accountability mechanisms
https://github.com/huridocs,HURIDOCS,C2,communities_served,Survivors; witnesses; human rights victims; suppressed testimony holders,Named populations with named documentation exclusion mechanism,12,20,Strong: explicit named populations and named suppression mechanism
https://github.com/huridocs,HURIDOCS,C3,governance_model,NGO partnerships; community documentation training,Participatory engagement with testimony communities,8,12,Good: documented community training but lifecycle depth unclear
https://github.com/huridocs,HURIDOCS,C4,documented_limitations,Trauma-informed documentation limitations; adversarial context awareness,Critical self-examination of power in documentation,9,20,Moderate-strong: explicit limits documented
https://github.com/huridocs,HURIDOCS,C5,underdog_signal,Non-profit; serves persecuted/suppressed communities,Structural underdog signal present,0,6,Weak: institutionally stable; signal diluted by NGO-sector positioning
https://github.com/huridocs,HURIDOCS,C6,governance_model,Enables formal accountability processes and legal documentation,IAP2 ladder: empowers level,8,12,Strong: empowers testimony holders in formal processes
