rank,name,url,score,criteria,mod_adj,completeness,uncertainty,pop_risk,primary_driver,rationale
1,Ushahidi,https://www.ushahidi.com,95.1,75.1,20,1.0,LOW,HIGH,modifier,
2,Interoperable Deliberative Tools,https://metagov.org/projects/interop,93.1,73.1,20,1.0,LOW,LOW,modifier,
3,Fundación Ciudadanía Inteligente,https://ciudadaniai.org,92.9,72.9,20,1.0,LOW,LOW,modifier,
4,Open Digital Planning,https://opendigitalplanning.org,89.5,72.5,17,1.0,LOW,LOW,modifier,
5,Open Ownership,https://www.openownership.org,85.8,69.8,16,1.0,LOW,LOW,modifier,
6,mySociety Datasets and APIs,https://data.mysociety.org,85.3,65.3,20,1.0,LOW,HIGH,modifier,
7,AlgorithmWatch,https://algorithmwatch.org,84.6,71.6,13,1.0,LOW,LOW,modifier,
8,Open Contracting Partnership,https://www.open-contracting.org,83.2,71.2,12,1.0,LOW,HIGH,modifier,
9,Humanitarian OpenStreetMap Team (HOT),https://www.hotosm.org,82.2,70.2,12,1.0,LOW,HIGH,modifier,
10,Open Supply Hub,https://opensupplyhub.org,80.2,68.2,12,0.93,LOW,HIGH,modifier,
11,Open Standards for Data Guidebook,https://standards.theodi.org,78.6,69.6,9,1.0,LOW,LOW,modifier,
12,Aragon,https://aragon.org,78.4,62.4,16,0.93,LOW,LOW,modifier,
13,ODK (Open Data Kit),https://getodk.org,78.4,62.4,16,0.93,LOW,HIGH,modifier,
14,arXiv,https://arxiv.org,76.3,64.3,12,1.0,LOW,LOW,modifier,
15,Framework for Meaningful Engagement 2.0,https://ecnl.org/publications/framework-meaningful-engagement-20?mc_cid=b1c5158063&mc_eid=a09c64ec38,76.1,64.1,12,0.87,LOW,LOW,modifier,
16,Open Heart Mind (OHM),https://openheartmind.org,75.7,63.7,12,1.0,LOW,HIGH,modifier,
17,Participedia,https://participedia.net,75.7,66.7,9,0.93,LOW,LOW,modifier,
18,Parti,https://parti.xyz,75.1,63.1,12,0.93,LOW,LOW,modifier,
19,Activist Handbook,https://activisthandbook.org,75.1,63.1,12,0.93,LOW,LOW,modifier,
20,Open Data Editor (ODE),https://okfn.org/en/projects/open-data-editor,74.4,61.4,13,1.0,LOW,HIGH,modifier,
21,adhocracy+,https://adhocracy.plus,74.2,62.2,12,1.0,LOW,LOW,modifier,
22,CONSUL Democracy,https://consulproject.org,74.1,65.1,9,1.0,LOW,HIGH,modifier,
