rank,name,url,score,criteria,mod_adj,completeness,uncertainty,pop_risk,primary_driver,rationale
82,RxC Voice,https://github.com/radicalxchange/rxc-voice,60.6,51.6,9,0.93,LOW,HIGH,modifier,
83,openparliament.ca,https://openparliament.ca,60.0,51.0,9,1.0,LOW,LOW,modifier,
84,CoTech,https://coops.tech,60.0,51.0,9,1.0,LOW,LOW,modifier,
85,Principles for Public Participation in Procurement of AI,https://p4ai.net,60.0,51.0,9,0.87,LOW,LOW,modifier,
86,Community Notes (Birdwatch) Analysis Tool,https://github.com/travisbrown/birdwatch,59.9,54.9,5,0.93,LOW,HIGH,criteria,
87,Bluesky,https://bsky.app,59.6,51.6,8,1.0,LOW,LOW,modifier,
88,Parliament Watch Uganda,https://parliamentwatch.ug,59.1,47.1,12,0.87,LOW,HIGH,modifier,
89,HURIDOCS,https://github.com/huridocs,59.0,51.0,8,1.0,LOW,LOW,modifier,
90,Groupthink (OpenPolitics Votebot),https://github.com/openpolitics/groupthink,59.0,50.0,9,0.93,LOW,HIGH,modifier,
91,UK Housing Data Standards,https://hact.org.uk/tools-and-services/uk-housing-data-standards,58.6,50.6,8,0.93,LOW,HIGH,modifier,
92,Moral Machine,https://moralmachine.net,58.1,46.1,12,0.93,LOW,LOW,modifier,
93,GOV.UK Pay,https://www.payments.service.gov.uk,58.0,50.0,8,0.93,LOW,LOW,modifier,
94,ShineYourEye,https://www.shineyoureye.org,57.7,45.7,12,0.73,LOW,NONE,modifier,
95,Internet Archive Wayback Machine,https://web.archive.org,57.5,52.5,5,1.0,LOW,LOW,criteria,
96,Papertree,https://www.papertree.earth,57.2,52.2,5,0.53,MEDIUM,NONE,criteria,
97,DISARM Frameworks,https://github.com/disarmfoundation/disarmframeworks,57.0,49.0,8,1.0,LOW,LOW,modifier,
98,Vote for Policies,https://voteforpolicies.org.uk,56.9,52.9,4,0.87,LOW,LOW,criteria,
99,Rahvaalgatus,https://github.com/rahvaalgatus/rahvaalgatus,56.7,44.7,12,0.93,LOW,HIGH,modifier,
100,ORCID,https://orcid.org,56.6,48.6,8,0.87,LOW,LOW,modifier,
101,deliberAIde,https://www.deliberaide.com,56.5,57.5,-1,0.93,LOW,LOW,criteria,
102,Tracka,https://yourtracka.org,56.5,52.5,4,0.87,LOW,HIGH,criteria,
103,Teaching Public Service in the Digital Age,https://www.teachingpublicservice.digital,56.5,56.5,0,0.93,LOW,LOW,criteria,
104,All Our Ideas,https://all-our-ideas.citizens.is,56.5,47.5,9,0.8,LOW,NONE,modifier,
105,Public AI Inference Utility,https://publicai.co,56.0,48.0,8,1.0,LOW,LOW,modifier,
106,Guardian Project,https://guardianproject.info,56.0,51.0,5,0.87,LOW,LOW,criteria,
107,OpenProcurement,https://openprocurement.io,56.0,48.0,8,0.93,LOW,LOW,modifier,
108,Wikidata,https://www.wikidata.org,56.0,48.0,8,1.0,LOW,LOW,modifier,
109,MapIt,https://mapit.mysociety.org,56.0,48.0,8,0.93,LOW,LOW,modifier,
110,Shareyourpaper.org,https://shareyourpaper.org,56.0,48.0,8,0.93,LOW,LOW,modifier,
111,Unpaywall Browser Extension,https://unpaywall.org/products/extension,56.0,48.0,8,0.87,LOW,LOW,modifier,
112,GOV.UK One Login,https://www.sign-in.service.gov.uk,56.0,48.0,8,0.93,LOW,LOW,modifier,
