rank,name,url,score,criteria,mod_adj,completeness,uncertainty,pop_risk,primary_driver,rationale
244,The Engine Room Library,https://library.theengineroom.org,41.3,36.3,5,0.93,LOW,LOW,criteria,
245,Radicle,https://radicle.xyz,41.3,33.3,8,0.93,LOW,LOW,modifier,
246,youtube-dl,https://github.com/ytdl-org/youtube-dl,41.3,36.3,5,0.93,LOW,LOW,criteria,
247,Esper,https://esper.com/product,41.2,41.2,0,0.93,LOW,LOW,criteria,
248,Pageviews Analysis,https://pageviews.wmcloud.org,41.2,41.2,0,0.93,LOW,HIGH,criteria,
249,OpenOrigins,https://www.openorigins.com,41.2,41.2,0,0.93,LOW,HIGH,criteria,
250,DeepSeek-V3,https://github.com/deepseek-ai/deepseek-v3,40.4,32.4,8,1.0,LOW,HIGH,modifier,
251,FixMyBlock,https://fixmyblock.org,40.2,40.2,0,0.87,LOW,LOW,criteria,
252,Remember to Vote,https://remembertovote.org.uk,39.9,35.9,4,0.8,LOW,NONE,criteria,
253,Turbo Phonebank,https://turbophonebank.com,39.9,35.9,4,0.87,LOW,LOW,criteria,
254,CivicMatch,https://civicmatch.app,39.8,39.8,0,0.67,MEDIUM,NONE,criteria,
255,Right To Know,https://right-to-know.org,39.8,39.8,0,0.87,LOW,LOW,criteria,
256,Consent-O-Matic,https://github.com/cavi-au/consent-o-matic,39.8,39.8,0,0.87,LOW,LOW,criteria,
257,Land Explorer,https://landexplorer.coop,39.3,35.3,4,0.87,LOW,LOW,criteria,
258,Kialo,https://kialo.com,39.2,41.2,-2,0.93,LOW,LOW,criteria,
259,In the news,https://en.wikipedia.org/wiki/wikipedia:in_the_news,39.2,39.2,0,0.8,LOW,NONE,criteria,
260,COTSI (Cyber Operational Threat Situational Intelligence),https://cotsi.org,38.8,38.8,0,0.87,LOW,LOW,criteria,
261,Polimorphic,https://www.polimorphic.com,38.8,38.8,0,0.87,LOW,LOW,criteria,
262,MP Watch,https://www.mpwatch.org,38.7,34.7,4,0.87,LOW,LOW,criteria,
263,Plinth,https://www.plinth.org.uk,38.2,38.2,0,0.93,LOW,LOW,criteria,
264,Landlord Tech Watch,https://antievictionmappingproject.github.io/landlordtech,38.2,39.2,-1,0.93,LOW,LOW,criteria,
265,Gender Pay Gap Service,https://gender-pay-gap.service.gov.uk,37.4,29.4,8,0.8,LOW,NONE,modifier,
266,Membership,https://medium.com/@abscond/membership-a-prototype-ea822b2683b,37.3,33.3,4,0.73,LOW,NONE,criteria,
267,Watch Duty,https://www.watchduty.org,36.9,36.9,0,0.87,LOW,LOW,criteria,
268,OpenAudience,https://openaudience.org,36.4,32.4,4,0.8,LOW,NONE,criteria,
269,Empurrando Juntas (EJ),https://sobre.ejparticipe.org,36.4,32.4,4,0.87,LOW,LOW,criteria,
270,Marks Out Of Tenancy,https://www.marksoutoftenancy.com,36.4,32.4,4,0.87,LOW,HIGH,criteria,
271,GOV Reuse Library,https://dev.reuselibrary.service.justice.gov.uk,36.3,36.3,0,0.87,LOW,LOW,criteria,
272,PostBug,https://postbug.com,36.0,32.0,4,0.87,LOW,LOW,criteria,
273,Fission Codes,https://github.com/fission-codes/fission-codes,35.5,27.5,8,0.67,MEDIUM,NONE,modifier,
274,Nestr,https://nestr.io,35.4,31.4,4,0.93,LOW,LOW,criteria,
275,Beckton,https://richardpope.org/2017/03/05/beckton-a-tool-to-build,35.4,31.4,4,0.93,LOW,LOW,criteria,
276,Collab.Land,https://collab.land,35.3,35.3,0,0.87,LOW,LOW,criteria,
277,Public Media Stack,https://publicmediastack.com,35.3,35.3,0,0.87,LOW,LOW,criteria,
278,Filmot,https://filmot.com,35.3,35.3,0,0.8,LOW,NONE,criteria,
279,RightDD,https://www.rightsdd.com,34.9,34.9,0,0.87,LOW,HIGH,criteria,
280,Neighbourhood Warmth,https://www.mysociety.org/climate/neighbourhood-warmth,34.8,30.8,4,0.87,LOW,HIGH,criteria,
281,Hand-Written Petition Scanner,https://hand-written-petition-scanner.streamlit.app,34.4,30.4,4,0.8,LOW,NONE,criteria,
282,MyActionCenter,https://www.myaction.center,34.4,30.4,4,0.8,LOW,NONE,criteria,
283,Public Editor,https://www.publiceditor.io,34.3,34.3,0,0.8,LOW,MEDIUM,criteria,
284,Entitledto,https://entitledto.co.uk,34.3,34.3,0,0.8,LOW,MEDIUM,criteria,
285,Violation Tracker UK,https://violationtrackeruk.goodjobsfirst.org,33.9,33.9,0,0.73,LOW,NONE,criteria,
286,WorkInCharities,https://www.workincharities.co.uk,33.5,33.5,0,0.73,LOW,NONE,criteria,
287,GreenPT,https://greenpt.ai,33.3,33.3,0,0.87,LOW,LOW,criteria,
288,Local Insight,https://localinsight.org,33.3,33.3,0,0.87,LOW,LOW,criteria,
289,Conservative Party Funding,https://conservativepartyfunding.co.uk,33.3,33.3,0,0.87,LOW,HIGH,criteria,
290,Yoti,https://www.yoti.com,33.2,39.2,-6,0.93,LOW,LOW,criteria,
291,Understanding Your Morality,https://programs.clearerthinking.org/understanding-your-morality,32.9,32.9,0,0.8,LOW,NONE,criteria,
292,Consciousness Evolution Operating System (ConSoc),https://www.consoc.io,32.8,28.8,4,0.4,HIGH,NONE,criteria,
293,Worker Info Exchange,https://www.workerinfoexchange.org,32.5,32.5,0,0.87,LOW,LOW,criteria,
294,Who Posted What?,https://whopostedwhat.com,32.4,32.4,0,0.87,LOW,LOW,criteria,
295,GovWise,https://www.govwise.ai/en,32.4,32.4,0,0.87,LOW,LOW,criteria,
296,DemTech Navigator,https://navigator.oii.ox.ac.uk,32.4,32.4,0,0.87,LOW,HIGH,criteria,
297,PolicyMogul,https://policymogul.com,32.0,32.0,0,0.8,LOW,NONE,criteria,
298,PoliMonitor,https://www.polimonitor.com,32.0,32.0,0,0.8,LOW,MEDIUM,criteria,
299,Digital Account Management Toolkit,https://digitalcharitylab.org/product/digital-account-management-toolkit,30.4,30.4,0,0.87,LOW,LOW,criteria,
300,Sci-Hub,https://sci-hub.se,30.0,30.0,0,0.8,LOW,NONE,criteria,
301,Responsible Tech Guide 2025,https://alltechishuman.org/responsible-tech-guide-2025,29.4,29.4,0,0.87,LOW,LOW,criteria,
302,Whoisology,https://whoisology.com,29.4,29.4,0,0.87,LOW,HIGH,criteria,
303,Missing Numbers,https://missingnumbers.org,29.4,29.4,0,0.87,LOW,LOW,criteria,
304,Full Fact AI,https://fullfact.org/ai,29.3,35.3,-6,0.87,LOW,LOW,criteria,
305,Keep It In The Community,https://plunkett.my.site.com/keepitinthecommunity/s,29.0,29.0,0,0.67,MEDIUM,NONE,criteria,
306,Dovetail,https://dovetail.network,28.4,28.4,0,0.87,LOW,HIGH,criteria,
307,Mapping.kids,https://mapping.kids,28.4,28.4,0,0.53,MEDIUM,NONE,criteria,
308,Local Deep Researcher,https://local-deep-researcher-hnmh.vercel.app,28.0,28.0,0,0.47,MEDIUM,NONE,criteria,
309,The Guide to Major Trusts 2025/26,https://www.dsc.org.uk/publication/the-guide-to-major-trusts-2025-26,28.0,28.0,0,0.87,LOW,LOW,criteria,
310,Unknown Academic Paper (SSRN 5351275),https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5351275,28,15.9,0,0.2,HIGH,NONE,underdog-protection,
311,,https://tracking-template-38b4c.web.app,28,19.8,0,0.13,HIGH,NONE,underdog-protection,
312,soweego,https://soweego.readthedocs.io,27.5,27.5,0,1.0,LOW,LOW,criteria,
313,Charity Digital Skills Report,https://charitydigitalskills.co.uk,25.0,31.0,-6,0.87,LOW,LOW,criteria,
314,Dunadyne,https://dunadyne.org,24.1,24.1,0,0.73,LOW,NONE,criteria,
315,The List,https://the-list.uk,23.6,29.6,-6,0.87,LOW,HIGH,criteria,
316,Society for Hopeful Technologists,https://societyforhopefultechnologists.org,23.5,23.5,0,0.87,LOW,LOW,criteria,
317,Citizens Advice Tableau Public Profile,https://public.tableau.com/app/profile/citizensadvice/vizzes,20.5,26.5,-6,0.67,MEDIUM,NONE,criteria,
318,The Decelerator,https://decelerator.org.uk,20.2,20.2,0,0.93,LOW,HIGH,criteria,
319,Registers and collaboration: making lists we can trust,https://theodi.org/insights/reports/registers-and-collaboration-making-lists-we-can-trust-report,18.6,18.6,0,0.87,LOW,LOW,criteria,
320,Labour Xchange,https://labourxchange.uk,18.6,18.6,0,0.87,LOW,LOW,criteria,
321,Ladder Hub,https://ladderhub.org,16.7,16.7,0,0.73,LOW,NONE,criteria,
