rank,project,url,score,criteria_score,modifier_adj,dossier_completeness,uncertainty,popularity_risk,primary_driver,rationale
1,Algorithmwatch,https://algorithmwatch.org,94.8,76.8,18,0.9,LOW,HIGH,criteria,"AlgorithmWatch is the closest match to my core concerns in this batch -- it specifically researches and advocates for accountability in algorithmic systems, documenting how gig workers, people subject to algorithmic discrimination, and communities affected by automated decisions lack contestability rights. The FRIA inclusion in the EU AI Act is a concrete enforcement mechanism. But this is also one of the best-documented projects in the list, and I need to flag that my confidence is partly a product of dossier richness. Strip out the documentation advantage and I would estimate 8-10 points lower."
2,Framework For Meaningful Engagement 2 0,https://ecnl.org/publications/framework-meaningful-engagement-20?mc_cid=b1c5158063&mc_eid=a09c64ec38,89.5,69.5,20,0.6,MEDIUM,NONE,criteria,"The Framework for Meaningful Engagement 2.0 directly addresses how to involve affected communities and marginalised groups in AI development -- this is almost exactly what my constitution asks for. The pilot with Amsterdam's image recognition service and Discord's Safety ML team shows real deployment of community engagement principles in algorithmic systems. The explicit focus on rights-based AI development and practical guidance for engaging communities affected by algorithmic decisions scores strongly on C1, C2, and C4. Net modifier is capped at +20."
3,Landlord Tech Watch,https://antievictionmappingproject.github.io/landlordtech,88.0,72.0,16,0.55,MEDIUM,LOW,criteria,"Landlord Tech Watch is almost perfectly aligned with my research -- it documents exactly how property technology increases landlord power while disempowering tenants, maps landlord tech deployments, and provides action plans for tenants to defend themselves. The specificity about the exclusion mechanism (algorithmic tenant profiling, surveillance tech in housing) and the named population (tenants facing landlord technology) is exactly what C2 rewards. Dossier is thinner than I would like but the domain alignment is unmistakable."
4,Cortico,https://cortico.ai/platform,68.1,56.1,12,0.65,MEDIUM,NONE,criteria,"Cortico specifically centres underheard voices through small-group dialogue, with documented partnerships with NYC City Planning for the Cross Bronx Expressway and Cambridge for city manager hiring. The qualitative sensemaking methodology -- recorded dialogue, human-led pattern identification with AI support -- aligns closely with my epistemological commitment to ethnographic approaches. The government partnerships show real public service deployment. The 'underheard voices' framing names the exclusion mechanism (being unheard in planning processes)."
5,The Data Trusts Initiative,https://datatrusts.uk,66.7,53.7,13,0.6,MEDIUM,LOW,criteria,"The Data Trusts Initiative creates legal governance structures that give communities collective control over their data -- NHS patients, coastal communities, birth cohort participants. This is precisely the kind of accountability infrastructure my constitution rewards: formal governance mechanisms giving affected people power to contest how their data is used. The three real-world pilots (Born in Scotland, Brixham, GP Data Trust) show commitment to implementation in communities with specific data governance needs. The legal framework approach creates genuine contestability."
6,Fixmyblock,https://fixmyblock.org,65.7,53.7,12,0.45,MEDIUM,NONE,criteria,"FixMyBlock provides action guides for social housing tenants and tower block residents to get things fixed -- naming a specific excluded population (social housing tenants, low-income renters) and a specific domain (housing conditions, fire safety). This is remarkably close to the communities my research centres: people navigating housing systems they have little power over. The tenant advocacy framing creates some contestability. Coverage is limited to England, Wales and Scotland. I wish the dossier had more on methodology and outcomes."
7,Atlas Of Surveillance,https://atlasofsurveillance.org,64.7,53.7,11,0.65,MEDIUM,LOW,criteria,"Atlas of Surveillance documents police surveillance technology deployments across communities, tracking disparities by demographics and geography. It has informed local surveillance ordinances -- creating a pathway from documentation to accountability. The specificity about which communities are subject to which surveillance technologies is exactly the kind of mechanism-naming my constitution rewards. It falls short on direct contestability mechanisms for affected people."
8,Fundaci N Ciudadan A Inteligente,https://ciudadaniai.org,62.7,53.7,9,0.7,LOW,LOW,criteria,"Ciudadania Inteligente's legislative monitoring tools (Transparentes, Del Dicho Al Hecho) create genuine accountability mechanisms -- tracking whether governments fulfill promises is a contestability pathway. The Alianza por Algoritmos Inclusivos addresses algorithmic bias specifically. Community involvement through participatory governance tools and documented deployment across Latin America give it breadth. The mixed-methods evaluation approach shows methodological awareness, though direct evidence of impact on excluded populations is limited."
9,Cybersecurity For Democracy,https://cybersecurityfordemocracy.org,59.7,53.7,6,0.75,LOW,LOW,criteria,"Cybersecurity for Democracy's research directly informed the EU Digital Services Act and researcher data access rules -- creating regulatory accountability mechanisms for platforms. The algorithm accountability focus and documented policy outcomes (directly cited in legislation) show real impact on governance structures. The mixed methods research approach and equity tracking demonstrate methodological rigour. It serves the regulatory ecosystem rather than affected communities directly, but the policy mechanisms it creates do benefit those communities."
10,Gender Pay Gap Service,https://gender-pay-gap.service.gov.uk,58.4,52.4,6,0.55,MEDIUM,LOW,criteria,"The Gender Pay Gap Service creates a mandatory transparency and accountability mechanism -- employers with 250+ employees must report pay gaps, creating documented, enforceable contestability. The regulatory framework is exactly the kind of accountability infrastructure my constitution rewards: not just transparency but mandatory reporting with consequences. The limitation to 250+ employee firms and absence of intersectional data are documented gaps. It names a specific excluded population (women experiencing pay inequality) with a specific mechanism (structural pay disparity)."
