rank,project,url,score,criteria_score,modifier_adj,dossier_completeness,uncertainty,popularity_risk,primary_driver,rationale
1,Worker Info Exchange,https://www.workerinfoexchange.org,96,82,14,0.65,MEDIUM,NONE,criteria,"Worker Info Exchange is the single project in this batch that most precisely matches my constitutional priorities. The Amsterdam court ordering Uber to disclose algorithmic management data to drivers — this is a literal accountability mechanism for algorithmic systems, won through strategic GDPR litigation. The first court order overturning an automated worker dismissal under GDPR is exactly the reciprocal accountability mechanism my 'Algorithmic tenancies' paper argues is missing. The 1.5M+ trip data audit demonstrates evidence-based methodology. Modifier 1 (contestability boost) applies at maximum. This is what accountability infrastructure for algorithmic systems looks like."
2,Turkopticon,https://turkopticon.ucsd.edu,75,65,10,0.6,MEDIUM,LOW,criteria,"Turkopticon is worker-led and centres a specific excluded population: Amazon Mechanical Turk workers subject to algorithmic management with no redress mechanism against mass rejections. The cooperative governance model and documented advocacy — including a petition to Amazon — show genuine accountability-seeking, though enforcement remains limited. Modifier 1 (contestability boost) and Modifier 3 (specific exclusion mechanism) both apply strongly here."
3,OpenCRVS,https://www.opencrvs.org,69,61,8,0.7,LOW,MEDIUM,criteria,"OpenCRVS addresses the most fundamental form of exclusion my research cares about: people without birth certificates — the stateless, the undocumented, those who don't exist in administrative systems. The system tracks coverage in rural and underserved areas, is recognised as a Digital Public Good, and is deployed in multiple countries. This hits Criterion 2 at near-maximum because the exclusion mechanism (absence of civil registration) is precisely the kind of categorical threshold my research analyses. Modifier 3 (specific exclusion mechanism) applies strongly."
4,Organise,https://www.organise.org.uk,69,59,10,0.6,MEDIUM,NONE,criteria,"Organise centres workers — gig economy workers, zero-hours contract workers, people in precarious employment — who are subject to algorithmic management and institutional power asymmetries. The documented outcomes are remarkable: 100,000+ members influenced the UK Employment Rights Bill, G4S workers won equal pay, Ted Baker CEO resigned after campaign. This is genuine contestability for people excluded by employment system thresholds. Modifier 1 (contestability) and Modifier 3 (specific exclusion: precarious workers) both apply strongly."
5,Marks Out of Tenancy,https://www.marksoutoftenancy.com,67,57,10,0.5,MEDIUM,NONE,criteria,"This is exactly the kind of project my research focuses on — a platform for renters to review landlords and letting agencies, directly addressing the information asymmetry in the private rental sector that my 'Algorithmic tenancies' paper documents. Tenants are a specific excluded population facing algorithmic tenant referencing with no reciprocal accountability. The social enterprise model and local authority partnerships suggest some institutional grounding. Modifier 1 (contestability for tenants) and Modifier 3 (specific exclusion mechanism) both apply strongly. The lack of published verification methodology is a concern but doesn't diminish the structural importance."
6,CrowdJustice,https://www.crowdjustice.com,65,57,8,0.55,MEDIUM,LOW,criteria,"CrowdJustice funds legal challenges — the documented case of a UK government review of NHS private equity involvement, triggered by a CrowdJustice-funded case, shows real contestability in action. Legal crowdfunding is a direct mechanism for people to challenge institutional decisions, which maps precisely to Criterion 1. The population served includes people who otherwise couldn't afford legal challenge. Modifier 1 (contestability boost) applies strongly."
7,Tracka,https://yourtracka.org,62,56,6,0.6,MEDIUM,NONE,criteria,"Tracka enables Nigerian citizens to monitor federal and state project implementation — and the documented outcomes are concrete: a health centre completed after 7+ years of abandonment, boreholes and solar lights installed after community tracking. This is community-based accountability infrastructure with teeth. The population served (citizens in underserved Nigerian communities) is specific, and the government feedback loops show real contestability. Modifier 1 (contestability) applies."
8,Open Contracting Partnership,https://www.open-contracting.org,61,56,5,0.8,LOW,MEDIUM,criteria,"OCP has documented policy impact across multiple countries — UK Procurement Act, Brazil's medicine procurement system, Mexico's e-procurement — and creates genuine accountability infrastructure for public spending. The open contracting data standard enables civil society to monitor and contest procurement decisions. It tracks disparity in women-owned business participation. The dossier is rich and the evidence is strong, but I note this is a well-documented international organisation. Modifier 1 (contestability) applies."
9,OPORA,https://www.oporaua.org,59,54,5,0.6,MEDIUM,NONE,criteria,"A Ukrainian civic network for election monitoring during wartime — this is accountability infrastructure in the most challenging conditions imaginable. The documented engagement with Ukraine's Central Election Commission on voter register research, and the Electoral Integrity Academy, show genuine institutional accountability work. The communities served include diaspora communities, showing awareness of specific excluded populations. Modifier 1 (contestability through election monitoring) applies."
10,GlobaLeaks,https://www.globaleaks.org,57,51,6,0.7,LOW,LOW,criteria,GlobaLeaks builds whistleblowing infrastructure that directly enables people to report institutional misconduct securely and anonymously — a concrete contestability mechanism. EU Directive compliance and GDPR alignment show engagement with governance frameworks. The accountability infrastructure is genuine: whistleblowers are people who have witnessed institutional failures and need secure channels to contest them. Modifier 1 (contestability boost) applies.
11,Open Ownership,https://www.openownership.org,57,52,5,0.75,LOW,LOW,criteria,Open Ownership creates accountability infrastructure for corporate ownership transparency — driving beneficial ownership register reforms across multiple countries including Senegal and Zambia. The policy outcomes are documented and specific. This is governance infrastructure that addresses a specific opacity: who controls companies that interact with public systems. Modifier 1 (contestability) applies through the enforcement pathway of register reforms.
12,WhatDoTheyKnow,https://www.whatdotheyknow.com,57,51,6,0.65,LOW,HIGH,criteria,"WhatDoTheyKnow is genuine contestability infrastructure — it enables citizens to make FOI requests and see what public authorities are hiding. FOI is a formal mechanism for challenging institutional opacity, which maps directly to Criterion 1. The platform creates documented evidence of government responses (or non-responses), building an accountability record. Modifier 1 (contestability) applies. Popularity risk is HIGH as a well-known mySociety tool; I'd estimate 8-10 points lower normalising for documentation richness."
13,Humanitarian OpenStreetMap Team,https://www.hotosm.org,55,50,5,0.7,LOW,MEDIUM,criteria,"HOT maps communities that are literally invisible to institutional systems — unmapped populations in humanitarian crises and development contexts. This is a specific form of exclusion by data absence, which maps directly to Criterion 2. The participatory model (volunteer mapping with affected communities), UN partnerships, and documented disaster response deployments show real impact. Modifier 3 (specific exclusion mechanism: absence from maps) applies. Popularity risk is MEDIUM."
14,Ushahidi,https://www.ushahidi.com,54,50,4,0.7,LOW,HIGH,criteria,"Ushahidi enables communities to crowdsource crisis data and hold institutions accountable — deployed in election monitoring, disaster relief, and governance contexts. The community-centring is genuine, with documented focus on underserved Global South communities. But 'Crowdsourcing Solutions to Empower Communities' is exactly the kind of empowerment framing Criterion 4 interrogates — does the data flow back to communities with power, or just to institutional responders? Popularity risk is HIGH; I'd estimate 8 points lower normalising for documentation advantage."
15,Give Food,https://www.givefood.org.uk,49,44,5,0.6,MEDIUM,NONE,criteria,Give Food maps food insecurity by geography and has been cited in UK Parliament's Work and Pensions Committee inquiry — data infrastructure that makes a specific form of exclusion visible and actionable. The people it serves — those relying on food banks — are a specific population excluded by benefit system thresholds. The platform tracking MP correspondence adds a light accountability mechanism. Modifier 3 (specific exclusion mechanism) applies.
16,Objector.ai,https://www.objector.ai,49,43,6,0.45,MEDIUM,NONE,criteria,"An AI tool helping citizens challenge planning applications — this is a direct contestability mechanism, giving individuals the language and grounds to formally object to decisions that affect them. This maps precisely to what my constitution values: people gaining power to contest institutional decisions. The AI involvement raises questions about whether the generated objections are substantively effective, but the intent is accountability. Modifier 1 (contestability boost) applies."
17,VFRAME,https://vframe.io,49,44,5,0.6,MEDIUM,NONE,criteria,"VFRAME uses computer vision to detect illegal munitions in conflict footage — a specific and important use of AI for accountability in war crimes documentation. The community served (human rights investigators, journalists) is clearly defined, and there is documented adoption by organisations like Mnemonic. It doesn't directly build contestability for people excluded by algorithms, but it creates accountability infrastructure for a specific domain of harm. Modifier 3 applies for the specificity of the community served."
18,FixMyStreet,https://www.fixmystreet.com,48,45,3,0.7,LOW,HIGH,criteria,"FixMyStreet creates a documented feedback loop between citizens and councils for local problems, with genuine government integration and active development. The HCD dimension is strong — iterative design, council responsiveness tracking. But it serves a general 'citizens' category rather than populations specifically excluded by algorithmic thresholds, and the accountability it creates is for street-level service delivery, not algorithmic decision-making. Popularity risk is HIGH as a flagship mySociety tool; I'd estimate 8 points lower with normalised documentation richness."
19,Loomio,https://www.loomio.org,47,44,3,0.65,MEDIUM,MEDIUM,criteria,"Loomio enables collective decision-making with documented use in political movements and cooperatives, including Zohran Mamdani's campaign coordinating 13,000 members. The cooperative governance tool has genuine community-centring, but the dossier notes it is 'primarily used by already-engaged communities' — a limitation my constitution takes seriously. Modifier 5 (community involvement in governance) applies. Popularity risk is MEDIUM as a well-known deliberation tool."
20,Campaign Tracker,https://www.campaigntracker.nl/en,46,43,3,0.65,MEDIUM,NONE,criteria,"Campaign Tracker monitors political advertising spend in the Netherlands and has documented policy impact — the Dutch Parliament adopted its data for campaign finance monitoring and it influenced transparency requirements in Dutch electoral law. This is genuine accountability infrastructure for political spending, though it serves researchers and journalists rather than communities excluded by algorithmic thresholds. Modifier 1 partially applies for the enforcement pathway through parliamentary adoption."
21,Your Priorities,https://yrpri.org,46,43,3,0.6,MEDIUM,LOW,criteria,"Your Priorities has been running since 2008 with documented government deployments for participatory budgeting and citizen consultation. The social enterprise governance model with stakeholder input shows genuine community orientation. The platform serves citizens and youth, though the dossier notes digital divide and language barriers as limitations — an honest acknowledgment. Modifier 5 (community involvement in governance) applies. The long operational history and government partnerships demonstrate sustained implementation."
22,Community Tech Network,https://www.communitytech.network,44,39,5,0.45,MEDIUM,NONE,criteria,"The tagline — 'technology built with, by and for communities that is locally accountable and creates local value' — directly speaks to my constitutional priorities. The disparity tracking and policy report calling for technology that works for everyone across Britain suggest genuine community-centring. But the dossier is thin on specifics about which communities and what accountability mechanisms. Modifier 5 (community involvement in design) applies based on the stated model."
23,OpenSanctions,https://www.opensanctions.org,44,41,3,0.65,MEDIUM,LOW,criteria,Open-source sanctions and PEP data with community governance and LLM-based extraction with human moderation. The accountability dimension is real — making sanctions data accessible enables oversight of politically exposed persons and sanctioned entities. The documented limitations around LLM extraction errors show honest engagement with AI limitations. Modifier 1 partially applies for enabling enforcement of sanctions regimes.
24,Tor Project,https://www.torproject.org,44,41,3,0.65,MEDIUM,HIGH,criteria,"Tor serves journalists, activists, and dissidents — specific populations at risk of state surveillance. The privacy infrastructure enables contestability by protecting people who challenge institutional power. The critical engagement with surveillance is real and durable. But Tor is extremely well-known and well-documented; popularity risk is HIGH. If I normalise for documentation richness, I'd estimate 10 points lower. The core score is driven by Criterion 2 (specific at-risk populations) and the Modifier 3 boost."
25,deliberAIde,https://www.deliberaide.com,44,44,0,0.6,MEDIUM,NONE,criteria,"deliberAIde claims human-centred AI for deliberation, with government partnerships including UK GDS and the European Commission. The 100+ language transcription and automatic anonymisation features show real HCD thinking about accessibility. But the AI involvement — theme clustering, custom tagging — raises Criterion 4 questions about whether participants can contest the AI's categorisation of their contributions. The dossier notes limited transparency on training data, which partially cancels the HCD boost."
26,Neighbourhood Warmth,https://www.mysociety.org/climate/neighbourhood-warmth,41,38,3,0.5,MEDIUM,LOW,criteria,"A mySociety project helping people form teams around home energy challenges — retrofit assessments, energy efficiency. This addresses a specific form of exclusion: people unable to navigate complex home energy systems individually. The co-operative/local authority partnership model and focus on collective action rather than individual data access shows some critical engagement with empowerment rhetoric. Still in early/prototype stage. Modifier 3 (specific exclusion mechanism: energy poverty and retrofit complexity) applies."
27,Shine Your Eye,https://www.shineyoureye.org,41,38,3,0.4,MEDIUM,NONE,criteria,"Tracking Nigerian politicians' activities for citizen accountability — this is government transparency infrastructure in a context where it is urgently needed. The project enables citizens to monitor elected representatives, which creates a thin accountability pathway. The Nigerian context and the underdog signal suggest this operates with fewer resources than better-documented projects. Modifier 1 partially applies for enabling citizen oversight."
