rank,project,url,score,criteria_score,modifier_adj,dossier_completeness,uncertainty,popularity_risk,primary_driver,rationale
1,Open Digital Planning,https://opendigitalplanning.org/,54.0,50.0,4,1.0,LOW,LOW,criteria,"Open Digital Planning -- Planning services designed by councils for councils — a community of Local Plann. This project directly addresses accountability infrastructure for algorithmic or automated systems. It serves affected communities to some degree, though the specificity about exclusion mechanisms is limited. The housing or tenant dimension connects directly to my Nuffield research on algorithmic risk-profiling."
2,PolicyEngine,https://policyengine.org/uk,44.4,52.4,-8,1.0,LOW,LOW,criteria,"PolicyEngine -- Open-source policy analysis and simulation platform for tax and benefit systems. There is some accountability or transparency dimension, but it is not the project's core focus. It centres communities excluded by specific mechanisms, which my constitution rewards. Negative modifier (-8) for technical focus without governance engagement."
3,Open Referral UK,https://openreferraluk.org,40.2,40.2,0,1.0,LOW,LOW,criteria,"Open Referral UK -- The open data standard that makes it easy to publish, find, and use community se. There is some accountability or transparency dimension, but it is not the project's core focus. It serves affected communities to some degree, though the specificity about exclusion mechanisms is limited. The housing or tenant dimension connects directly to my Nuffield research on algorithmic risk-profiling."
4,Open Access – Transparency International UK,https://openaccess.transparency.org.uk,40.2,40.2,0,0.87,LOW,NONE,criteria,Open Access – Transparency International UK -- Platform providing access to corporate transparency data and beneficial ownershi. This project directly addresses accountability infrastructure for algorithmic or automated systems. It does not centre communities excluded by algorithmic systems in public services.
5,Parse The Bill,https://parsethebill.com,39.4,35.4,4,0.73,LOW,NONE,criteria,Parse The Bill -- AI-generated overviews of UK parliamentary bills for engaged citizens and advoca. This project directly addresses accountability infrastructure for algorithmic or automated systems. It does not centre communities excluded by algorithmic systems in public services.
6,Open Council Network,https://opencouncil.network,38.1,34.1,4,0.93,LOW,LOW,criteria,"Open Council Network -- Makes local government decision-making accessible to everyone through council me. There is some accountability or transparency dimension, but it is not the project's core focus. It does not centre communities excluded by algorithmic systems in public services."
7,Open Supply Hub,https://opensupplyhub.org,37.8,37.8,0,1.0,LOW,LOW,criteria,"Open Supply Hub -- A global, open-source platform for supply chain transparency and worker rights. This project directly addresses accountability infrastructure for algorithmic or automated systems. It does not centre communities excluded by algorithmic systems in public services."
8,Open Data Communities,https://opendatacommunities.org,37.8,37.8,0,0.87,LOW,NONE,criteria,"Open Data Communities -- Official open data platform from the UK Ministry of Housing, Communities & Local. There is some accountability or transparency dimension, but it is not the project's core focus. It serves affected communities to some degree, though the specificity about exclusion mechanisms is limited. The housing or tenant dimension connects directly to my Nuffield research on algorithmic risk-profiling."
9,Parti,https://parti.xyz,34.5,30.5,4,0.87,LOW,NONE,criteria,"Parti -- 함께 만드는 워킹그룹, 빠띠 카누 (Together Making Working Groups, Parti Canu) - A platform for. There is some accountability or transparency dimension, but it is not the project's core focus. It does not centre communities excluded by algorithmic systems in public services."
10,Open Data Editor (ODE),https://okfn.org/en/projects/open-data-editor/,34.1,34.1,0,1.0,LOW,LOW,criteria,"Open Data Editor (ODE) -- A no-code desktop app for error-free spreadsheets with guaranteed privacy and FA. There is some accountability or transparency dimension, but it is not the project's core focus. It does not centre communities excluded by algorithmic systems in public services."
11,Open Standards for Data Guidebook,https://standards.theodi.org,34.1,34.1,0,1.0,LOW,LOW,criteria,"Open Standards for Data Guidebook -- Helping people and organisations create, develop and adopt open standards for da. This project directly addresses accountability infrastructure for algorithmic or automated systems. It does not centre communities excluded by algorithmic systems in public services."
12,The Circuit,https://thecircuit.cc,34.1,34.1,0,0.87,LOW,NONE,criteria,"The Circuit -- A data-driven collaborative journalism investigation into Cook County's court sy. There is some accountability or transparency dimension, but it is not the project's core focus. It serves affected communities to some degree, though the specificity about exclusion mechanisms is limited."
13,Talk to the City,https://talktothecity.org,33.3,29.3,4,0.87,LOW,LOW,criteria,Talk to the City -- Open-source LLM survey tool to improve collective discourse and decision-making . The project does not create accountability mechanisms for algorithmic systems. It does not centre communities excluded by algorithmic systems in public services.
14,PlanIT,https://planit.org.uk,32.0,28.0,4,0.87,LOW,LOW,criteria,"PlanIT -- Digital platform enabling community participation in local planning decisions. The project does not create accountability mechanisms for algorithmic systems. It serves affected communities to some degree, though the specificity about exclusion mechanisms is limited. The housing or tenant dimension connects directly to my Nuffield research on algorithmic risk-profiling."
15,UrbanistAI,https://site.urbanistai.com,32.0,28.0,4,0.8,LOW,LOW,criteria,"UrbanistAI -- The platform to reimagine the future of cities through collective intelligence a. There is some accountability or transparency dimension, but it is not the project's core focus. It does not centre communities excluded by algorithmic systems in public services."
16,Open Science Framework,https://osf.io,31.7,31.7,0,1.0,LOW,NONE,criteria,"Open Science Framework -- A free, open platform for researchers to collaborate and share their work. There is some accountability or transparency dimension, but it is not the project's core focus. It does not centre communities excluded by algorithmic systems in public services."
17,Public AI Inference Utility,https://publicai.co/,31.7,31.7,0,0.93,LOW,NONE,criteria,"Public AI Inference Utility -- A public access point for public and sovereign AI models. There is some accountability or transparency dimension, but it is not the project's core focus. It does not centre communities excluded by algorithmic systems in public services."
18,Open Collective,https://opencollective.com,30.8,26.8,4,0.8,LOW,HIGH,criteria,"Open Collective -- Raise, manage and disburse money with full transparency.. There is some accountability or transparency dimension, but it is not the project's core focus. It serves affected communities to some degree, though the specificity about exclusion mechanisms is limited."
19,Open Council Data UK,https://opencouncildata.co.uk,30.8,26.8,4,0.8,LOW,NONE,criteria,"Open Council Data UK -- Councillor data resources for psephologists, campaigners and charities. There is some accountability or transparency dimension, but it is not the project's core focus. It does not centre communities excluded by algorithmic systems in public services."
20,User Research Library,https://research.localgov.digital,30.5,30.5,0,0.8,LOW,NONE,criteria,"User Research Library -- A searchable repository of user research conducted by local government services. There is some accountability or transparency dimension, but it is not the project's core focus. It does not centre communities excluded by algorithmic systems in public services."
21,OA.Works,https://oa.works/,30.1,34.1,-4,1.0,LOW,NONE,criteria,"OA.Works -- Powerfully simple open access tools for a just and kind information age. There is some accountability or transparency dimension, but it is not the project's core focus. It does not centre communities excluded by algorithmic systems in public services. Negative modifier (-4) for technical focus without governance engagement."
22,,https://tracking-template-38b4c.web.app,30,17.1,-8,0.2,HIGH,NONE,underdog-protection,"None. There is some accountability or transparency dimension, but it is not the project's core focus. It does not centre communities excluded by algorithmic systems in public services. Dossier completeness (20%) is below the threshold -- underdog protection applies. Negative modifier (-8) for technical focus without governance engagement."
23,Parliament Watch Uganda,https://parliamentwatch.ug/,29.6,25.6,4,0.67,MEDIUM,NONE,criteria,"Parliament Watch Uganda -- Monitor and track the Ugandan Parliament with data and expert insights on transp. There is some accountability or transparency dimension, but it is not the project's core focus. It does not centre communities excluded by algorithmic systems in public services."
24,OA.Report,https://oa.report,29.3,29.3,0,0.8,LOW,NONE,criteria,OA.Report -- Track Open Access policy compliance and research openness across funded publicat. This project directly addresses accountability infrastructure for algorithmic or automated systems. It does not centre communities excluded by algorithmic systems in public services.
25,Principles for Public Participation in Procurement of AI,https://p4ai.net,28.4,24.4,4,1.0,LOW,LOW,criteria,Principles for Public Participation in Procurement of AI -- Framework for public participation in AI procurement decisions. The project does not create accountability mechanisms for algorithmic systems. It does not centre communities excluded by algorithmic systems in public services.
26,Open Heart Mind (OHM),https://openheartmind.org,28.4,24.4,4,0.8,LOW,NONE,criteria,Open Heart Mind (OHM) -- Participatory gatherings and regenerative systems for collective flourishing — d. The project does not create accountability mechanisms for algorithmic systems. It does not centre communities excluded by algorithmic systems in public services.
27,Objector.ai,https://objector.ai,28.4,24.4,4,0.73,LOW,NONE,criteria,"Objector.ai -- AI-powered planning objection letter and toolkit to help citizens challenge unsu. There is some accountability or transparency dimension, but it is not the project's core focus. It does not centre communities excluded by algorithmic systems in public services."
28,OpenProcurement,https://openprocurement.io,28.0,28.0,0,0.87,LOW,LOW,criteria,"OpenProcurement -- Open source e-procurement toolkit powering transparent public procurement system. There is some accountability or transparency dimension, but it is not the project's core focus. It does not centre communities excluded by algorithmic systems in public services."
29,sourceAFRICA,https://sourceafrica.net,28.0,28.0,0,0.87,LOW,LOW,criteria,sourceAFRICA -- Africa's premier repository for actionable documents. This project directly addresses accountability infrastructure for algorithmic or automated systems. It does not centre communities excluded by algorithmic systems in public services.
30,ORCID,https://orcid.org,26.8,26.8,0,1.0,LOW,NONE,criteria,ORCID -- A persistent digital identifier for researchers to distinguish themselves and co. The project does not create accountability mechanisms for algorithmic systems. It does not centre communities excluded by algorithmic systems in public services.
31,OpenBudgets.eu,https://openbudgets.eu,26.8,26.8,0,0.87,LOW,LOW,criteria,"OpenBudgets.eu -- Upload, visualize, and analyse public budget and spending data to discover stori. There is some accountability or transparency dimension, but it is not the project's core focus. It does not centre communities excluded by algorithmic systems in public services."
32,Right To Know,https://right-to-know.org,25.6,25.6,0,0.8,LOW,LOW,criteria,"Right To Know -- A digital toolkit for communities to discover environmental health hazards in th. There is some accountability or transparency dimension, but it is not the project's core focus. It does not centre communities excluded by algorithmic systems in public services."
33,Who Targets Me Trends,https://trends.whotargets.me,25.6,25.6,0,0.8,LOW,LOW,criteria,"Who Targets Me Trends -- Platform for tracking and analyzing digital political advertising across Meta an. There is some accountability or transparency dimension, but it is not the project's core focus. It does not centre communities excluded by algorithmic systems in public services."
34,The Accountability Project,https://publicaccountability.org,25.6,25.6,0,0.73,LOW,NONE,criteria,"The Accountability Project -- A searchable database of 1.9+ billion public records for researchers and journal. There is some accountability or transparency dimension, but it is not the project's core focus. It does not centre communities excluded by algorithmic systems in public services."
35,Pursuance Project,https://pursuanceproject.org,24.7,20.7,4,0.73,LOW,NONE,criteria,Pursuance Project -- Open source software enabling individuals and organizations to collaborate on sh. The project does not create accountability mechanisms for algorithmic systems. It does not centre communities excluded by algorithmic systems in public services.
