rank,url,project_name,score,criteria_score,modifier_adj,dossier_completeness,uncertainty,popularity_risk,primary_driver,rationale
1,https://openheartmind.org,Open Heart Mind (OHM),85.8,67.8,18,0.83,LOW,LOW,modifier,
2,https://opencouncil.network,Open Council Network,83.6,65.6,18,1.0,LOW,LOW,modifier,
3,https://github.com/mastodon/mastodon,Mastodon,81.1,71.1,10,1.0,LOW,HIGH,criteria,
4,https://bonfirenetworks.org/,Bonfire,80.2,72.2,8,0.83,LOW,LOW,criteria,
5,https://github.com/podemos-info/participa,Participa (Podemos),79.1,61.1,18,0.92,LOW,LOW,modifier,
6,https://okfn.org/en/projects/open-data-editor/,Open Data Editor (ODE),78.3,73.3,5,1.0,LOW,LOW,criteria,
7,https://thegovernmentsays.com,The Government Says,75.8,67.8,8,1.0,LOW,LOW,criteria,
8,https://logos.co/,Logos,75.1,71.1,4,0.92,LOW,LOW,criteria,
9,https://participedia.net,Participedia,74.4,64.4,10,0.92,LOW,MEDIUM,criteria,
10,https://github.com/geeksforsocialchange/placecal,PlaceCal,74.4,64.4,10,0.83,LOW,LOW,criteria,
11,https://bsky.app,Bluesky,72.9,68.9,4,0.83,LOW,HIGH,criteria,
12,https://alaveteli.org,Alaveteli,71.1,71.1,0,1.0,LOW,HIGH,criteria,
13,https://oneproject.org/,One Project,71.1,61.1,10,0.83,LOW,LOW,criteria,
14,https://data.mysociety.org,mySociety Datasets and APIs,71.1,71.1,0,1.0,LOW,HIGH,criteria,
15,https://datacollective.mozillafoundation.org/,Mozilla Data Collective,70.6,65.6,5,0.83,LOW,HIGH,criteria,
16,https://opendigitalplanning.org/,Open Digital Planning,70.2,62.2,8,1.0,LOW,LOW,criteria,
17,https://opencollective.com,Open Collective,69.1,51.1,18,0.83,LOW,LOW,modifier,
18,https://secfirst.org,Security First / Umbrella,69.1,61.1,8,0.92,LOW,LOW,criteria,
19,https://tech-coops.xyz,Tech Coops List,69.1,61.1,8,0.83,LOW,LOW,criteria,
20,https://channel.org,Channel.org,68.4,64.4,4,0.83,LOW,LOW,criteria,
21,https://web.archive.org,Internet Archive Wayback Machine,68.3,63.3,5,1.0,LOW,HIGH,criteria,
22,https://github.com/openpolitics/groupthink,Groupthink (OpenPolitics Votebot),68.0,60.0,8,0.92,LOW,LOW,criteria,
23,https://bellingcat.gitbook.io/toolkit,Bellingcat Online Investigation Toolkit,67.8,67.8,0,0.83,LOW,HIGH,criteria,
24,https://www.martus.org,Martus,67.8,67.8,0,0.83,LOW,MEDIUM,criteria,
25,https://pursuanceproject.org,Pursuance Project,67.8,67.8,0,0.83,LOW,LOW,criteria,
26,https://relationaltechproject.org,Relational Tech Project,67.8,67.8,0,0.67,MEDIUM,LOW,criteria,
27,https://murmurations.network,Murmurations Protocol,66.9,58.9,8,0.83,LOW,LOW,criteria,
28,https://www.globaleaks.org,GlobaLeaks,66.2,62.2,4,1.0,LOW,MEDIUM,criteria,
29,https://github.com/kazad/pastecal,Pastecal,66.2,62.2,4,0.83,LOW,LOW,criteria,
30,https://guardianproject.info,Guardian Project,65.8,57.8,8,0.92,LOW,MEDIUM,criteria,
31,https://library.theengineroom.org,The Engine Room Library,65.8,57.8,8,0.83,LOW,LOW,criteria,
32,https://constituteproject.org,Constitute Project,65.6,65.6,0,1.0,LOW,LOW,criteria,
33,https://coralproject.net,Coral,65.6,65.6,0,0.92,LOW,MEDIUM,criteria,
34,https://privacybadger.org,Privacy Badger,65.1,61.1,4,0.92,LOW,MEDIUM,criteria,
