rank,project,url,score,criteria_score,modifier_adj,dossier_completeness,uncertainty,popularity_risk,primary_driver,rationale
1,Polis,https://github.com/compdemocracy/polis,87.4,79.4,8,0.85,LOW,high,criteria,"Polis is one of the most substantive deliberative democracy platforms in this list -- the vTaiwan deployment directly informed Uber and Airbnb regulation, which is exactly the kind of policymaker advisory and institutional decision-support I value most. The AI involvement (clustering, opinion mapping) is real but the dossier lacks detailed safety methodology documentation, preventing a top C1 score. I need to flag that my confidence here is partly a product of how well-documented Polis is; strip out the documentation advantage and I would estimate 8-10 points lower. Modifier boosts for policymaker advisory tools and open-source civic infrastructure both apply."
2,Matrix,https://matrix.org,86.4,80.4,6,0.9,LOW,high,criteria,"Matrix's adoption by the French government (Tchap), German Bundeswehr, and NATO as secure communications infrastructure is the strongest institutional deployment evidence for a decentralized protocol in this entire batch. The documented limitations -- federation complexity, metadata leakage, key management challenges -- are genuine complexity acknowledgments earning maximum C3 marks. C5 scores near-maximum for protecting autonomy through E2E encryption and federated design. I must flag high popularity risk: Matrix is exceptionally well-documented, and stripping the documentation advantage I would estimate 10-12 points lower. Open-source civic infrastructure and policymaker advisory modifiers both apply."
3,vTaiwan,https://github.com/g0v/vue.vtaiwan.tw,84.5,76.5,8,0.8,LOW,high,criteria,"vTaiwan's documented influence on Uber, Airbnb, and alcohol sales regulation in Taiwan represents the strongest evidence of policymaker adoption in deliberative democracy that I have seen in this batch. The government partnerships with Taiwan's Executive Yuan and National Development Council give top C2 marks for institutional infrastructure. The limitation to Taiwan and Chinese language constrains C7. I flag high popularity risk -- vTaiwan is among the most cited civic tech projects globally, and my confidence is partly a documentation artifact. Modifier boost for policymaker advisory tools."
4,HURIDOCS,https://github.com/huridocs,78.5,72.5,6,0.85,LOW,medium,criteria,"HURIDOCS has been equipping human rights defenders with documentation tools since 1993, and the Uwazi platform using ML for PDF analysis and named entity recognition serves exactly the accountability infrastructure I value in C2. The AI involvement is purposeful and embedded in a human-rights workflow where human judgment is preserved -- earning Modifier 1. The dossier shows European Commission and Swiss Embassy partnerships. Decade-plus track record and active 2026 commits demonstrate strong C6 maturity."
5,Mastodon,https://github.com/mastodon/mastodon,74.6,71.6,3,0.85,LOW,high,criteria,"Mastodon's federated architecture is the strongest case in this batch for protecting attention, autonomy, and community simultaneously -- no algorithmic feed, no engagement optimization, community-governed moderation. The EU and Japanese government pilots give C2 institutional traction. The documented limitations about instance fragmentation and discoverability challenges are honest complexity acknowledgment. I flag high popularity risk: Mastodon is among the most thoroughly documented projects here, and stripping out the documentation advantage I would estimate 10 points lower. Open-source civic infrastructure boost applies."
6,DISARM Frameworks,https://github.com/disarmfoundation/disarmframeworks,73.6,67.6,6,0.75,LOW,none,criteria,DISARM's disinformation TTP framework being tested by NATO and EU units and integrated with MISP is exactly the kind of institutional infrastructure for understanding complex threats that maps to my C2 and C3 criteria. The documented limitation about Blue Framework TTPs from authoritarian contexts -- advising users to assess ethical appropriateness independently -- is genuine complexity acknowledgment earning Modifier 3. No AI involvement means C1 at midpoint. Last commit 2022 hurts C6.
7,LiquidFeedback,https://liquidfeedback.com,71.6,68.6,3,0.8,LOW,medium,criteria,"LiquidFeedback's use by the German Pirate Party for binding resolutions and by Friesland County for civic participation, plus EU Horizon 2020 funding, gives it the strongest liquid democracy deployment evidence in this batch. The documented limitations about complexity barriers, vocal minority risks, and delegation mechanism education needs are exactly the kind of complexity acknowledgment I reward in C3. The open-source civic infrastructure boost applies. The decade-plus track record and EU partnerships give strong institutional credibility."
8,Guardian Project,https://guardianproject.info,69.7,66.7,3,0.75,LOW,medium,criteria,"Guardian Project has been building secure, privacy-enhancing tools for journalists, activists, and people at risk for over a decade, with published security audits and documented adoption by press freedom organizations globally. This maps directly to my C5 maximum -- protecting autonomy and community in adversarial environments. The decade-plus track record, active 2026 commits, and security audit publications give strong C6 marks. The honest acknowledgment of retired apps shows institutional maturity. Open-source civic infrastructure boost applies."
9,Global Fact-Check Bot (GFC),https://globalfactcheck.bot/,68.7,62.7,6,0.7,MEDIUM,none,criteria,"The planner-evaluator LLM architecture that verifies evidence before generating responses shows AI safety awareness -- consolidating existing fact-checks rather than generating new ones is a deliberately cautious design choice. The 78% accuracy rate in pilot testing is honest about current limitations, and the multi-organizational governance structure addresses my Modifier 2 concerns about concentrated AI power. But the project is in early implementation with closed membership, limiting C6. Modifier boost for policymaker decision-support."
10,Political Advertising Transparency Data Standard,https://github.com/whotargetsme/ad-transparency-standards/blob/main/implement.md,68.7,63.7,5,0.65,MEDIUM,none,criteria,A schema standard for political advertising data interoperability across platforms is exactly the kind of shared institutional infrastructure that I value most in C2. The documented influence on EU Digital Services Act transparency requirements is a real policy outcome. The honest acknowledgment of limited platform adoption and voluntary implementation creating inconsistency earns C3 marks. Modifier boost for policymaker advisory infrastructure. Not open-source per se but a public standard.
11,Metaculus,https://metaculus.com,67.8,61.8,6,0.7,LOW,medium,criteria,"Metaculus publishes calibration reports and accuracy statistics -- the methodological transparency about forecast quality is exactly the kind of epistemic honesty I value most in C3. The documented use by research organizations for AI governance, biosecurity, and climate policy planning gives genuine policymaker advisory relevance. The AI involvement (question recommendation, forecast optimization) is modest and purposeful. Modifier boost for policymaker decision-support and complexity acknowledgment both apply. I flag moderate popularity risk in forecasting circles."
12,Data Observation Toolkit (DOT),https://github.com/datakind/data-observation-toolkit,65.8,60.8,5,0.7,LOW,none,criteria,"DOT does something I care about deeply: it monitors data integrity in public health systems, which is the kind of complexity-aware, failure-detecting methodology that scores well on C3. The Uganda deployment with documented data quality improvements gives real C6 evidence. The tool explicitly tracks data quality disparities across facilities, which is honest about where gaps exist. Modifier boost for policymaker decision-support infrastructure."
13,UK Housing Data Standards,https://hact.org.uk/tools-and-services/uk-housing-data-standards,64.8,59.8,5,0.75,LOW,none,criteria,Sector-developed data standards for UK social housing with 2000+ downloads by housing organizations and a Better Social Housing Review recommendation for sector-wide adoption is exactly the kind of institutional infrastructure I value in C2. The Awaab's Law regulatory alignment gives genuine policy connection. The honest acknowledgment that adoption remains voluntary with 3-5 year implementation timelines earns C3 marks. Modifier 5 for policymaker advisory infrastructure applies. UK-only scope limits C7.
14,Community Notes (Birdwatch) Analysis Tool,https://github.com/travisbrown/birdwatch,62.8,59.8,3,0.7,LOW,none,criteria,Travis Brown's metadata analysis of X's Community Notes system adds accountability infrastructure to a platform that otherwise controls its own narrative about fact-checking effectiveness. The 12% data unavailability explicitly documented and the metadata-only design are genuine complexity acknowledgments scoring high on C3. German federal research funding via Prototype Fund gives some institutional credibility. The bias allegations flagged in the dossier are themselves a signal of operating in contested information space.
15,LittleSis,https://littlesis.org,61.8,58.8,3,0.75,LOW,medium,criteria,"LittleSis maps 200,000+ entities with relationship data tracking who-knows-who at the heights of business and government -- this is accountability infrastructure that makes power structures visible. The decade-plus track record, active 2026 commits, Washington Post and Guardian citations, and API give strong C6 maturity. The open-source community-curated model earns C4 and modifier marks. The honest acknowledgment of US-centric coverage and volunteer-dependent completeness is noted. I flag moderate popularity risk."
16,Moral Machine,https://moralmachine.net,60.8,57.8,3,0.65,LOW,medium,criteria,"Moral Machine's 10+ million responses from 233 countries studying AI ethical decision-making is one of the most substantive empirical datasets on AI alignment preferences I have seen. The cross-cultural variation analysis tracked by country, age, gender, and education is genuine complexity acknowledgment scoring high on C3. The direct relevance to AI safety and autonomous vehicle governance earns above-midpoint C1. The documented self-selection bias limitation is honest. Modifier boost for complexity acknowledgment. I flag moderate popularity risk as a well-cited academic project."
17,Nyaaya,https://nyaaya.org,60.8,57.8,3,0.55,MEDIUM,none,criteria,"Nyaaya makes Indian law accessible to citizens who lack resources for professional legal counsel, with explicit attention to women, LGBTQI+, persons with disabilities, scheduled castes and tribes. The documented limitation that 30 crore Indians cannot read is one of the most honest complexity acknowledgments in this batch, earning high C3 marks. The OpenNyAI initiative using AI for justice is noted. The multi-language approach (Hindi, Kannada) with acknowledged English-language bias shows epistemic honesty. Open-source boost applies partially. India-specific scope with non-OECD context earns full C7 credit."
18,Stanford Participatory Budgeting Platform,https://github.com/stanfordcdt/pb,60.8,60.8,0,0.6,MEDIUM,none,criteria,"Deployed for participatory budgeting elections in multiple US cities, this open-source platform has real institutional adoption that I value in C6 and C2. The cooperation-building incentive design of participatory budgeting earns strong C4 marks. But the last commit was June 2023, the dossier lacks detailed policy outcomes beyond a general claim, and US-only scope limits C7. No AI involvement means C1 at midpoint."
19,Bluesky Social,https://github.com/bluesky-social,57.9,54.9,3,0.6,MEDIUM,medium,criteria,"Bluesky's decentralized architecture and open AT Protocol represent a serious attempt to restructure social media power dynamics, which maps well to my C5 concerns about attention and autonomy. The AI content moderation involves real decisions about speech but I see no documented safety methodology, which is a negative signal on C1. Active codebase with millions of users gives strong C6 marks, and the open-source infrastructure earns a small modifier boost."
20,Abstract Wikipedia,https://meta.wikimedia.org/wiki/abstract_wikipedia,56.9,53.9,3,0.6,MEDIUM,high,criteria,The vision of language-independent structured knowledge rendered into any natural language is ambitious and scores well on C7 cross-jurisdictional accessibility and C3 complexity-aware methodology. The Wikimedia Foundation strategic backing and AI/NLP components give institutional credibility. But the dossier notes a 404 state on Meta-Wiki and early-stage deployment. I flag high popularity risk as a Wikimedia project with inherited documentation richness. The concept is more advanced than the implementation.
21,GrantNav,https://grantnav.threesixtygiving.org,56.9,53.9,3,0.7,LOW,none,criteria,"GrantNav makes UK grant funding data transparent and searchable, with UK Cabinet Office and National Lottery partnerships, decade-plus track record, and documented adoption of the 360Giving Data Standard by major funders. This is genuine civic data infrastructure that serves accountability. The documented limitation about voluntary funder compliance is honest. The open-source boost applies partially. UK-only scope constrains C7 but the domestic institutional adoption is strong."
22,UK Policy Dojo,https://github.com/mikekelly/policy-dojo,56.9,52.9,4,0.55,MEDIUM,none,criteria,"The concept of AI agents adversarially reviewing UK policy documents through defined schools of thought is genuinely novel and directly relevant to my C1 interest in AI applied to institutional decision-making. The dossier explicitly names limitations -- AI agents may introduce bias, no formal democratic legitimacy -- which is the kind of honest failure-mode documentation I reward in C3. However, this is an experimental framework with zero deployment evidence, which means C6 scores near-minimum. Modifier 3 for complexity acknowledgment applies."
23,Journal of Open Source Software,https://joss.theoj.org,55.9,52.9,3,0.5,LOW,none,criteria,"JOSS has published 1000+ papers with 5000+ peer reviewers and active 2026 commits -- the implementation maturity for an academic infrastructure project is exceptional, scoring high on C6. The peer review process for research software embodies the epistemic rigor I value in C3. But the connection to political technology is indirect -- JOSS serves science broadly, not civic governance specifically. Open-source infrastructure boost applies. The high C6 and C3 scores drive the total."
24,Manifold Markets,https://manifold.markets,55.9,52.9,3,0.55,MEDIUM,none,criteria,"Prediction markets for political, cultural, and business outcomes have genuine epistemological value -- the aggregation of forecasts from diverse participants is a form of complexity-aware methodology that earns C3 marks. The published market accuracy metrics and active 2026 codebase give C6 strength. But the documented jurisdictional limitations and the question of whether prediction markets improve or gamify democratic engagement is unresolved. Partially open-source earns a weaker modifier boost."
25,NumFOCUS,https://numfocus.org,55.9,52.9,3,0.6,LOW,medium,criteria,"NumFOCUS sustains NumPy, pandas, Jupyter, and other foundational open-source scientific computing infrastructure with NSF, DOE, and NASA partnerships. The implementation maturity is exceptional for a meta-organization -- decade-plus, active, with annual impact reports. The civic technology connection is indirect: these tools underpin policy research and data analysis broadly but are not political technology themselves. The diversity and inclusion tracking and open-source mission earn modifier marks. I flag moderate popularity risk."
26,RxC Voice,https://github.com/radicalxchange/rxc-voice,55.9,55.9,0,0.4,MEDIUM,none,criteria,"RxC Voice combines Quadratic Funding, Polis, and Quadratic Voting in a single governance app -- the mechanism design is sophisticated and directly maps to my C4 interest in cooperation-building and incentive design. The theoretical framework is strong on C3 complexity-awareness. But deployment evidence is thin: no documented institutional use, no policy outcomes, last commit January 2024. The gap between conceptual ambition and implementation keeps the total score moderate."
27,Consent-O-Matic,https://github.com/cavi-au/consent-o-matic,55.0,52.0,3,0.5,MEDIUM,none,criteria,"A browser extension that auto-fills cookie consent popups based on user preferences is a direct embodiment of protecting attention and autonomy -- exactly my C5 criteria. The documented limitations are honest about scope, and it scores maximum on C5. However, there is no regulatory or institutional infrastructure engagement, no AI safety dimension, and deployment evidence is limited to download counts. The open-source boost applies."
28,Frankenstein Bill,https://gordonguthrie.github.io/frankensteinbill,55.0,50.0,5,0.55,MEDIUM,none,criteria,A dummy parliamentary bill that collects and explains speedbumps for government software development is a genuinely original contribution to the institutional-response-to-technology-change space I care about. The Scottish Government partnership gives real institutional grounding. The policymaker advisory framing earns Modifier 5. But it is a single-author project with limited ongoing maintenance and primarily Scottish context. The concept punches above its deployment weight.
29,The Engine Room Library,https://library.theengineroom.org,54.0,51.0,3,0.5,MEDIUM,none,criteria,"Open, multilingual research guides on using data and technology for social change serve exactly the knowledge infrastructure function I value -- translating complex technical concepts for civil society organizations and human rights defenders. The honest acknowledgment that books are intentionally kept short, limiting depth, is a genuine documented limitation. Global scope and open-source status earn C7 and modifier marks. But this is a library, not a tool, which caps C6 and C2."
30,Participa (Podemos),https://github.com/podemos-info/participa,53.9,53.9,0,0.7,LOW,none,criteria,"Participa ran over 30 binding votes for Podemos including organizational, ethical, and political documents at state, regional, and local levels -- this is real institutional deployment with documented participation rates. The platform acknowledges SMS verification barriers and outdated tech stack, earning C3 complexity marks. However, it is explicitly a single-party tool with political bias documented, limiting its transferability. Spain-only scope constrains C7, and the 2023 last commit suggests declining maintenance."
