rank,project,url,score,criteria_score,modifier_adj,dossier_completeness,uncertainty,popularity_risk,primary_driver,rationale
1,Open Contracting Partnership,https://www.open-contracting.org,70,64,6,0.85,LOW,medium,criteria,"17 billion dollars better spent and 19 million people served through open procurement data -- OCP is institutional transparency infrastructure at global scale. The UK Procurement Act influenced by open contracting principles, Brazil's $75 billion medicine market adopting AI-based guidance with OCP input, and cross-jurisdictional deployment across dozens of countries. C2 and C7 score near-maximum. Modifier 5 for policymaker advisory tools and Modifier 3 for acknowledged attribution challenges. The AI use in Brazil's procurement triggers C1 at moderate rather than midpoint. Strong project; discounting documentation richness would lower it about 8 points."
2,Internet Archive Wayback Machine,https://web.archive.org,67,62,5,0.85,LOW,high,criteria,"The Wayback Machine is foundational digital preservation infrastructure -- Library of Congress and National Archives partnerships, legal proceedings citing it as authoritative, 25+ years of operation. It scores strongly on C2 (institutional infrastructure), C6 (maturity), and C7 (global). Modifier 6 applies for open-source civic infrastructure. But I need to flag: this is one of the best-documented projects in the list, and my confidence is partly a product of that. Stripping the documentation advantage, I would estimate 10 points lower. C1 at midpoint for non-AI."
3,Open Ownership,https://www.openownership.org,65,60,5,0.8,LOW,low,criteria,"Beneficial ownership transparency reform across multiple countries -- Zambia, Senegal, Philippines, Armenia -- with documented policy outcomes. This is anti-corruption infrastructure that directly serves regulatory transparency (C2 at near-maximum). The mixed-methods evaluation with acknowledged attribution challenges shows C3 maturity. Cross-jurisdictional design with monitoring of implementation disparities across governance contexts earns full C7 credit. Modifier 5 for policymaker advisory tools. Partial open-source with active codebase."
4,OpenSanctions,https://www.opensanctions.org,63,58,5,0.75,LOW,low,criteria,"An international sanctions and entity database integrating 330 sources including UN Security Council data is regulatory infrastructure for financial compliance and investigative journalism. The LLM-based text extraction with documented error modes (dropped names, hallucinated details) and human moderation requirement is a textbook C1 case -- AI in a consequential domain with documented limitations and human-in-the-loop. Modifier 1 applies for the human moderation design. The acknowledged geopolitical bias in source data (Modifier 3) shows epistemic honesty. Active codebase, partial open-source, global scope."
5,OpenCRVS,https://www.opencrvs.org,62,58,4,0.7,LOW,low,criteria,"Digital civil registration for low-resource settings deployed by multiple national governments -- this is foundational identity infrastructure serving the stateless and administratively invisible. C2 scores well for government infrastructure, C7 for explicit design for non-OECD contexts. Open-source with active development, recognised as a Digital Public Good, aligned with SDG 16.9. No AI involvement (rule-based system) so C1 at midpoint. Modifier 6 for open-source civic infrastructure. The honest acknowledgment of infrastructure investment requirements and connectivity dependencies earns Modifier 3 credit."
6,Worker Info Exchange,https://www.workerinfoexchange.org,62,56,6,0.7,LOW,none,criteria,"Amsterdam District Court ordering Uber to disclose algorithmic management data, and the first court order overturning an automated worker dismissal under GDPR -- these are landmark legal outcomes for algorithmic accountability. The 1.5 million+ trip audit across 258 drivers is rigorous methodology (C3). This directly addresses C1 concerns about AI in institutional decision-making and Modifier 2 (surveillance and opacity) by actively fighting accountability-free automation. Modifier 1 applies -- the litigation literally restores human oversight to automated decisions. The independently verified causation strength is rare and valuable."
7,Humanitarian OpenStreetMap Team (HOT),https://www.hotosm.org,60,56,4,0.75,LOW,medium,criteria,"HOT maps integrated into UN humanitarian response protocols represent institutional adoption at the highest level. OCHA, WHO, and national disaster management agency partnerships are strong C2 evidence. The project explicitly tracks data quality disparities and addresses coverage gaps -- genuine complexity acknowledgment (Modifier 3). Open-source with active development, decade-plus operation, international scope. The volunteer engagement sustainability limitation is honestly documented. Well-known project; stripping documentation advantage would lower this about 6 points."
8,Wikidata,https://www.wikidata.org,58,54,4,0.75,LOW,high,criteria,"A free open knowledge base used by 64% of Wikipedia pages and recognised as a digital public good in 2025 -- Wikidata is foundational data infrastructure. The documented Western-centric bias concerns and ongoing community discussions about neutrality demonstrate C3 epistemic honesty. Open-source with active development and government open data initiative partnerships. Modifier 6 for open-source civic infrastructure. But it is primarily a knowledge base, not governance or regulatory infrastructure -- C2 scores modestly. Very well-known; discounting documentation advantage would lower this about 8 points."
9,Campaign Tracker,https://www.campaigntracker.nl/en,57,53,4,0.75,LOW,none,criteria,"The Dutch Electoral Council data-sharing agreement and parliamentary research collaboration are exactly the kind of institutional adoption I weight heavily in C2. The project transparently addressed early allegations of underrepresenting right-wing parties -- a genuine complexity acknowledgment that earns Modifier 3 credit. Published performance metrics, policy outcomes on political advertising transparency law, and active codebase. One of the stronger projects in this batch for my criteria, limited mainly by single-country scope on C7."
10,GlobaLeaks,https://www.globaleaks.org,57,52,5,0.7,LOW,medium,criteria,Free and open-source whistleblowing software deployed internationally with EU anti-corruption agency partnerships and compliance with the EU Whistleblower Protection Directive. This is institutional accountability infrastructure that directly serves C2. Published security audits demonstrate the kind of safety-conscious methodology I value even in non-AI contexts. Modifier 6 for open-source civic infrastructure and Modifier 3 for documented limitations (they acknowledge reliance on self-reported outcomes). Decade-plus operation with active development. A well-known project -- discounting for documentation richness would lower this about 5 points.
11,TheyWorkForYou,https://www.theyworkforyou.com,56,54,2,0.75,LOW,medium,criteria,"2 million+ annual visitors accessing parliamentary records across UK, Scottish, and Northern Ireland assemblies with multi-decade operation. TheyWorkForYou is foundational democratic transparency infrastructure. C2 scores well for government partnerships and institutional integration. The partial open-source codebase and active development earn Modifier 6 credit. But it is observational rather than analytical -- no complexity methodology, no AI dimension, UK-only. Well-known mySociety project; documentation advantage means the real score might be 5 points lower."
12,VFRAME,https://vframe.io,56,52,4,0.7,LOW,none,criteria,"Computer vision for detecting illegal munitions in conflict zones is a compelling AI application for human rights documentation. The project documents its AI methodology (CNNs trained on synthetic data), names specific limitations (dependency on 3D models, limited object classes), and has published performance metrics with 99% accuracy claims. Modifier 3 applies for explicit failure mode documentation. C1 scores well because AI is used in a high-stakes context with documented methodology, though the safety framing is more operational than institutional."
13,GOV.UK Notify,https://www.notifications.service.gov.uk,55,54,1,0.75,LOW,low,criteria,"1,739 organisations and 11,895 services using a shared notification platform is institutional infrastructure at massive scale. Built by GDS, it standardised government-citizen communication across the UK public sector including NHS. C2 and C6 score highly -- this is exactly the kind of shared public infrastructure my criteria reward. The free tier design is a cooperation-building choice (C4). But no AI dimension, UK-only scope, and no complexity methodology. Solid government plumbing that does one thing well."
14,Gapminder Worldview Upgrader,https://upgrader.gapminder.org,55,54,1,0.7,LOW,medium,criteria,The pre/post quiz methodology with longitudinal tracking is exactly the kind of evidence-based approach I value in C3 -- they actually measure whether misconceptions change. UNESCO and Swedish Ministry partnerships give it C2 credibility. The policymaker advisory function earns a small Modifier 5 boost. But it has no AI safety dimension and its regulatory engagement is educational rather than institutional. Well-known project; stripping documentation advantage would drop this about 5 points.
15,Tor Project,https://www.torproject.org,55,52,3,0.7,LOW,high,criteria,"Tor is foundational privacy infrastructure -- decades of operation, open-source, globally deployed, documented timing attack limitations, multi-layer encryption architecture. C5 scores near-maximum for protecting autonomy and resisting surveillance. The documented limitations (exit node monitoring, timing attacks) show C3 maturity. Modifier 6 for open-source civic infrastructure. But Tor has no institutional governance dimension for C2, no cooperation-building mechanism for C4, and the US government funding raises complex accountability questions rather than resolving them. Very well-known; discounting documentation advantage would lower this about 8 points."
16,Ushahidi,https://www.ushahidi.com,55,52,3,0.7,LOW,medium,criteria,"200,000 deployments reaching 25 million people with Kenyan government election monitoring and UN/World Bank partnerships. Ushahidi is crisis-response infrastructure at global scale. C6 and C7 score highly. The ML for data classification with documented verification requirements shows moderate C1 awareness. But verification of crowdsourced data requiring manual review is an honest limitation (Modifier 3). Partial open-source with active development. The digital divide limiting participation is a structural constraint they acknowledge. Well-known; discounting for documentation would lower this about 6 points."
17,WhatDoTheyKnow,https://www.whatdotheyknow.com,55,54,1,0.65,LOW,medium,criteria,"The UK's primary Freedom of Information request platform with decade-plus operation, open-source code, and active development. This is accountability infrastructure that directly enables C2 (regulatory transparency) and C5 (citizen autonomy through information access). The correlated causation strength and published performance metrics provide C6 evidence. But it is UK-only, dependent on public authority compliance, and has no AI or complexity methodology dimension. Well-known mySociety tool; discounting documentation advantage would lower this about 5 points."
18,oTree,https://www.otree.org,55,50,5,0.6,MEDIUM,none,criteria,"2,700+ academic citations and adoption by the World Bank, OECD, US IRS, CFPB, and EBRD make oTree the most institutionally adopted research tool in this batch. For my constitution, the policymaker advisory function is central -- CFPB and IRS using experimental economics tools directly connects to evidence-based institutional decision-making (C2). Modifier 5 applies strongly. The open-source codebase and international scope help. But it is primarily academic infrastructure rather than direct civic technology, limiting C5 and C4 scores."
19,GOV.UK Pay,https://www.payments.service.gov.uk,54,54,0,0.7,LOW,none,criteria,"1,500+ live services processing 70,000+ payments daily at 99.99% uptime -- GOV.UK Pay is industrial-grade government infrastructure. C2 and C6 score highly for institutional quality and implementation maturity. The shared service model reducing costs across agencies is a cooperation-building design choice (C4). Decade-plus operation with active development. But it is a payment processing platform with no AI dimension, no complexity methodology, and UK-only scope. Government plumbing at its most literal -- scores well within the narrow criteria it touches."
20,OPORA,https://www.oporaua.org,54,52,2,0.65,MEDIUM,none,criteria,Ukraine's leading election integrity organisation with Central Election Commission research collaboration and a decade-plus track record of non-partisan monitoring. The Voter Register research presented to the CEC and the Electoral Integrity Academy demonstrate C2 institutional engagement. Operating under wartime constraints adds unique C3 complexity. Disparity tracking is active. The correlated causation strength and published performance metrics provide C6 evidence. Ukraine-only limits C7 but the wartime context makes the work unusually difficult and important.
21,FixMyStreet,https://www.fixmystreet.com,53,52,1,0.75,LOW,medium,criteria,"32,918 reports in the past week and 66,972 issues fixed in the past month -- FixMyStreet delivers measurable civic impact at scale. The council integration partnerships make it genuine government infrastructure for C2. Open-source platform with active development since 2007. But it is a problem-reporting tool, not a complex-systems tool -- C3 scores modestly because the methodology is straightforward reporting rather than complexity-aware analysis. UK-only limits C7. Well-known mySociety project; documentation advantage acknowledged."
22,GovTrack.us,https://www.govtrack.us,53,52,1,0.7,LOW,medium,criteria,"Two decades of tracking US congressional activity with partnerships with the House and Senate -- GovTrack is foundational transparency infrastructure. C2 and C6 score well for institutional maturity and government partnerships. Partial open-source with active codebase earns a small Modifier 6 nudge. But it is observational rather than analytical, US-only (limiting C7), and has no AI safety or complexity methodology dimension. Well-documented and well-known; discounting for that would lower the score about 5 points."
23,GOV.UK Forms,https://www.forms.service.gov.uk,52,52,0,0.7,LOW,none,criteria,"78 organisations and 531,364 submissions since 2022 demonstrate genuine government infrastructure adoption. Built by GDS, it is the kind of shared public digital infrastructure C2 rewards. The accessibility compliance with WCAG 2.1 AA is a design choice that protects autonomy (C5). But it is a form-building tool -- no AI dimension, no complexity methodology, no cross-jurisdictional applicability. UK central government only. Solid institutional infrastructure within its scope but limited by that scope."
24,Loomio,https://www.loomio.org,52,48,4,0.65,LOW,medium,criteria,"Loomio's cooperative decision-making architecture is a direct instantiation of C4 -- cooperation as a design choice built into systems. The Mamdani campaign case study (13,000 members, zero paid staff) demonstrates C6 implementation at meaningful scale. Open-source with decade-plus operation and active development earns Modifier 6. New Zealand government pilots provide C2 evidence. But evidence of long-term decision quality is acknowledged as limited, and scalability challenges for very large groups constrain C7 ambitions. Well-known in civic tech; discounting documentation advantage would drop about 5 points."
25,GOV.UK Service Manual,https://www.gov.uk/service-manual,51,50,1,0.6,MEDIUM,low,criteria,"The Service Standard has shaped UK government digital services since 2012 -- it is literally the institutional governance framework for public service delivery. C2 scores highly for regulatory/governance infrastructure. The directly-cited causation strength (departments must comply) is strong evidence. But it is advisory documentation rather than technology, UK-only, and no AI dimension. It sets standards rather than building tools, which limits C6 to a governance maturity reading rather than deployment metrics."
