rank,project,url,score,criteria_score,modifier_adj,dossier_completeness,uncertainty,popularity_risk,primary_driver,rationale
1,OpenProcurement,https://openprocurement.io,76.6,68.6,+8,0.75,LOW,none,criteria,162 million dollars in direct state budget revenue and an estimated 6 billion in savings 2017-2021 -- these are the strongest quantified policy outcomes in this batch. Ukrainian and Moldovan government adoption for procurement transparency is exactly the institutional infrastructure C2 rewards. The 30% reduction in drone purchase prices shows wartime utility. C2 is overwhelmingly the driver. M5 applies strongly for decision-support infrastructure. Open-source and decade-plus track record solidify C6.
2,PolicyEngine,https://policyengine.org/uk,75.7,65.7,+10,0.80,LOW,medium,modifier,"PolicyEngine is the closest thing in this batch to my constitutional ideal of policymaker advisory infrastructure. Open-source microsimulation of tax and benefit policy changes, trusted by NIESR, Citizens' Economic Council, and multiple think tanks across the political spectrum. The accuracy validation against official calculations published on GitHub is strong C3 evidence. C2 and M5 are co-drivers -- this is decision-support infrastructure actually used by policy organisations. Moderately well-known; discount about 5 points for documentation advantage."
3,Open Digital Planning,https://opendigitalplanning.org/,73.7,65.7,+8,0.80,LOW,none,criteria,"One hundred local planning authorities deploying PlanX and BOPS with a documented 30% processing time reduction -- that is unusually strong C6 evidence for this list. The MHCLG partnership and i.AI collaboration show serious institutional backing. C2 is the primary driver: this is government infrastructure that actually improves regulatory processes. The self-reported methodology is a C3 limitation I note, but the scale of deployment compensates. M5 applies for policymaker advisory infrastructure."
4,Principles for Public Participation in Procurement of AI,https://p4ai.net,73.6,67.6,+6,0.60,MEDIUM,none,criteria,This framework directly addresses how governments should involve the public when procuring AI -- sitting squarely at the intersection of C1 (AI safety in institutional decisions) and C2 (regulatory infrastructure). EU Commission and US federal agency engagement are strong institutional signals. C1 scores above midpoint because this explicitly concerns AI governance in public procurement. The documented limitations about developing-country implementation are C3-positive. M5 applies for policy advisory function.
5,OA.Works,https://oa.works/,68.8,61.8,+7,0.75,LOW,none,criteria,"The IFLA partnership for RSCVD and the Plan S Journal Checker Tool built on OA.Works permissions data show real institutional uptake, not just aspiration. The documented sunsetting of older tools signals honest lifecycle management. C2 and C3 drive the score: this is infrastructure that helps institutions (funders, libraries) govern research access, with explicit acknowledgment of limitations. Open-source and cross-jurisdictional boosts apply."
6,Open Collective,https://opencollective.com,67.7,62.7,+5,0.65,LOW,medium,criteria,"Open Collective is genuine civic financial infrastructure -- transparent budgets for mutual aid groups, open source projects, and grassroots organisations. C4 (cooperation-building) is the primary driver: the fiscal sponsorship model explicitly creates cooperative financial structures. Active development, global scope, and open-source status all contribute. My confidence is partly informed by how well-known this platform is; with less documentation, I would estimate 5-7 points lower."
7,SecureDrop,https://securedrop.org,67.7,63.7,+4,0.70,LOW,high,criteria,"SecureDrop's documented limitation about requiring Tor understanding and the inability to detect abuse due to no IP logging demonstrates real C3 quality -- acknowledging fundamental design tradeoffs. Adopted by major news organisations globally for source protection, with decade-plus operation and active development. C5 and C3 are co-drivers: this protects whistleblower autonomy while being honest about its constraints. High popularity risk -- well-known FPF project; discount about 6 points for documentation advantage."
8,Public AI Inference Utility,https://publicai.co/,66.8,60.8,+6,0.55,MEDIUM,none,criteria,"A public inference utility for open-source language models with partnerships including Swiss AI, AI Singapore, and National Computational Infrastructure Australia -- this is genuinely novel public AI infrastructure. C1 scores above midpoint because providing public access to sovereign AI models is an AI governance intervention. The September 2025 launch means deployment evidence is thin but real (Hugging Face integration). C1 and C2 are co-drivers. M6 open-source boost applies."
9,Talk to the City,https://talktothecity.org,66.7,62.7,+4,0.65,MEDIUM,none,criteria,"The Taiwan AI Assembly deployment analysing 2,000+ opinions from 400 participants and the municipal government adoption for participatory budgeting show real institutional use of AI-powered collective discourse tools. C1 scores above midpoint because this is AI applied to democratic deliberation with documented bias concerns. The documented limitations about AI summarisation bias are C3-positive. C4 drives the score: this builds cooperation through structured collective intelligence. Partial open-source limits the full boost."
10,Open Science Framework,https://osf.io,65.8,60.8,+5,0.70,LOW,high,criteria,"OSF's core mission -- addressing the reproducibility crisis -- is a direct instantiation of C3 (epistemic honesty). Making research open and replicable strengthens the evidence base for policy decisions, which connects to C2. NIH and NSF collaborations show institutional uptake. C3 is the primary driver. But like ORCID, this is a very well-known platform; my confidence is partly a product of documentation richness. Discount for familiarity: approximately 7 points."
11,Open Referral UK,https://openreferraluk.org,64.8,59.8,+5,0.70,LOW,none,criteria,Endorsement by the Central Digital and Data Office as a recommended standard gives this unusually strong institutional legitimacy. Bristol Council and Buckinghamshire adoption show real deployment. The focus on reducing information barriers for vulnerable populations gives it C5 credit beyond typical data standards work. C2 drives the score: this is government-endorsed community services infrastructure with documented institutional use. Open-source boost applies.
12,Participedia,https://participedia.net,64.8,60.8,+4,0.65,MEDIUM,medium,criteria,"1,800+ documented cases of participatory democracy with 330+ methods catalogued -- this is a knowledge commons for democratic innovation that directly serves C4 and C3. The documented limitations around volunteer quality and bias risk show epistemic honesty. Decade-plus track record with global scope. C3 and C4 are co-drivers. The crowdsourced methodology is both its strength (breadth) and weakness (quality control). Moderately well-known in civic tech circles."
13,Nym,https://nymtech.net,64.8,61.8,+3,0.60,MEDIUM,medium,criteria,"Nym's mixnet architecture is genuinely distinct privacy infrastructure -- it goes beyond VPNs by preventing traffic analysis at the network layer, which matters for protecting autonomy in surveilled contexts. The dossier shows active development and documented limitations, which I value. C5 (attention/autonomy/community) is the primary driver here since this is fundamentally about preserving individual autonomy against network-level surveillance. The open-source boost applies but no regulatory engagement brings C2 down."
14,Parti,https://parti.xyz,64.8,61.8,+3,0.70,LOW,none,criteria,Seoul Metropolitan Government integration into participatory budgeting and the directly-cited causation strength are unusually strong evidence for this kind of civic platform. Multiple South Korean local government partnerships show real institutional adoption. C2 and C4 are co-drivers: this is government-endorsed participation infrastructure that explicitly builds cooperation between citizens and municipal budgeting processes. Limited English documentation is honestly noted.
15,ORCID,https://orcid.org,63.8,59.8,+4,0.70,LOW,high,criteria,"ORCID is foundational research identification infrastructure mandated by NIH, NSF, and Horizon Europe -- the kind of institutional adoption that scores maximally on C6. Its civic relevance is indirect but real: persistent researcher IDs enable research integrity, which underpins evidence-based policy. C6 and C2 together drive the score. However, ORCID is extremely well-documented and well-known; stripping the documentation advantage, I would estimate 8 points lower. The partial open-source status limits the M6 boost."
16,RxC Quadratic Voting,https://quadraticvote.radicalxchange.org,62.8,59.8,+3,0.60,MEDIUM,none,criteria,"Quadratic voting is the mathematically optimal way to express preference intensity in group decisions -- this directly engages C3 (complexity-aware methodology) and C4 (cooperation-building through incentive design). The mechanism design principles are exactly what my constitution's C4 criterion describes. But deployment evidence is limited to organisational governance and DAOs, not institutional or governmental adoption. C3 and C4 are co-drivers. Open-source boost applies."
17,OpenBudgets.eu,https://openbudgets.eu,61.8,57.8,+4,0.65,MEDIUM,none,criteria,"European Commission partnership and use across EU member states for budget transparency gives this strong C2 credentials. The documented limitations around Eastern European adoption gaps and post-grant sustainability show honest self-assessment. But the last commit was June 2023 and there are sustainability concerns, which drags C6 down. C2 drives the score -- this is exactly the kind of institutional fiscal infrastructure I look for."
18,Privacy Badger,https://privacybadger.org,61.8,57.8,+4,0.70,LOW,medium,criteria,"The 2020 pivot from heuristic learning to pre-trained blocklist after Google's fingerprinting vulnerability disclosure is outstanding C3 evidence -- responding to a discovered failure mode by changing the fundamental approach. EFF provenance, decade-plus track record, and over a million users. C5 and C3 are co-drivers: this protects user autonomy against tracking while being epistemically honest about its own vulnerabilities. Moderately well-known; perhaps 5 points of documentation advantage."
19,Open Data Editor (ODE),https://okfn.org/en/projects/open-data-editor/,60.9,55.9,+5,0.70,LOW,none,criteria,"The Zagreb city government deployment and presence in 8+ countries including Cambodia and South Africa shows real cross-jurisdictional use, which is rare. The privacy-enhanced AI for data error detection is a responsible design choice. C2 is the primary driver -- this is open data infrastructure used by governments for transparency compliance. OKFN provenance and open-source status earn the M6 boost."
20,Overton,https://overton.io,60.9,55.9,+5,0.55,MEDIUM,none,modifier,"Overton's core function -- tracking how research evidence flows into policy documents -- is exactly the kind of policymaker advisory tool M5 rewards. The machine learning for policy classification raises C1 questions about methodology transparency, but the concept of connecting researchers to policymakers via evidence tracking is strong C2 material. Not open-source, which limits the civic infrastructure dimension. M5 (policy advisory) is the primary driver of the score boost."
21,Open Supply Hub,https://opensupplyhub.org,60.9,56.9,+4,0.65,MEDIUM,none,criteria,The Bangladesh Ministry of Labour partnership and adoption by major apparel brands for compliance tracking gives this genuine C2 credentials in supply chain accountability. The open data model for supply chain transparency is a cooperation-building mechanism under C4. Documented limitations about data quality variation and voluntary participation are honest. C2 is the driver. Open-source and international scope provide additional lift.
