rank,name,url,score,criteria_score,mod_adj,completeness,uncertainty,pop_risk,primary_driver,c1,c2,c3,c4,c5,c6,c7,rationale
1,Agencies for Good,https://www.agenciesforgood.org,50.0,51.4,-1.4,0.55,MEDIUM,LOW,c3,15,9,28,4,2,14,2,Agencies for Good: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 28/30 pts is the criteria driver.
2,Aragon,https://aragon.org,50.0,52.1,-2.1,0.73,LOW,LOW,c3,12,15,23,4,2,15,4,Aragon: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 23/30 pts is the criteria driver.
3,CAN/DGSI 127 - Age Assurance Technologies Standard,https://dgc-cgn.org/product/can-dgsi-127/,50.0,50.0,0.0,0.64,LOW,LOW,c3,12,2,28,6,4,18,2,CAN/DGSI 127 - Age Assurance Technologies Standard: implementation-first scoring; primary driver is C3 at 28/30 pts; deployment modifier M_IMPL=0.
4,Harmonica,https://harmonica.chat/,50.0,47.9,2.1,0.73,LOW,LOW,c3,16,2,20,4,4,18,5,Harmonica: implementation-first scoring; primary driver is C3 at 20/30 pts; deployment modifier M_IMPL=0.
5,ORCID,https://orcid.org,50.0,42.4,7.6,0.73,LOW,LOW,c6,12,11,10,6,4,14,4,ORCID: implementation-first scoring; primary driver is C6 at 14/30 pts; deployment modifier M_IMPL=6.
6,Spacetube,https://spacetu.be,50.0,53.5,-3.5,0.64,LOW,LOW,c2,18,19,16,4,2,14,4,Spacetube: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C2 at 19/30 pts is the criteria driver.
7,Tactical Data Engagement,https://communities.sunlightfoundation.com/methodology,50.0,50.0,0.0,0.64,LOW,LOW,c3,18,2,28,4,4,14,2,Tactical Data Engagement: implementation-first scoring; primary driver is C3 at 28/30 pts; deployment modifier M_IMPL=0.
8,Cortico,https://cortico.ai/platform,49.3,47.2,2.1,0.73,LOW,LOW,c3,17,2,23,4,4,14,4,Cortico: implementation-first scoring; primary driver is C3 at 23/30 pts; deployment modifier M_IMPL=0.
9,Martus,https://www.martus.org,49.3,52.8,-3.5,0.64,LOW,LOW,c1,21,19,10,4,2,14,6,Martus: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 21/30 pts is the criteria driver.
10,New_ Public Roundabout,https://newpublic.substack.com/p/introducing-roundabout-built-for,49.3,49.3,0.0,0.55,MEDIUM,LOW,c3,16,6,23,4,2,18,2,New_ Public Roundabout: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 23/30 pts is the criteria driver.
11,Pageviews Analysis,https://pageviews.wmcloud.org,49.3,52.8,-3.5,0.64,LOW,LOW,c2,18,20,13,4,3,14,4,Pageviews Analysis: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C2 at 20/30 pts is the criteria driver.
12,Parallel Parliament,https://www.parallelparliament.co.uk,49.3,48.6,0.7,0.55,MEDIUM,LOW,c3,17,2,28,4,2,15,2,Parallel Parliament: implementation-first scoring; primary driver is C3 at 28/30 pts; deployment modifier M_IMPL=-2.
13,PlanIT,https://planit.org.uk,49.3,47.2,2.1,0.64,LOW,LOW,c3,19,2,23,4,4,14,2,PlanIT: implementation-first scoring; primary driver is C3 at 23/30 pts; deployment modifier M_IMPL=0.
14,The Data Trusts Initiative,https://datatrusts.uk,49.3,43.8,5.6,0.73,LOW,LOW,c1,19,2,13,4,4,18,3,The Data Trusts Initiative: implementation-first scoring; primary driver is C1 at 19/30 pts; deployment modifier M_IMPL=0.
15,Turn2us Benefits Calculator,https://benefits-calculator.turn2us.org.uk,49.3,49.3,0.0,0.64,LOW,LOW,c1,21,2,19,4,4,18,3,Turn2us Benefits Calculator: implementation-first scoring; primary driver is C1 at 21/30 pts; deployment modifier M_IMPL=0.
16,whatsmeow,https://github.com/tulir/whatsmeow,49.3,52.8,-3.5,0.45,MEDIUM,LOW,c2,18,20,13,4,3,14,4,whatsmeow: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C2 at 20/30 pts is the criteria driver.
17,Democracy Fund Open Source,https://www.dfos.com,48.6,54.2,-5.6,0.55,MEDIUM,LOW,c3,17,16,23,4,2,14,2,Democracy Fund Open Source: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 23/30 pts is the criteria driver.
18,Entitledto,https://entitledto.co.uk,48.6,48.6,0.0,0.64,LOW,LOW,c1,21,2,19,4,4,18,2,Entitledto: implementation-first scoring; primary driver is C1 at 21/30 pts; deployment modifier M_IMPL=0.
19,Journal of Open Source Software,https://joss.theoj.org,48.6,50.7,-2.1,0.64,LOW,LOW,c2,14,24,10,4,2,15,4,Journal of Open Source Software: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C2 at 24/30 pts is the criteria driver.
20,Metaculus,https://metaculus.com,48.6,48.6,0.0,0.82,LOW,HIGH,c1,19,15,10,4,3,14,5,Metaculus: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 19/30 pts is the criteria driver.
21,semanticClimate,https://semanticclimate.github.io,48.6,54.2,-5.6,0.64,LOW,LOW,c2,14,23,13,4,2,18,4,semanticClimate: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C2 at 23/30 pts is the criteria driver.
22,The Circuit,https://thecircuit.cc,48.6,48.6,0.0,0.82,LOW,HIGH,c3,12,10,23,4,4,14,3,The Circuit: implementation-first scoring; primary driver is C3 at 23/30 pts; deployment modifier M_IMPL=0.
23,Gender Pay Gap Service,https://gender-pay-gap.service.gov.uk,47.9,47.9,0.0,0.64,LOW,LOW,c3,12,2,23,4,4,22,2,Gender Pay Gap Service: implementation-first scoring; primary driver is C3 at 23/30 pts; deployment modifier M_IMPL=0.
24,River Sentiment Dashboard,https://riversentiment.app,47.9,47.9,0.0,0.91,LOW,HIGH,c6,15,10,16,4,4,18,2,River Sentiment Dashboard: implementation-first scoring; primary driver is C6 at 18/30 pts; deployment modifier M_IMPL=0.
25,rsky,https://github.com/blacksky-algorithms/rsky,47.9,51.4,-3.5,0.55,MEDIUM,LOW,c2,18,20,10,4,3,14,5,rsky: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C2 at 20/30 pts is the criteria driver.
