rank,url,project_name,score,criteria_score,modifier_adj,dossier_completeness,uncertainty,popularity_risk,primary_driver,rationale
241,https://overton.io,Overton,46.0,50.0,-4,0.83,LOW,LOW,criteria,"Overton has some of what I look for but doesn't land the full combination I care most about — participation infrastructure, evidence rigour, and democratic accessibility working together. modifiers: M4:-4, M5:+6."
242,https://gov.uk/find-local-consultations,Find local consultations,45.1,47.1,-2,0.83,LOW,LOW,criteria,"Find local consultations addresses democratic infrastructure quality directly — helping people who feel disconnected from institutions actually engage with them. modifiers: M5:+4, M6:-6."
243,https://unpaywall.org/products/extension,Unpaywall Browser Extension,45.1,45.1,0,0.67,MEDIUM,LOW,criteria,"Unpaywall Browser Extension has some of what I look for but doesn't land the full combination I care most about — participation infrastructure, evidence rigour, and democratic accessibility working together."
244,https://www.welivedit.ai,We Live It,45.1,45.1,0,0.67,MEDIUM,LOW,criteria,"We Live It has some of what I look for but doesn't land the full combination I care most about — participation infrastructure, evidence rigour, and democratic accessibility working together. modifiers: M5:+6, M6:-6."
245,https://www.wikidata.org,Wikidata,45.1,45.1,0,0.92,LOW,MEDIUM,criteria,"Wikidata has some of what I look for but doesn't land the full combination I care most about — participation infrastructure, evidence rigour, and democratic accessibility working together."
246,https://annas-archive.pm,Anna's Archive,45,52.9,2,0.55,MEDIUM,NONE,procedural,"Anna's Archive demonstrates the epistemic rigour I look for — explicit about what it measures, how it knows if it works, and where its limits are. modifiers: M4:-4, M5:+6."
247,https://developer.parliament.uk,UK Parliament Developer Portal,45,47.1,0,0.72,LOW,LOW,procedural,"UK Parliament Developer Portal has some of what I look for but doesn't land the full combination I care most about — participation infrastructure, evidence rigour, and democratic accessibility working together."
248,https://dogooder.co,DoGooder,45,55.9,12,0.6299999999999999,MEDIUM,NONE,procedural,"What draws me most to DoGooder is its focus on enabling people to organise without institutional support — the core of what I care about in political technology. modifiers: M1:+12, M5:+6."
249,https://hand-written-petition-scanner.streamlit.app,Hand-Written Petition Scanner,45,58.8,15,0.37999999999999995,HIGH,NONE,procedural,"What draws me most to Hand-Written Petition Scanner is its focus on enabling people to organise without institutional support — the core of what I care about in political technology. modifiers: M1:+9, M5:+6. genuinely uncertain — thin dossier, cannot fully assess fit against my criteria."
250,https://medium.com/@abscond/membership-a-prototype-ea822b2683b,Membership,45,39.2,10,0.37999999999999995,HIGH,NONE,procedural,"Membership has some of what I look for but doesn't land the full combination I care most about — participation infrastructure, evidence rigour, and democratic accessibility working together. modifiers: M3:+4, M5:+6. genuinely uncertain — thin dossier, cannot fully assess fit against my criteria."
251,https://membersinterests.org.uk,Members' Interests,45,57.8,0,0.72,LOW,MEDIUM,procedural,"Members' Interests addresses democratic infrastructure quality directly — helping people who feel disconnected from institutions actually engage with them. modifiers: M4:-4, M5:+4."
252,https://meta.wikimedia.org/wiki/abstract_wikipedia,Abstract Wikipedia,45,55.9,14,0.72,LOW,HIGH,procedural,"Abstract Wikipedia has some of what I look for but doesn't land the full combination I care most about — participation infrastructure, evidence rigour, and democratic accessibility working together. modifiers: M1:+8, M5:+6. popularity-risk flag — Abstract Wikipedia is widely known and well-documented; stripping dossier richness advantage I'd estimate roughly 8-12 points lower."
253,https://metaculus.com,Metaculus,45,69.6,11,0.72,LOW,LOW,procedural,"What draws me most to Metaculus is its focus on enabling people to organise without institutional support — the core of what I care about in political technology. modifiers: M1:+9, M4:-4."
254,https://openaccess.transparency.org.uk,Open Access – Transparency International UK,45,59.8,9,0.72,LOW,LOW,procedural,What draws me most to Open Access – Transparency International UK is its focus on enabling people to organise without institutional support — the core of what I care about in political technology. modifiers: M1:+9.
