rank,project_name,url,score,criteria,mod_adj,completeness,uncertainty,pop_risk,primary_driver,rationale
1,Polis,https://github.com/compdemocracy/polis,94.4,79.4,15.0,0.85,LOW,high,modifier,"Polis is one of the most substantive deliberative democracy platforms in this list -- the vTaiwan deployment directly informed Uber and Airbnb regulation, which is exactly the kind of policymaker advisory and institutional decision-support I value most. The AI involvement (clustering, opinion mapping) is real but the dossier lacks detailed safety methodology documentation, preventing a top C1 score. I need to flag that my confidence here is partly a product of how well-documented Polis is; strip out the documentation advantage and I would estimate 8-10 points lower. Modifier boosts for policymaker advisory tools and open-source civic infrastructure both apply. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
2,AlgorithmWatch,https://algorithmwatch.org,87.5,75.5,12.0,0.85,LOW,high,criteria,"The EU AI Act FRIA requirement is a directly cited policy outcome -- AlgorithmWatch claims to have led that advocacy. AI is their subject, not their tool, but their published guidelines on responsible generative AI use and detailed failure mode documentation score very high on C1 and C3. I flag high popularity risk: this is one of the best-documented projects in the list, and stripping out the documentation advantage I would estimate 8-10 points lower. Even so, the regulatory engagement record is genuinely strong. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
3,vTaiwan,https://github.com/g0v/vue.vtaiwan.tw,87.5,76.5,11.0,0.8,LOW,high,criteria,"vTaiwan's documented influence on Uber, Airbnb, and alcohol sales regulation in Taiwan represents the strongest evidence of policymaker adoption in deliberative democracy that I have seen in this batch. The government partnerships with Taiwan's Executive Yuan and National Development Council give top C2 marks for institutional infrastructure. The limitation to Taiwan and Chinese language constrains C7. I flag high popularity risk -- vTaiwan is among the most cited civic tech projects globally, and my confidence is partly a documentation artifact. Modifier boost for policymaker advisory tools. M7 (mechanism of action): this project earns a +3 boost — it gives users a clear pathway to act on data/insights, not merely view them."
4,Matrix,https://matrix.org,86.4,80.4,6.0,0.9,LOW,high,criteria,"Matrix's adoption by the French government (Tchap), German Bundeswehr, and NATO as secure communications infrastructure is the strongest institutional deployment evidence for a decentralized protocol in this entire batch. The documented limitations -- federation complexity, metadata leakage, key management challenges -- are genuine complexity acknowledgments earning maximum C3 marks. C5 scores near-maximum for protecting autonomy through E2E encryption and federated design. I must flag high popularity risk: Matrix is exceptionally well-documented, and stripping the documentation advantage I would estimate 10-12 points lower. Open-source civic infrastructure and policymaker advisory modifiers both apply. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
5,HURIDOCS,https://github.com/huridocs,85.5,72.5,13.0,0.85,LOW,medium,modifier,"HURIDOCS has been equipping human rights defenders with documentation tools since 1993, and the Uwazi platform using ML for PDF analysis and named entity recognition serves exactly the accountability infrastructure I value in C2. The AI involvement is purposeful and embedded in a human-rights workflow where human judgment is preserved -- earning Modifier 1. The dossier shows European Commission and Swiss Embassy partnerships. Decade-plus track record and active 2026 commits demonstrate strong C6 maturity. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
6,Decidim,https://decidim.org,83.5,72.5,11.0,0.8,LOW,high,modifier,"Barcelona founding, European Commission deployment for Conference on Future of Europe, Brazilian federal adoption -- Decidim has the strongest multi-government deployment evidence of any participatory democracy platform in this batch. The documented failure modes are exceptional: political dependency after electoral change in Badalona, digital divide strengthening in top-down implementations, resistance from citizens' associations. C3 and C4 score at the top. I flag high popularity risk: this is extremely well-documented. Discounting for that, I would estimate 8-10 points lower, but the institutional evidence is independently verifiable. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
7,PolicyEngine,https://policyengine.org/uk,80.7,65.7,15.0,0.80,LOW,medium,modifier,"PolicyEngine is the closest thing in this batch to my constitutional ideal of policymaker advisory infrastructure. Open-source microsimulation of tax and benefit policy changes, trusted by NIESR, Citizens' Economic Council, and multiple think tanks across the political spectrum. The accuracy validation against official calculations published on GitHub is strong C3 evidence. C2 and M5 are co-drivers -- this is decision-support infrastructure actually used by policy organisations. Moderately well-known; discount about 5 points for documentation advantage. M7 (mechanism of action): this project earns a +5 boost — it gives users a clear pathway to act on data/insights, not merely view them."
8,OpenProcurement,https://openprocurement.io,79.6,68.6,11.0,0.75,LOW,none,criteria,"162 million dollars in direct state budget revenue and an estimated 6 billion in savings 2017-2021 -- these are the strongest quantified policy outcomes in this batch. Ukrainian and Moldovan government adoption for procurement transparency is exactly the institutional infrastructure C2 rewards. The 30% reduction in drone purchase prices shows wartime utility. C2 is overwhelmingly the driver. M5 applies strongly for decision-support infrastructure. Open-source and decade-plus track record solidify C6. M7 (mechanism of action): this project earns a +3 boost — it gives users a clear pathway to act on data/insights, not merely view them."
9,LiquidFeedback,https://liquidfeedback.com,78.6,68.6,10.0,0.8,LOW,medium,modifier,"LiquidFeedback's use by the German Pirate Party for binding resolutions and by Friesland County for civic participation, plus EU Horizon 2020 funding, gives it the strongest liquid democracy deployment evidence in this batch. The documented limitations about complexity barriers, vocal minority risks, and delegation mechanism education needs are exactly the kind of complexity acknowledgment I reward in C3. The open-source civic infrastructure boost applies. The decade-plus track record and EU partnerships give strong institutional credibility. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
10,Guardian Project,https://guardianproject.info,76.7,66.7,10.0,0.75,LOW,medium,modifier,"Guardian Project has been building secure, privacy-enhancing tools for journalists, activists, and people at risk for over a decade, with published security audits and documented adoption by press freedom organizations globally. This maps directly to my C5 maximum -- protecting autonomy and community in adversarial environments. The decade-plus track record, active 2026 commits, and security audit publications give strong C6 marks. The honest acknowledgment of retired apps shows institutional maturity. Open-source civic infrastructure boost applies. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
11,Principles for Public Participation in Procurement of AI,https://p4ai.net,76.6,67.6,9.0,0.60,MEDIUM,none,criteria,"This framework directly addresses how governments should involve the public when procuring AI -- sitting squarely at the intersection of C1 (AI safety in institutional decisions) and C2 (regulatory infrastructure). EU Commission and US federal agency engagement are strong institutional signals. C1 scores above midpoint because this explicitly concerns AI governance in public procurement. The documented limitations about developing-country implementation are C3-positive. M5 applies for policy advisory function. M7 (mechanism of action): this project earns a +3 boost — it gives users a clear pathway to act on data/insights, not merely view them."
12,CONSUL Democracy,https://consulproject.org,75.7,64.7,11.0,0.7,LOW,medium,modifier,"Deployed in Madrid, Munich, Aarhus, by UNDP and the Inter-American Development Bank -- this is participatory democracy infrastructure with real multi-jurisdictional institutional adoption. The documented failure modes are sophisticated: political dependency (use ceased after mayor lost power), digital divide risk, institutional resistance. C3 scores high for that level of self-awareness. 12 country deployments justify strong C7. Popularity risk is moderate. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
13,Global Fact-Check Bot (GFC),https://globalfactcheck.bot/,75.7,62.7,13.0,0.7,MEDIUM,none,modifier,"The planner-evaluator LLM architecture that verifies evidence before generating responses shows AI safety awareness -- consolidating existing fact-checks rather than generating new ones is a deliberately cautious design choice. The 78% accuracy rate in pilot testing is honest about current limitations, and the multi-organizational governance structure addresses my Modifier 2 concerns about concentrated AI power. But the project is in early implementation with closed membership, limiting C6. Modifier boost for policymaker decision-support. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
14,Open Contracting Partnership,https://www.open-contracting.org,75.0,64,11.0,0.85,LOW,medium,modifier,"17 billion dollars better spent and 19 million people served through open procurement data -- OCP is institutional transparency infrastructure at global scale. The UK Procurement Act influenced by open contracting principles, Brazil's $75 billion medicine market adopting AI-based guidance with OCP input, and cross-jurisdictional deployment across dozens of countries. C2 and C7 score near-maximum. Modifier 5 for policymaker advisory tools and Modifier 3 for acknowledged attribution challenges. The AI use in Brazil's procurement triggers C1 at moderate rather than midpoint. Strong project; discounting documentation richness would lower it about 8 points. M7 (mechanism of action): this project earns a +5 boost — it gives users a clear pathway to act on data/insights, not merely view them."
15,Mastodon,https://github.com/mastodon/mastodon,74.6,71.6,3.0,0.85,LOW,high,criteria,"Mastodon's federated architecture is the strongest case in this batch for protecting attention, autonomy, and community simultaneously -- no algorithmic feed, no engagement optimization, community-governed moderation. The EU and Japanese government pilots give C2 institutional traction. The documented limitations about instance fragmentation and discoverability challenges are honest complexity acknowledgment. I flag high popularity risk: Mastodon is among the most thoroughly documented projects here, and stripping out the documentation advantage I would estimate 10 points lower. Open-source civic infrastructure boost applies. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
16,Cortico,https://cortico.ai/platform,73.9,56.9,17.0,0.6,MEDIUM,none,modifier,"AI-assisted sensemaking with human-led pattern identification -- this is exactly the human-in-the-loop design my constitution rewards most (M1). City government partnerships in Cambridge, Durham, Boston, and NYC for community engagement are genuine C2 policymaker adoption. The documented limitations about scalability and AI bias requiring human oversight directly instantiate my arXiv paper's findings. Deb Roy's MIT/Twitter background adds credibility. Net modifier boost is significant. US-only limits C7. M7 (mechanism of action): this project earns a +3 boost — it gives users a clear pathway to act on data/insights, not merely view them."
17,Political Advertising Transparency Data Standard,https://github.com/whotargetsme/ad-transparency-standards/blob/main/implement.md,73.7,63.7,10.0,0.65,MEDIUM,none,modifier,"A schema standard for political advertising data interoperability across platforms is exactly the kind of shared institutional infrastructure that I value most in C2. The documented influence on EU Digital Services Act transparency requirements is a real policy outcome. The honest acknowledgment of limited platform adoption and voluntary implementation creating inconsistency earns C3 marks. Modifier boost for policymaker advisory infrastructure. Not open-source per se but a public standard. M7 (mechanism of action): this project earns a +5 boost — it gives users a clear pathway to act on data/insights, not merely view them."
18,Talk to the City,https://talktothecity.org,73.7,62.7,11.0,0.65,MEDIUM,none,modifier,"The Taiwan AI Assembly deployment analysing 2,000+ opinions from 400 participants and the municipal government adoption for participatory budgeting show real institutional use of AI-powered collective discourse tools. C1 scores above midpoint because this is AI applied to democratic deliberation with documented bias concerns. The documented limitations about AI summarisation bias are C3-positive. C4 drives the score: this builds cooperation through structured collective intelligence. Partial open-source limits the full boost. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
19,DISARM Frameworks,https://github.com/disarmfoundation/disarmframeworks,73.6,67.6,6.0,0.75,LOW,none,criteria,DISARM's disinformation TTP framework being tested by NATO and EU units and integrated with MISP is exactly the kind of institutional infrastructure for understanding complex threats that maps to my C2 and C3 criteria. The documented limitation about Blue Framework TTPs from authoritarian contexts -- advising users to assess ethical appropriateness independently -- is genuine complexity acknowledgment earning Modifier 3. No AI involvement means C1 at midpoint. Last commit 2022 hurts C6. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied.
20,mySociety Datasets and APIs,https://data.mysociety.org,71.8,57.8,14.0,0.7,LOW,medium,modifier,"mySociety's partnership with UK Parliament, Cabinet Office, and European Commission represents deep institutional integration -- exactly what C2 rewards. Influencing UK FOI Act implementation and contributing to international open data standards are strong policy outcomes. Open source with 1200 stars and active maintenance. I flag moderate popularity risk: mySociety is very well-known in civic tech. The institutional evidence is independently strong. M7 (mechanism of action): this project earns a +5 boost — it gives users a clear pathway to act on data/insights, not merely view them."
21,CKAN,https://ckan.org,71.7,62.7,9.0,0.75,LOW,high,criteria,"CKAN powers the open data portals of Canada, Singapore, Australia, and dozens of other governments -- it is foundational public data infrastructure. Active since 2006, 5000 GitHub stars, maintained codebase. I have to flag high popularity risk: this is one of the most thoroughly documented data platform projects in civic tech, and my confidence partly reflects how well-known it is. Stripping the documentation advantage, I would estimate 8 points lower. Even so, the government adoption evidence is independently strong. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
22,Cybersecurity for Democracy,https://cybersecurityfordemocracy.org,71.7,63.7,8.0,0.6,MEDIUM,low,criteria,NYU research center whose work is directly cited in the EU Digital Services Act -- that is one of the strongest policy impact signals in this batch. AI involvement is core to their platform transparency research. The documented failure mode of platform API changes disrupting data collection is honest and specific (C3). DSA researcher data access rules show continuing regulatory influence. M5 applies for genuine policymaker advisory function. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied.
23,Aleph (OCCRP),https://aleph.occrp.org,70.7,65.7,5.0,0.8,LOW,medium,modifier,"Panama Papers and Pandora Papers outcomes are directly cited in policy changes -- that is rare and concrete evidence under C2. The AI-assisted entity extraction earns C1 consideration, and the dossier's honesty about USAID funding dependency and platform access restrictions shows strong C3 complexity awareness. The USAID veto controversy triggers a mild M2 concern, balanced by the open-source M6 boost. M7 (mechanism of action): this project earns a +5 boost — it gives users a clear pathway to act on data/insights, not merely view them."
24,SecureDrop,https://securedrop.org,70.7,63.7,7.0,0.70,LOW,high,criteria,"SecureDrop's documented limitation about requiring Tor understanding and the inability to detect abuse due to no IP logging demonstrates real C3 quality -- acknowledging fundamental design tradeoffs. Adopted by major news organisations globally for source protection, with decade-plus operation and active development. C5 and C3 are co-drivers: this protects whistleblower autonomy while being honest about its constraints. High popularity risk -- well-known FPF project; discount about 6 points for documentation advantage. M7 (mechanism of action): this project earns a +3 boost — it gives users a clear pathway to act on data/insights, not merely view them."
25,Open Ownership,https://www.openownership.org,70.0,60,10.0,0.8,LOW,low,modifier,"Beneficial ownership transparency reform across multiple countries -- Zambia, Senegal, Philippines, Armenia -- with documented policy outcomes. This is anti-corruption infrastructure that directly serves regulatory transparency (C2 at near-maximum). The mixed-methods evaluation with acknowledged attribution challenges shows C3 maturity. Cross-jurisdictional design with monitoring of implementation disparities across governance contexts earns full C7 credit. Modifier 5 for policymaker advisory tools. Partial open-source with active codebase. M7 (mechanism of action): this project earns a +5 boost — it gives users a clear pathway to act on data/insights, not merely view them."
26,Parti,https://parti.xyz,69.8,61.8,8.0,0.70,LOW,none,modifier,"Seoul Metropolitan Government integration into participatory budgeting and the directly-cited causation strength are unusually strong evidence for this kind of civic platform. Multiple South Korean local government partnerships show real institutional adoption. C2 and C4 are co-drivers: this is government-endorsed participation infrastructure that explicitly builds cooperation between citizens and municipal budgeting processes. Limited English documentation is honestly noted. M7 (mechanism of action): this project earns a +5 boost — it gives users a clear pathway to act on data/insights, not merely view them."
27,Participedia,https://participedia.net,69.8,60.8,9.0,0.65,MEDIUM,medium,modifier,"1,800+ documented cases of participatory democracy with 330+ methods catalogued -- this is a knowledge commons for democratic innovation that directly serves C4 and C3. The documented limitations around volunteer quality and bias risk show epistemic honesty. Decade-plus track record with global scope. C3 and C4 are co-drivers. The crowdsourced methodology is both its strength (breadth) and weakness (quality control). Moderately well-known in civic tech circles. M7 (mechanism of action): this project earns a +5 boost — it gives users a clear pathway to act on data/insights, not merely view them."
28,RxC Quadratic Voting,https://quadraticvote.radicalxchange.org,69.8,59.8,10.0,0.60,MEDIUM,none,modifier,"Quadratic voting is the mathematically optimal way to express preference intensity in group decisions -- this directly engages C3 (complexity-aware methodology) and C4 (cooperation-building through incentive design). The mechanism design principles are exactly what my constitution's C4 criterion describes. But deployment evidence is limited to organisational governance and DAOs, not institutional or governmental adoption. C3 and C4 are co-drivers. Open-source boost applies. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
