rank,project_name,url,score,criteria,mod_adj,completeness,uncertainty,pop_risk,primary_driver,rationale
82,Loomio,https://www.loomio.org,59.0,48,11.0,0.65,LOW,medium,modifier,"Loomio's cooperative decision-making architecture is a direct instantiation of C4 -- cooperation as a design choice built into systems. The Mamdani campaign case study (13,000 members, zero paid staff) demonstrates C6 implementation at meaningful scale. Open-source with decade-plus operation and active development earns Modifier 6. New Zealand government pilots provide C2 evidence. But evidence of long-term decision quality is acknowledged as limited, and scalability challenges for very large groups constrain C7 ambitions. Well-known in civic tech; discounting documentation advantage would drop about 5 points. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
83,OPORA,https://www.oporaua.org,59.0,52,7.0,0.65,MEDIUM,none,modifier,"Ukraine's leading election integrity organisation with Central Election Commission research collaboration and a decade-plus track record of non-partisan monitoring. The Voter Register research presented to the CEC and the Electoral Integrity Academy demonstrate C2 institutional engagement. Operating under wartime constraints adds unique C3 complexity. Disparity tracking is active. The correlated causation strength and published performance metrics provide C6 evidence. Ukraine-only limits C7 but the wartime context makes the work unusually difficult and important. M7 (mechanism of action): this project earns a +5 boost — it gives users a clear pathway to act on data/insights, not merely view them."
84,Rahvaalgatus,https://github.com/rahvaalgatus/rahvaalgatus,59.0,52.0,7.0,0.4,MEDIUM,none,modifier,"Estonia's citizen initiative platform benefits from the country's advanced digital governance infrastructure, which gives implicit C2 institutional credibility. The open-source participatory democracy tool has active 2024 commits. But the dossier is thin -- no documented policy outcomes, no limitations documented, no performance metrics. Estonia-only scope limits C7. The platform concept is solid but evidence is insufficient to push scores higher. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
85,The Data Trusts Initiative,https://datatrusts.uk,59.0,49.0,10.0,0.5,MEDIUM,none,modifier,"Three real-world data trust pilots (Born in Scotland, Brixham, GP Data Trust) and a UK AI Council submission -- this is governance innovation with genuine institutional engagement. The documented limitation that UK legal frameworks for data trusts remain underspecified is exactly the kind of honest complexity acknowledgment C3 rewards. But pilots are small-scale and early-stage, and the UK-only scope limits C7. Conceptually rich, deployment-thin. M7 (mechanism of action): this project earns a +5 boost — it gives users a clear pathway to act on data/insights, not merely view them."
86,TheyWorkForYou,https://www.theyworkforyou.com,59.0,54,5.0,0.75,LOW,medium,criteria,"2 million+ annual visitors accessing parliamentary records across UK, Scottish, and Northern Ireland assemblies with multi-decade operation. TheyWorkForYou is foundational democratic transparency infrastructure. C2 scores well for government partnerships and institutional integration. The partial open-source codebase and active development earn Modifier 6 credit. But it is observational rather than analytical -- no complexity methodology, no AI dimension, UK-only. Well-known mySociety project; documentation advantage means the real score might be 5 points lower. M7 (mechanism of action): this project earns a +3 boost — it gives users a clear pathway to act on data/insights, not merely view them."
87,Gender Pay Gap Service,https://gender-pay-gap.service.gov.uk,58.9,53.9,5.0,0.55,LOW,none,criteria,"UK Government mandatory reporting service -- directly cited in legislation requiring employers to publish gender pay gap data. This is regulatory transparency infrastructure at its most direct: C2 scores near the top. The documented limitations (250+ employee threshold, no intersectional data, snapshot vs longitudinal) show genuine C3 complexity awareness. Disparity tracking is core to the service design. UK-only and proprietary limit C7 and M6. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
88,Manifold Markets,https://manifold.markets,58.9,52.9,6.0,0.55,MEDIUM,none,criteria,"Prediction markets for political, cultural, and business outcomes have genuine epistemological value -- the aggregation of forecasts from diverse participants is a form of complexity-aware methodology that earns C3 marks. The published market accuracy metrics and active 2026 codebase give C6 strength. But the documented jurisdictional limitations and the question of whether prediction markets improve or gamify democratic engagement is unresolved. Partially open-source earns a weaker modifier boost. M7 (mechanism of action): this project earns a +3 boost — it gives users a clear pathway to act on data/insights, not merely view them."
89,OA.Report,https://oa.report,58.9,52.9,6.0,0.65,MEDIUM,none,criteria,"OA.Report's explicit documentation of its coverage limitations -- restricted to OpenAlex and Crossref, may miss OA variants -- is exactly the kind of epistemic honesty I look for under C3. It serves research funders tracking compliance, which gives it a modest C2 score for institutional infrastructure. But it is not open-source and has limited cooperation-building architecture, keeping the overall score moderate. M7 (mechanism of action): this project earns a +3 boost — it gives users a clear pathway to act on data/insights, not merely view them."
90,Open Access - Transparency International UK,https://openaccess.transparency.org.uk,58.9,53.9,5.0,0.55,MEDIUM,none,modifier,"The connection to the Economic Crime (Transparency and Enforcement) Act 2022 is strong C2 evidence -- this is corporate transparency data that directly supported regulatory reform. But the dossier notes the platform appears inactive or offline as of 2026, which severely limits C6. The Transparency International provenance lends credibility, but a dead platform cannot score well on implementation maturity. M7 (mechanism of action): this project earns a +5 boost — it gives users a clear pathway to act on data/insights, not merely view them."
91,RxC Voice,https://github.com/radicalxchange/rxc-voice,58.9,55.9,3.0,0.4,MEDIUM,none,criteria,"RxC Voice combines Quadratic Funding, Polis, and Quadratic Voting in a single governance app -- the mechanism design is sophisticated and directly maps to my C4 interest in cooperation-building and incentive design. The theoretical framework is strong on C3 complexity-awareness. But deployment evidence is thin: no documented institutional use, no policy outcomes, last commit January 2024. The gap between conceptual ambition and implementation keeps the total score moderate. M7 (mechanism of action): this project earns a +3 boost — it gives users a clear pathway to act on data/insights, not merely view them."
92,Schema.org,https://schema.org,58.9,54.9,4.0,0.35,MEDIUM,high,criteria,"Schema.org is foundational web infrastructure -- structured data schemas used by every major search engine. C6 and C7 score maximally: it is deployed globally, actively maintained, and universally adopted. But the dossier is surprisingly thin for such a well-known project. C2 gets credit for enabling institutional data interoperability. My confidence here is heavily influenced by prior knowledge rather than dossier evidence; stripping familiarity, I would score 12 points lower. High popularity risk. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
