rank,project_name,url,score,criteria,mod_adj,completeness,uncertainty,pop_risk,primary_driver,rationale
244,Pastecal,https://github.com/kazad/pastecal,38.4,31.4,7.0,0.35,HIGH,none,modifier,"A zero-login shared calendar tool is useful for organizing but has no meaningful connection to any of my high-weight criteria. No AI involvement, no regulatory engagement, no complexity acknowledgment, single maintainer dependency, and Firebase backend reliance. The dossier is thin and the civic tech connection is tangential at best. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
245,AISafety.info,https://aisafety.info,38.3,35.3,3.0,0.4,MEDIUM,low,criteria,"The AI chatbot Stampy puts this squarely in C1 territory, and the fact that they acknowledge it may be inaccurate earns some C3 credit. But this is an information resource, not an institutional tool -- no government partnerships, no policy outcomes, no regulatory engagement. My constitution is built for infrastructure that shapes decisions, not educational FAQs. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
246,CivicPress,https://civicpress.io/,38.3,35.3,3.0,0.35,HIGH,none,criteria,"Open-source platform for municipal record publishing -- the concept maps well to C2 (government transparency infrastructure). But 5 GitHub stars, founded 2025, self-funded, no government partnerships yet. This is a prototype. My constitution explicitly does not protect prototypes from C6 penalties. The vision is aligned but the evidence is pre-deployment. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
247,Nestr,https://nestr.io,38.3,33.3,5.0,0.3,HIGH,none,modifier,"Nestr is a purpose-driven collaboration platform using self-organization and AI, but the dossier explicitly notes its primary focus is workplace productivity rather than political engagement. The AI involvement is confirmed but completely undocumented in terms of safety or methodology. Proprietary, no government partnerships, no documented limitations. The civic technology connection is a stretch. M7 (mechanism of action): this project earns a +5 boost — it gives users a clear pathway to act on data/insights, not merely view them."
248,Fairbnb.coop,https://fairbnb.coop,38.2,41.2,-3.0,0.4,HIGH,none,criteria,"Cooperative tourism platform giving 50% of revenue to community projects -- strong C4 signal for cooperation-oriented incentive design. Bologna city partnership suggests some institutional engagement. But the platform is currently offline due to a coordinated spam attack, which is both an operational failure and an honest transparency signal. The cooperative structure is exactly the design choice I care about, but deployment evidence is thin and the security breach is concerning. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
249,Turn2us Benefits Calculator,https://benefits-calculator.turn2us.org.uk,38.2,42.2,-4.0,0.4,MEDIUM,none,criteria,"DWP partnership gives this institutional credibility, and helping low-income households navigate welfare benefits is genuine public service infrastructure. But the dossier is thin -- page content was unavailable for detailed analysis, no methodology documentation, no impact metrics. UK-only with no route to cross-jurisdictional use. Scores moderately on C2 from the government partnership alone. M7 (mechanism of action): −4 reduction — the project primarily surfaces or stores data without a clear action mechanism for citizens."
250,django-collaborative,https://github.com/propublica/django-collaborative,38.2,38.2,0.0,0.4,MEDIUM,none,criteria,"ProPublica's collaborative tip-gathering framework serves investigative journalism infrastructure, which has indirect value for accountability. But the last commit was December 2019, there are no documented policy outcomes, no government partnerships, and no limitations documented. The journalism connection earns modest C2 marks but the project appears abandoned. US-only scope and thin dossier constrain the score. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
251,DoNotPay,https://www.donotpay.com,38.0,32,6.0,0.45,MEDIUM,low,modifier,"AI-powered legal assistance using LLMs for document generation raises immediate C1 concerns -- legal advice is a consequential domain where AI errors can harm people, and the dossier shows no safety documentation, no bias testing, no failure mode analysis. The regulatory restrictions on AI-generated legal documents suggest institutional concern. Modifier 4 (naive optimisation) may apply if the system optimises for throughput without considering advice quality. Closed-source, limited jurisdictions, no documented limitation beyond generic disclaimers. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
252,Objector.ai,https://www.objector.ai,38.0,32,6.0,0.4,MEDIUM,none,modifier,"AI-powered planning objection letter generation is an interesting C5 application -- empowering citizens against opaque planning processes. But the dossier shows no documentation of AI methodology, no safety review for a tool that generates quasi-legal documents, and UK-only scope. Under my C1 criteria, AI in a consequential civic context (planning decisions affect communities) without documented safety considerations is a concern. The dual-AI system mention without further detail is insufficient. M7 (mechanism of action): this project earns a +5 boost — it gives users a clear pathway to act on data/insights, not merely view them."
253,Yoti,https://www.yoti.com,38.0,36,2.0,0.6,MEDIUM,low,criteria,"Facial recognition for identity verification with UK government Right to Rent/Right to Work integration and claimed independent testing across demographics. The C1 tension is sharp: AI facial recognition in consequential government contexts (immigration-adjacent verification) demands rigorous safety work, and the dossier mentions accuracy variance by demographic groups but provides limited detail on mitigation. Modifier 2 is partially triggered -- biometric identity systems concentrate power. The 10 million+ monthly checks show C6 scale. The deepfake protection feature is timely but methodologically undocumented. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
254,CiviClick,https://civiclick.com,37.4,30.4,7.0,0.35,HIGH,none,modifier,"Commercial grassroots advocacy software with AI-powered features, but the dossier provides no detail on what the AI does or how it works. No founding year, no GitHub, no academic citations, no documented limitations. For-profit subscription model serving public affairs professionals -- this is a lobbying tool, not civic infrastructure. Thin evidence across the board. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
255,Pear by Holepunch,https://docs.holepunch.to,37.3,34.3,3.0,0.35,HIGH,none,criteria,"Peer-to-peer runtime for censorship-resistant applications -- the decentralization architecture has theoretical C5 value (protecting autonomy). The documented experimental and unstable module status is honest C3 evidence. But this is developer tooling with no civic deployment evidence, no government engagement, VC-funded. The political technology connection is speculative rather than demonstrated. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
256,Public Media Stack,https://publicmediastack.com,37.3,37.3,0.0,0.30,HIGH,none,criteria,"A curated directory of 100+ software products for the public media workflow -- useful but static. The 2020 launch date and no update evidence suggest it may be a snapshot rather than living infrastructure. Not open-source, no government partnerships, no documented methodology. C6 is very low for what appears to be a one-time research output. Thin dossier limits all scores. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
257,DelibTech Network,https://www.demnext.org/projects/delibtech-network,37.0,36,1.0,0.3,HIGH,none,criteria,"An international network studying technology for deliberative democracy, coordinated by the AI & Democracy Foundation. The concept is directly relevant to my interests, but the dossier shows no concrete outputs, no published research, no documented deployments. A network that 'focuses on AI-powered technologies in deliberative processes' without producing assessable evidence cannot score well under my criteria. The gap between aspiration and documentation is large. M7 (mechanism of action): this project earns a +3 boost — it gives users a clear pathway to act on data/insights, not merely view them."
258,Neighbourhood Warmth,https://www.mysociety.org/climate/neighbourhood-warmth,37.0,34,3.0,0.4,MEDIUM,none,modifier,"mySociety's project to help homeowners form local groups for energy efficiency is in early/prototype stage with no deployment data or published metrics. Planned partnerships with local authorities and energy cooperatives are promising for C2 but unrealized. My constitution does not protect prototypes from C6 penalties -- strong C4 potential (cooperation by design) cannot compensate for zero implementation evidence. No AI dimension, UK-only. M7 (mechanism of action): this project earns a +5 boost — it gives users a clear pathway to act on data/insights, not merely view them."
259,RightDD,https://www.rightsdd.com,37.0,32,5.0,0.3,HIGH,none,modifier,"Human rights risk management technology for ESG due diligence -- the regulatory compliance framing (UK Modern Slavery Act, TSX requirements) gives it C2 relevance. But the primary users are corporations and compliance officers, not civic actors. The dossier is thin with no methodology, no metrics, no open-source components. Global supply chain scope helps C7 modestly. This is commercial compliance tooling with public interest spillovers rather than civic infrastructure. M7 (mechanism of action): this project earns a +5 boost — it gives users a clear pathway to act on data/insights, not merely view them."
260,Granicus,https://granicus.com/uk,36.1,44.1,-8.0,0.5,MEDIUM,none,modifier,"Granicus is a proprietary citizen experience platform for government with claimed performance metrics that lack independent verification -- 618% subscriber increase, 78% channel shift -- which triggers my scepticism about naive optimization without system-level consideration. The AI involvement is mentioned but completely undocumented, which is a negative signal on C1. Modifier 2 applies for proprietary opacity, and Modifier 4 for marketing-heavy metrics. Real government deployment gives decent C6 marks, but I cannot reward what I cannot verify. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
261,Democracy Fund Open Source,https://www.dfos.com,36.0,34,2.0,0.25,HIGH,none,criteria,"Open-source tools for civic engagement with government partnerships -- the concept aligns with C2 and Modifier 6. But the dossier is extremely thin, with almost no detail on what the tools actually do, who uses them, or what impact they have had. US-only scope limits C7. I cannot score highly what I cannot see evidence for. The open-source commitment and government partnership flag provide a baseline, but thin evidence translates to low scores under this constitution. M7 (mechanism of action): this project earns a +3 boost — it gives users a clear pathway to act on data/insights, not merely view them."
262,Wikum,https://www.csail.mit.edu/research/wikum-bridging-discussion-systems-and-wikis-collective-summarization,36.0,34,2.0,0.4,MEDIUM,none,criteria,"MIT CSAIL research on recursive summarization of large online discussions has a peer-reviewed CSCW 2017 publication -- that earns C3 credit for documented methodology. But the last commit was 2017, making this essentially an archived research prototype. C6 scores near-zero for a project with no active development or deployment. The concept is interesting for deliberative democracy infrastructure but remains unrealized in practice. M7 (mechanism of action): this project earns a +3 boost — it gives users a clear pathway to act on data/insights, not merely view them."
263,GOV Reuse Library,https://dev.reuselibrary.service.justice.gov.uk/,35.3,35.3,0.0,0.3,HIGH,none,criteria,"Ministry of Justice platform for reusable digital service components -- relevant to C2 as government infrastructure. But explicitly marked as 'new' and requesting user feedback. Thin dossier: 19 pass5 words, no policy outcomes, no documented uptake. The concept of shared government service components is valuable but I cannot credit a service that is still in its infancy with no adoption evidence. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
