rank,project_name,url,score,criteria_score,mod_adj,dossier_completeness,uncertainty,pop_risk,primary_driver,rationale
82,Groupthink (OpenPolitics Votebot),https://github.com/openpolitics/groupthink,41.2,41.2,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
83,Harmonica,https://harmonica.chat/,41.2,41.2,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
84,Internet Archive Wayback Machine,https://web.archive.org,41.2,41.2,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
85,Marks Out Of Tenancy,https://www.marksoutoftenancy.com,41.2,41.2,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
86,Moral Machine,https://moralmachine.net,41.2,41.2,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
87,OpenBudgets.eu,https://openbudgets.eu,41.2,41.2,0,1.0,LOW,LOW,criteria,There's real financial transparency work here that aligns with my view that budget legibility is a democratic precondition. The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
88,PlaceCal,https://github.com/geeksforsocialchange/placecal,41.2,41.2,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
89,Shareyourpaper.org,https://shareyourpaper.org,41.2,41.2,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
90,Diia,https://expo.diia.gov.ua,41.1,47.1,-6,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain. The extractive or surveillance dimension pulls the score down significantly.
91,Open Council Network,https://opencouncil.network,41.1,47.1,-6,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented. The extractive or surveillance dimension pulls the score down significantly."
92,TheyWorkForYou,https://www.theyworkforyou.com,41.1,47.1,-6,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented. The extractive or surveillance dimension pulls the score down significantly."
93,Ushahidi,https://www.ushahidi.com,41.1,47.1,-6,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented. The extractive or surveillance dimension pulls the score down significantly."
94,Murmurations Protocol,https://murmurations.network,40.2,40.2,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
