rank,project_name,url,score,criteria_score,mod_adj,dossier_completeness,uncertainty,pop_risk,primary_driver,rationale
1,Ethelo,https://ethelo.com,68.9,54.9,14,1.0,LOW,LOW,modifier,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented. The programmable governance mechanism fires here — whether on-chain or through democratic software, what matters is that governance is enforceable and legible in practice, and this delivers that."
2,Cobudget,https://cobudget.com,64.9,54.9,10,1.0,LOW,HIGH,modifier,"The governance visibility dimension is meaningful here. What drives this high is that participation here leads to real outcomes — there's a documented pathway from collective input to binding or consequential decisions. This is what decision-making leverage means to me. The programmable governance mechanism fires here — whether on-chain or through democratic software, what matters is that governance is enforceable and legible in practice, and this delivers that."
3,Citizen OS,https://citizenos.com/platform/,63.9,53.9,10,1.0,LOW,LOW,modifier,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented. The programmable governance mechanism fires here — whether on-chain or through democratic software, what matters is that governance is enforceable and legible in practice, and this delivers that."
4,LiquidFeedback,https://liquidfeedback.com,63.9,53.9,10,1.0,LOW,LOW,modifier,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented. The programmable governance mechanism fires here — whether on-chain or through democratic software, what matters is that governance is enforceable and legible in practice, and this delivers that."
5,Parti,https://parti.xyz,63.7,63.7,0,1.0,LOW,LOW,criteria,"Budget and treasury transparency is the core of what I care about, and this project delivers it directly — making financial flows visible and actionable for accountability. Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. What drives this high is that participation here leads to real outcomes — there's a documented pathway from collective input to binding or consequential decisions. This is what decision-making leverage means to me."
6,Loomio,https://www.loomio.org,63.0,51.0,12,1.0,LOW,HIGH,modifier,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented. The programmable governance mechanism fires here — whether on-chain or through democratic software, what matters is that governance is enforceable and legible in practice, and this delivers that."
7,CONSUL Democracy,https://consulproject.org,62.0,52.0,10,1.0,LOW,HIGH,modifier,"The governance visibility dimension is meaningful here. What drives this high is that participation here leads to real outcomes — there's a documented pathway from collective input to binding or consequential decisions. This is what decision-making leverage means to me. The programmable governance mechanism fires here — whether on-chain or through democratic software, what matters is that governance is enforceable and legible in practice, and this delivers that."
8,Decidim,https://decidim.org,61.0,51.0,10,1.0,LOW,HIGH,modifier,"The governance visibility dimension is meaningful here. Participation has some pathway to influence, though binding outcomes aren't fully documented. The programmable governance mechanism fires here — whether on-chain or through democratic software, what matters is that governance is enforceable and legible in practice, and this delivers that."
9,Open Standards for Data Guidebook,https://standards.theodi.org,59.8,59.8,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented."
10,Polis,https://github.com/compdemocracy/polis,57.1,47.1,10,1.0,LOW,HIGH,modifier,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented. The programmable governance mechanism fires here — whether on-chain or through democratic software, what matters is that governance is enforceable and legible in practice, and this delivers that."
11,adhocracy+,https://adhocracy.plus,56.9,56.9,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. What drives this high is that participation here leads to real outcomes — there's a documented pathway from collective input to binding or consequential decisions. This is what decision-making leverage means to me."
