rank,project_name,url,score,criteria_score,mod_adj,dossier_completeness,uncertainty,pop_risk,primary_driver,rationale
244,Bluesky Social,https://github.com/bluesky-social,29.4,29.4,0,1.0,LOW,LOW,criteria,"Limited constitutional fit — doesn't strongly address budget transparency, governance legibility, collective ownership, or decision-making leverage."
245,CAN/DGSI 127 - Age Assurance Technologies Standard,https://dgc-cgn.org/product/can-dgsi-127/,29.4,29.4,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
246,Deliberation & Technology (DelibTech) Network,https://www.demnext.org/projects/delibtech-network,29.4,29.4,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
247,Empurrando Juntas (EJ),https://sobre.ejparticipe.org,29.4,29.4,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
248,Go Vocal,https://www.govocal.com,29.4,29.4,0,1.0,LOW,LOW,criteria,"Limited constitutional fit — doesn't strongly address budget transparency, governance legibility, collective ownership, or decision-making leverage."
249,Labour Xchange,https://labourxchange.uk,29.4,29.4,0,1.0,LOW,LOW,criteria,"Limited constitutional fit — doesn't strongly address budget transparency, governance legibility, collective ownership, or decision-making leverage."
250,OpenAudience,https://openaudience.org,29.4,29.4,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
251,Pear by Holepunch,https://docs.holepunch.to,29.4,29.4,0,0.9,LOW,LOW,criteria,"Limited constitutional fit — doesn't strongly address budget transparency, governance legibility, collective ownership, or decision-making leverage."
252,Public Media Stack,https://publicmediastack.com,29.4,29.4,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
253,Radicle,https://radicle.xyz,29.4,29.4,0,1.0,LOW,LOW,criteria,"Limited constitutional fit — doesn't strongly address budget transparency, governance legibility, collective ownership, or decision-making leverage."
254,soweego,https://soweego.readthedocs.io,29.4,29.4,0,0.9,LOW,LOW,criteria,"Limited constitutional fit — doesn't strongly address budget transparency, governance legibility, collective ownership, or decision-making leverage."
255,Spartacus,https://spartacus.app,29.4,29.4,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
256,The Guide to Major Trusts 2025/26,https://www.dsc.org.uk/publication/the-guide-to-major-trusts-2025-26/,29.4,29.4,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
257,Privacy Badger,https://privacybadger.org,29.3,35.3,-6,1.0,LOW,LOW,criteria,The extractive or surveillance dimension pulls the score down significantly.
258,Tor Project,https://www.torproject.org,29.3,35.3,-6,1.0,LOW,HIGH,criteria,"The extractive or surveillance dimension pulls the score down significantly. High popularity risk: Tor Project is well-known and well-documented, which inflates my confidence. Stripping out the documentation advantage, I'd estimate this 8-12 points lower."
259,Remember to Vote,https://remembertovote.org.uk,28.5,26.5,2,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
260,Full Fact AI,https://fullfact.org/ai,28.4,28.4,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
261,OSINT Framework,https://osintframework.com,28.4,28.4,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
262,Right To Know,https://right-to-know.org,28.4,28.4,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
263,Atlas of Surveillance,https://atlasofsurveillance.org,28.3,34.3,-6,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain. The extractive or surveillance dimension pulls the score down significantly.
264,Guardian Project,https://guardianproject.info,28.3,34.3,-6,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain. The extractive or surveillance dimension pulls the score down significantly.
265,https://tracking-template-38b4c.web.app,https://tracking-template-38b4c.web.app,28,15.7,-6,0.3,HIGH,NONE,underdog-protection,The dossier is too thin for me to score this properly. I'm applying underdog protection — this is exactly the kind of early-stage work I don't want to penalise for being underdocumented. Score held at floor.
266,Unknown Academic Paper (SSRN 5351275),https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5351275,28,15.7,0,0.3,HIGH,NONE,underdog-protection,The dossier is too thin for me to score this properly. I'm applying underdog protection — this is exactly the kind of early-stage work I don't want to penalise for being underdocumented. Score held at floor.
