"Rank","Project","URL","Score","Criteria","Mod Adj","Completeness","Uncertainty","Pop Risk","Primary Driver","Rationale"
"1","Decidim","https://decidim.org","64.7","64.7","0","0.93","LOW","high","criteria","""Decidim helps citizens, organizations and public institutions self-organize democratically at every "" -- Decidim hits multiple high-weight criteria in my constitution. Scores: C3 20/20, C2 17/20, C4 12/12, C6 8/12. Popularity risk is high -- Decidim is thoroughly documented and likely in training data. Discounting documentation advantage, I would estimate roughly 55."
"2","Cobudget","https://cobudget.com","63.7","63.7","0","0.95","LOW","none","criteria","""Tap into your group’s creative potential. Crowd source, develop and review ideas. Spark opportunitie"" -- Cobudget hits multiple high-weight criteria in my constitution. Scores: C3 19/20, C2 17/20, C4 10/12, C6 7/12."
"3","Open Council Network","https://opencouncil.network","59.8","59.8","0","0.95","LOW","none","criteria","""Know what your local councillors are doing for you, every day. Weekly summaries, videos and transcri"" -- Open Council Network hits multiple high-weight criteria in my constitution. Scores: C2 19/20, C3 13/20, C6 10/12, C4 9/12."
"4","adhocracy+","https://adhocracy.plus","58.8","58.8","0","0.98","LOW","none","criteria","""adhocracy+ makes digital democracy easy - for everyone no matter where"" -- adhocracy+ hits multiple high-weight criteria in my constitution. Scores: C2 20/20, C3 10/20, C4 10/12, C6 10/12."
"5","Ethelo","https://ethelo.com","57.9","52.9","5","0.93","LOW","medium","criteria","""The world&#8217;s leading group solutions technology"" -- Ethelo hits multiple high-weight criteria in my constitution. Scores: C2 17/20, C3 14/20, C4 10/12, C6 8/12. Ethelo is well-enough known that I should flag documentation advantage as a factor in my confidence."
"6","Citizen OS","https://citizenos.com/platform/","57.8","57.8","0","0.95","LOW","medium","criteria","""Citizen OS is a free participation platform for gathering ideas, discussing, voting, and making deci"" -- Citizen OS hits multiple high-weight criteria in my constitution. Scores: C2 20/20, C3 10/20, C6 10/12, C4 9/12. As a moderately well-known project, some of Citizen OS's score may reflect documentation richness rather than pure constitutional fit."
"7","Bonfire","https://bonfirenetworks.org/","57.8","57.8","0","0.95","LOW","none","criteria","""A federated social network for individuals and communities to design, operate and control their own "" -- Bonfire hits multiple high-weight criteria in my constitution. Scores: C3 20/20, C2 14/20, C4 7/12, C6 7/12."
"8","CharmVerse","https://charmverse.io/","57.1","47.1","10","0.93","LOW","none","modifier","""CharmVerse is a web3 community platform for building relationships and co-creating projects. Join Op"" -- CharmVerse hits multiple high-weight criteria in my constitution. Scores: C2 18/20, C6 8/12, C4 7/12, C7 5/6. On-chain governance modifier adds +10."
"9","CommunityRule","https://communityrule.info","56.9","56.9","0","0.98","LOW","none","criteria","""A governance toolkit for great communities"" -- CommunityRule hits multiple high-weight criteria in my constitution. Scores: C2 20/20, C3 10/20, C4 10/12, C6 8/12."
"10","CONSUL Democracy","https://consulproject.org","56.9","56.9","0","0.93","LOW","medium","criteria","""The open source CONSUL DEMOCRACY software is free to use and modify"" -- CONSUL Democracy hits multiple high-weight criteria in my constitution. Scores: C2 17/20, C3 12/20, C4 12/12, C6 8/12. I note that CONSUL Democracy is a moderately familiar project; part of what looks like fit may just be better documentation."
"11","Alaveteli","https://alaveteli.org","56.9","56.9","0","0.95","LOW","high","criteria","""Alaveteli helps you lower the barriers that prevent citizens asking questions of those in power"" -- Alaveteli hits multiple high-weight criteria in my constitution. Scores: C2 17/20, C6 12/12, C3 10/20, C4 9/12. Popularity risk is high -- Alaveteli is thoroughly documented and likely in training data. Discounting documentation advantage, I would estimate roughly 47."
"12","Loomio","https://www.loomio.org","55.9","55.9","0","0.95","LOW","high","criteria","""Loomio is a collaborative decision-making app that saves time in meetings and keeps a record of deci"" -- Loomio hits multiple high-weight criteria in my constitution. Scores: C2 18/20, C3 13/20, C4 10/12, C6 7/12. Popularity risk is high -- Loomio is thoroughly documented and likely in training data. Discounting documentation advantage, I would estimate roughly 46."
"13","Your Priorities","https://yrpri.org","54.9","54.9","0","0.9","LOW","none","criteria","""Your Priorities is an idea generation, deliberation   decision-making platform helping governments m"" -- Your Priorities has meaningful alignment with my priorities. Scores: C2 19/20, C4 12/12, C6 12/12, C7 5/6."
"14","CiviCRM","https://civicrm.org","54.9","54.9","0","0.95","LOW","none","criteria","""Our users have registered more than 24,441,697 event participants"" -- CiviCRM has meaningful alignment with my priorities. Scores: C2 17/20, C4 12/12, C6 9/12, C3 8/20."
"15","mySociety Datasets and APIs","https://data.mysociety.org","53.9","53.9","0","0.9","LOW","medium","criteria","""mySociety is a not-for-profit social enterprise, based in the UK but working with partners internati"" -- mySociety Datasets and APIs has meaningful alignment with my priorities. Scores: C2 15/20, C3 12/20, C4 9/12, C6 7/12. I note that mySociety Datasets and APIs is a moderately familiar project; part of what looks like fit may just be better documentation."
"16","Populate Tools","https://github.com/populatetools","53.9","53.9","0","0.86","LOW","none","criteria","""Tools for civic engagement. Populate has 102 repositories available. Follow their code on GitHub"" -- Populate Tools has meaningful alignment with my priorities. Scores: C2 16/20, C3 13/20, C4 9/12, C6 9/12."
"17","CoTech","https://coops.tech","53.9","53.9","0","0.86","LOW","none","criteria","""Building a tech industry that"" -- CoTech has meaningful alignment with my priorities. Scores: C3 18/20, C2 17/20, C4 7/12, C6 7/12."
"18","Aragon","https://aragon.org","53.1","43.1","10","0.95","LOW","high","modifier","""Aragon gives organizations the tools to build, govern, and accrue value effectively onchain"" -- Aragon has meaningful alignment with my priorities. Scores: C3 12/20, C2 10/20, C6 8/12, C4 7/12. On-chain governance modifier adds +10. Popularity risk is high -- Aragon is thoroughly documented and likely in training data. Discounting documentation advantage, I would estimate roughly 43."
"19","Open Collective","https://opencollective.com","52.9","52.9","0","0.95","LOW","high","criteria","""Open Collective is a legal and financial toolbox for groups. It’s a fundraising + legal status + mon"" -- Open Collective has meaningful alignment with my priorities. Scores: C3 18/20, C4 12/12, C1 8/20, C7 6/6. Popularity risk is high -- Open Collective is thoroughly documented and likely in training data. Discounting documentation advantage, I would estimate roughly 43."
"20","Ushahidi","https://www.ushahidi.com","52.0","52.0","0","0.95","LOW","high","criteria","""Ushahidi is an open source software application which utilises user-generated reports to collate and"" -- Ushahidi has meaningful alignment with my priorities. Scores: C2 14/20, C4 12/12, C3 11/20, C6 10/12. Popularity risk is high -- Ushahidi is thoroughly documented and likely in training data. Discounting documentation advantage, I would estimate roughly 42."
"21","Stanford Participatory Budgeting Platform","https://github.com/stanfordcdt/pb","51.0","51.0","0","0.86","LOW","none","criteria","""Participatory Budgeting Platform. Contribute to StanfordCDT/pb development by creating an account on"" -- Stanford Participatory Budgeting Platform has meaningful alignment with my priorities. Scores: C2 18/20, C6 10/12, C4 7/12, C7 6/6."
"22","Open Standards for Data Guidebook","https://standards.theodi.org","51.0","51.0","0","0.95","LOW","none","criteria","""This guidebook helps people and organisations create, develop and adopt open standards for data. It "" -- Open Standards for Data Guidebook has meaningful alignment with my priorities. Scores: C3 16/20, C4 9/12, C5 8/12, C6 6/12."
"23","PolicyEngine","https://policyengine.org/uk","50.0","50.0","0","0.93","LOW","high","criteria","""Free, open-source tools to understand tax and benefit policies. Explore research, meet our team, and"" -- PolicyEngine has meaningful alignment with my priorities. Scores: C6 11/12, C3 10/20, C4 9/12, C7 6/6. Popularity risk is high -- PolicyEngine is thoroughly documented and likely in training data. Discounting documentation advantage, I would estimate roughly 40."
"24","OpenSanctions","https://www.opensanctions.org","50.0","50.0","0","0.95","LOW","medium","criteria","""OpenSanctions helps investigators find leads, allows companies to manage risk and enables technologi"" -- OpenSanctions has meaningful alignment with my priorities. Scores: C3 13/20, C2 11/20, C4 9/12, C6 9/12. As a moderately well-known project, some of OpenSanctions's score may reflect documentation richness rather than pure constitutional fit."
"25","Agencies for Good","https://www.agenciesforgood.org","50.0","50.0","0","0.93","LOW","none","criteria","""We’re a community of tech for good agencies, consultancies and freelancers. We hang out on Slack and"" -- Agencies for Good has meaningful alignment with my priorities. Scores: C2 19/20, C3 15/20, C6 8/12, C4 5/12."
"26","Tech Coops List","https://tech-coops.xyz","49.0","49.0","0","0.95","LOW","none","criteria","""A list of tech coops and resources concerning tech coops and worker owned cooperatives in general"" -- Tech Coops List has meaningful alignment with my priorities. Scores: C3 14/20, C4 12/12, C2 10/20, C6 6/12."
"27","The DAO (Standard DAO Framework)","https://github.com/vbuterin/dao","48.2","38.2","10","0.83","LOW","none","modifier","""The Standard DAO Framework, inc. Whitepaper. Contribute to vbuterin/DAO development by creating an a"" -- The DAO (Standard DAO Framework) has meaningful alignment with my priorities. Scores: C2 12/20, C3 8/20, C4 7/12, C6 5/12. On-chain governance modifier adds +10."
"28","Interoperable Deliberative Tools","https://metagov.org/projects/interop","48.0","48.0","0","0.9","LOW","none","criteria","""homebase for interoperable deliberative tools"" -- Interoperable Deliberative Tools has meaningful alignment with my priorities. Scores: C2 19/20, C4 7/12, C6 7/12, C7 5/6."
"29","Open Heart Mind (OHM)","https://openheartmind.org","47.1","47.1","0","0.95","LOW","none","criteria","""A participatory, gift-based gathering of art, science, wellbeing, culture and more — powered by Wisd"" -- Open Heart Mind (OHM) has meaningful alignment with my priorities. Scores: C3 20/20, C2 9/20, C4 7/12, C7 5/6."
"30","Open Contracting Partnership","https://www.open-contracting.org","47.1","47.1","0","0.98","LOW","high","criteria","""We connect governments, civil society and business to open up and monitor public procurement. Open c"" -- Open Contracting Partnership has meaningful alignment with my priorities. Scores: C2 12/20, C4 12/12, C6 5/12, C7 5/6. Popularity risk is high -- Open Contracting Partnership is thoroughly documented and likely in training data. Discounting documentation advantage, I would estimate roughly 37."
"31","Humanitarian OpenStreetMap Team (HOT)","https://www.hotosm.org","47.1","47.1","0","0.95","LOW","high","criteria","""OpenStreetMap users in HOT&#x27;s priority regions"" -- Humanitarian OpenStreetMap Team (HOT) has meaningful alignment with my priorities. Scores: C2 13/20, C4 12/12, C6 9/12, C3 8/20. Popularity risk is high -- Humanitarian OpenStreetMap Team (HOT) is thoroughly documented and likely in training data. Discounting documentation advantage, I would estimate roughly 37."
"32","Fundación Ciudadanía Inteligente","https://ciudadaniai.org","47.1","47.1","0","0.9","LOW","none","criteria","""Somos una organización latinoamericana que lucha por la transformación de las democracias"" -- Fundación Ciudadanía Inteligente has meaningful alignment with my priorities. Scores: C2 13/20, C4 12/12, C3 9/20, C6 8/12."
"33","CKAN","https://ckan.org","47.1","47.1","0","0.95","LOW","high","criteria","""CKAN is an open-source DMS (data management system) for powering data hubs and data portals. CKAN ma"" -- CKAN has meaningful alignment with my priorities. Scores: C4 12/12, C6 12/12, C3 8/20, C7 6/6. Popularity risk is high -- CKAN is thoroughly documented and likely in training data. Discounting documentation advantage, I would estimate roughly 37."
