rank,project_name,url,score,criteria_score,modifier_adj,dossier_completeness,uncertainty,popularity_risk,primary_driver,rationale
81,Agencies for Good,https://www.agenciesforgood.org,49.0,49.0,0,0.83,LOW,LOW,criteria,"Agencies for Good scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
82,Democracy Fund Open Source,https://www.dfos.com,49.0,49.0,0,0.75,LOW,MEDIUM,criteria,"Democracy Fund Open Source scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
83,Organise,https://www.organise.org.uk,49.0,49.0,0,0.92,LOW,MEDIUM,criteria,"Organise scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
84,ODK (Open Data Kit),https://getodk.org,48.0,48.0,0,1.0,LOW,MEDIUM,criteria,ODK (Open Data Kit) covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
85,Groupthink (OpenPolitics Votebot),https://github.com/openpolitics/groupthink,48.0,48.0,0,0.92,LOW,MEDIUM,criteria,"Groupthink (OpenPolitics Votebot) scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
86,Land Explorer,https://landexplorer.coop,48.0,48.0,0,1.0,LOW,LOW,criteria,"Land Explorer scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
87,openparliament.ca,https://openparliament.ca/,48.0,48.0,0,0.75,LOW,MEDIUM,criteria,"openparliament.ca scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
88,RxC Quadratic Voting,https://quadraticvote.radicalxchange.org,48.0,48.0,0,0.92,LOW,HIGH,criteria,"RxC Quadratic Voting scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how. High popularity risk: RxC Quadratic Voting is well-known and well-documented, which inflates my confidence. Stripping out the documentation advantage, I'd estimate this 8-12 points lower."
89,Framework for Meaningful Engagement 2.0,https://ecnl.org/publications/framework-meaningful-engagement-20?mc_cid=b1c5158063&mc_eid=a09c64ec38,47.3,37.3,10,0.92,LOW,LOW,modifier,Framework for Meaningful Engagement 2.0 covers relevant terrain — governance features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
90,Wikum,https://www.csail.mit.edu/research/wikum-bridging-discussion-systems-and-wikis-collective-summarization,47.1,47.1,0,0.75,LOW,LOW,criteria,"Wikum scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
