rank,project_name,url,score,criteria_score,modifier_adj,dossier_completeness,uncertainty,popularity_risk,primary_driver,rationale
241,The Accountability Project,https://publicaccountability.org,32.4,32.4,0,0.75,LOW,LOW,criteria,The Accountability Project covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
242,Remember to Vote,https://remembertovote.org.uk,32.4,32.4,0,0.67,MEDIUM,LOW,criteria,"Remember to Vote scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
243,Riseup,https://riseup.net,32.4,32.4,0,0.75,LOW,MEDIUM,criteria,Riseup covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
244,Who Posted What?,https://whopostedwhat.com,32.4,32.4,0,0.75,LOW,MEDIUM,criteria,Who Posted What? covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
245,GOV.UK One Login,https://www.sign-in.service.gov.uk,32.4,32.4,0,1.0,LOW,LOW,criteria,GOV.UK One Login covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
246,Tor Project,https://www.torproject.org,32.2,40.2,-8,1.0,LOW,HIGH,criteria,Tor Project covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria. The extractive or surveillance dimension here is what pulls the score down — I can't endorse a model that extracts from communities without redistributing governance.
247,OA.Report,https://oa.report,31.4,31.4,0,0.92,LOW,LOW,criteria,OA.Report covers relevant terrain — governance features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
248,OpenAudience,https://openaudience.org,31.4,31.4,0,0.75,LOW,MEDIUM,criteria,OpenAudience covers relevant terrain — governance features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
249,Overton,https://overton.io,31.4,31.4,0,0.83,LOW,LOW,criteria,"Overton scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
250,PostBug,https://postbug.com,31.4,31.4,0,0.75,LOW,MEDIUM,criteria,"PostBug scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
251,semanticClimate,https://semanticclimate.github.io,31.4,31.4,0,0.67,MEDIUM,LOW,criteria,semanticClimate covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
252,The Circuit,https://thecircuit.cc,31.4,31.4,0,0.92,LOW,LOW,criteria,The Circuit covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
253,Go Vocal,https://www.govocal.com,31.3,37.3,-6,0.83,LOW,MEDIUM,criteria,"Go Vocal scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how. The extractive or surveillance dimension here is what pulls the score down — I can't endorse a model that extracts from communities without redistributing governance."
254,Entitledto,https://entitledto.co.uk,30.4,30.4,0,0.72,LOW,MEDIUM,criteria,Entitledto covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
255,DeepSeek-V3,https://github.com/deepseek-ai/deepseek-v3,30.4,30.4,0,0.75,LOW,HIGH,criteria,"DeepSeek-V3 covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria. High popularity risk: DeepSeek-V3 is well-known and well-documented, which inflates my confidence. Stripping out the documentation advantage, I'd estimate this 8-12 points lower."
256,Nyaaya,https://nyaaya.org,30.4,30.4,0,0.83,LOW,MEDIUM,criteria,Nyaaya covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
257,Plausible Analytics,https://plausible.io,30.4,30.4,0,0.75,LOW,LOW,criteria,Plausible Analytics covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
258,GOV.UK Notify,https://www.notifications.service.gov.uk,30.4,30.4,0,1.0,LOW,MEDIUM,criteria,GOV.UK Notify covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
259,Prolific,https://www.prolific.com,30.4,30.4,0,0.92,LOW,MEDIUM,criteria,Prolific covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria.
260,Privacy Badger,https://privacybadger.org,30.2,38.2,-8,0.92,LOW,MEDIUM,criteria,Privacy Badger covers relevant terrain — open infrastructure features in the dossier — but the score is limited by partial fit against my highest-weight criteria. The extractive or surveillance dimension here is what pulls the score down — I can't endorse a model that extracts from communities without redistributing governance.
261,Dunadyne,https://dunadyne.org,29.4,30.4,-1,0.67,MEDIUM,LOW,criteria,Dunadyne increases state or institutional capacity to monitor and manage civic activity — but I can't find accountability mechanisms directed at those affected. That asymmetry is the problem.
262,Local Insight,https://localinsight.org,29.4,29.4,0,0.83,LOW,MEDIUM,criteria,"Local Insight doesn't land well against my constitution. The project sits outside my core focus: budget transparency, governance legibility, and collective ownership."
263,GovWise,https://www.govwise.ai/en,29.4,29.4,0,0.75,LOW,LOW,criteria,"GovWise doesn't land well against my constitution. The project sits outside my core focus: budget transparency, governance legibility, and collective ownership."
264,MyActionCenter,https://www.myaction.center,29.4,29.4,0,0.75,LOW,LOW,criteria,"MyActionCenter scores well on governance legibility — it makes decision-making processes inspectable, which is what I care about: not just that decisions are made, but that those affected can see how."
265,Collab.Land,https://collab.land,28.6,18.6,10,0.75,LOW,LOW,modifier,"Collab.Land applies programmable, verifiable mechanisms to governance — this is precisely what I mean by 'programmable governance': not just a platform with governance features, but mechanisms where the rules are encoded and auditable. The on-chain or cryptographically verifiable component gets a meaningful boost from me — this is the rare case where 'programmable governance' isn't just a marketing claim."
