rank,url,project_name,score,criteria_score,modifier_adj,dossier_completeness,uncertainty,popularity_risk,primary_driver,rationale
1,https://liquidfeedback.com,LiquidFeedback,62.5,56.0,6.5,0.92,LOW,HIGH,criteria,"LiquidFeedback takes participatory governance seriously, with structural community involvement rather than token consultation. The project describes itself as: Liquid democracy software for transparent proposal development and collective decision-making. Governance model: open-source published by Public Software Group e.V.; commerc. Strongest on participatory governance (C2: 13.0). Modifiers: M4:+6. Operates international. Popularity risk flag: this is a well-known project with rich documentation; stripping the documentation advantage, I estimate the score would drop by roughly 8-12 points."
2,https://matrix.org,Matrix,57.6,57.4,0.2,0.96,LOW,HIGH,criteria,"Matrix scores well across multiple criteria, particularly institutional infrastructure and cross-jurisdictional reach. The project describes itself as: An open standard and network for secure, decentralised, interoperable communication. Governance model: foundation. Strongest on lifecycle governance (C3: 12.0). Operates international. Popularity risk flag: this is a well-known project with rich documentation; stripping the documentation advantage, I estimate the score would drop by roughly 8-12 points."
3,https://hact.org.uk/tools-and-services/uk-housing-data-standards,UK Housing Data Standards,55.7,51.4,4.3,0.96,LOW,LOW,criteria,"UK Housing Data Standards builds genuine governance infrastructure with enforcement mechanisms. The project describes itself as: Sector-developed data standards for UK social housing to improve data governance, performance, and r. Governance model: Joint IP ownership between HACT and OSCRE; Creative Commons . Strongest on enforcement/verification (C1: 16.8). Modifiers: M4:+4. Operates national."
4,https://github.com/mastodon/mastodon,Mastodon,50.7,46.4,4.3,0.92,LOW,HIGH,criteria,"Mastodon scores well across multiple criteria, particularly institutional infrastructure and cross-jurisdictional reach. The project describes itself as: Your self-hosted, globally interconnected microblogging community. Governance model: foundation. Strongest on cross-jurisdictional applicability (C5: 12). Modifiers: M4:+4. Operates international. Popularity risk flag: this is a well-known project with rich documentation; stripping the documentation advantage, I estimate the score would drop by roughly 8-12 points."
5,https://github.com/compdemocracy/polis,Polis,50.4,50.2,0.2,0.92,LOW,HIGH,criteria,"Polis scores well across multiple criteria, particularly institutional infrastructure and cross-jurisdictional reach. The project describes itself as: Open-source AI-powered platform for large-scale open-ended public feedback and deliberation. Governance model: foundation. Strongest on cross-jurisdictional applicability (C5: 11). Operates international. Popularity risk flag: this is a well-known project with rich documentation; stripping the documentation advantage, I estimate the score would drop by roughly 8-12 points."
6,https://github.com/whotargetsme/ad-transparency-standards/blob/main/implement.md,Political Advertising Transparency Data Standard,48.5,48.3,0.2,0.88,LOW,LOW,criteria,"Political Advertising Transparency Data Standard serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: A schema standard for how political advertising data is presented across platforms to increase compr. Governance model: project_of_larger_org. Strongest on cross-jurisdictional applicability (C5: 10). Operates international."
7,https://github.com/stanfordcdt/pb,Stanford Participatory Budgeting Platform,42.4,42.2,0.2,0.85,LOW,LOW,criteria,Stanford Participatory Budgeting Platform has meaningful participatory elements but limited enforcement infrastructure. The project describes itself as: Open-source platform for hosting participatory budgeting elections in cities across the United State. Governance model: project_of_larger_org. Strongest on participatory governance (C2: 11.7). Operates national.
8,https://guardianproject.info,Guardian Project,40.2,40.0,0.2,0.85,LOW,LOW,criteria,"Guardian Project serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: Secure, privacy-enhancing mobile applications and tools for journalists, activists, and people at ri. Governance model: founder-led open-source collective (Nathan Freitas / n8fr8 a. Strongest on cross-jurisdictional applicability (C5: 12). Operates international."
9,https://murmurations.network,Murmurations Protocol,40.2,35.9,4.3,0.85,LOW,LOW,criteria,Murmurations Protocol addresses some of my criteria but falls short on enforcement and lifecycle coverage. The project describes itself as: Making movements visible — a distributed data sharing protocol to facilitate collaboration at scale. Governance model: project_of_larger_org. Strongest on cross-jurisdictional applicability (C5: 11). Modifiers: M4:+4. Operates international.
10,https://github.com/podemos-info/participa,Participa (Podemos),39.7,39.5,0.2,0.88,LOW,LOW,criteria,"Participa (Podemos) has meaningful participatory elements but limited enforcement infrastructure. The project describes itself as: Unified census and participation platform for Podemos: voting, donations, microcredits, and citizen . Governance model: Controlled by Podemos party; open source code allows forks (. Strongest on participatory governance (C2: 13.4). Operates Spain."
11,https://github.com/disarmfoundation/disarmframeworks,DISARM Frameworks,39.5,39.3,0.2,0.92,LOW,LOW,criteria,"DISARM Frameworks serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: Master copies of the DISARM disinformation TTP frameworks for describing and countering disinformati. Governance model: foundation. Strongest on cross-jurisdictional applicability (C5: 10). Operates international."
12,https://github.com/travisbrown/birdwatch,Community Notes (Birdwatch) Analysis Tool,39.0,38.8,0.2,0.88,LOW,LOW,criteria,"Community Notes (Birdwatch) Analysis Tool serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: Metadata repository and analysis tools for X's Community Notes system, adding user aliases and tweet. Governance model: project_of_larger_org. Strongest on cross-jurisdictional applicability (C5: 9). Operates international."
13,https://github.com/huridocs,HURIDOCS,38.7,38.5,0.2,0.92,LOW,LOW,criteria,"HURIDOCS serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: HURIDOCS equips human rights defenders with tools to mobilise information for justice and accountabi. Governance model: Swiss NGO with Board of Advisors; Geneva office with distrib. Strongest on lifecycle governance (C3: 10.0). Operates international."
14,https://github.com/datakind/data-observation-toolkit,Data Observation Toolkit (DOT),37.3,37.1,0.2,0.85,LOW,LOW,criteria,Data Observation Toolkit (DOT) addresses some of my criteria but falls short on enforcement and lifecycle coverage. The project describes itself as: Open-source toolkit to monitor data integrity and flag problems in public health and humanitarian da. Governance model: foundation. Strongest on lifecycle governance (C3: 12.0). Operates international.
15,https://metagov.org/projects/interop,Interoperable Deliberative Tools,36.9,32.6,4.3,0.73,MEDIUM,LOW,criteria,Interoperable Deliberative Tools has meaningful participatory elements but limited enforcement infrastructure. The project describes itself as: Homebase for interoperable deliberative tools enabling governance beyond voting and commenting. Governance model: project_of_larger_org. Strongest on participatory governance (C2: 10.0). Modifiers: M4:+4. Operates international.
16,https://metaculus.com,Metaculus,35.7,35.5,0.2,0.92,LOW,LOW,criteria,Metaculus addresses some of my criteria but falls short on enforcement and lifecycle coverage. The project describes itself as: A community prediction platform for forecasting future events and outcomes. Governance model: LLC. Strongest on cross-jurisdictional applicability (C5: 9). Operates international. Dead link detected: score capped at 45.
17,https://github.com/cverluise/patcit,PatCit,34.9,34.7,0.2,0.81,MEDIUM,LOW,criteria,PatCit has limited alignment with my core criteria. It addresses a legitimate domain but does not build the governance infrastructure I prioritise. The project describes itself as: Making Patent Citations Uncool Again — a comprehensive dataset of structured patent citations. Governance model: project_of_larger_org. Strongest on lifecycle governance (C3: 12.0). Operates international.
18,https://github.com/g0v/vue.vtaiwan.tw,vTaiwan,34.8,34.6,0.2,0.88,LOW,LOW,criteria,vTaiwan has limited alignment with my core criteria. It addresses a legitimate domain but does not build the governance infrastructure I prioritise. The project describes itself as: Taiwan's open digital democracy platform for collaborative online public consultation on legislation. Governance model: g0v civic tech community with government partnership. Strongest on institutional infrastructure (C4: 8.0). Operates Taiwan.
19,https://humbledata.org,Humble Data Workshop,33.8,33.6,0.2,0.85,LOW,LOW,criteria,Humble Data Workshop has limited alignment with my core criteria. It addresses a legitimate domain but does not build the governance infrastructure I prioritise. The project describes itself as: Free data science and Python workshops for underrepresented groups in tech. Governance model: informal volunteer collective with named organisers. Strongest on cross-jurisdictional applicability (C5: 11). Operates international.
20,https://harmonica.chat/,Harmonica,33.6,33.4,0.2,0.77,MEDIUM,LOW,criteria,Harmonica has limited alignment with my core criteria. It addresses a legitimate domain but does not build the governance infrastructure I prioritise. The project describes itself as: AI-powered facilitation platform for conversational surveys and stakeholder engagement. Governance model: LLC. Strongest on cross-jurisdictional applicability (C5: 10). Operates international.
