rank,url,project_name,score,criteria_score,modifier_adj,dossier_completeness,uncertainty,popularity_risk,primary_driver,rationale
1,https://www.ushahidi.com,Ushahidi,53.8,53.6,0.2,0.88,LOW,HIGH,criteria,"Ushahidi takes participatory governance seriously, with structural community involvement rather than token consultation. The project describes itself as: Crowdsourcing Solutions to Empower Communities. Governance model: foundation. Strongest on cross-jurisdictional applicability (C5: 11). Operates international. Popularity risk flag: this is a well-known project with rich documentation; stripping the documentation advantage, I estimate the score would drop by roughly 8-12 points."
2,https://www.openownership.org,Open Ownership,51.8,51.6,0.2,0.92,LOW,LOW,criteria,"Open Ownership scores well across multiple criteria, particularly institutional infrastructure and cross-jurisdictional reach. The project describes itself as: Driving global shift towards transparency and accountability in corporate ownership and control. Governance model: foundation. Strongest on lifecycle governance (C3: 12.0). Operates international."
3,https://vframe.io,VFRAME,51.7,47.4,4.3,0.92,LOW,LOW,criteria,"VFRAME scores well across multiple criteria, particularly institutional infrastructure and cross-jurisdictional reach. The project describes itself as: Computer vision for OSINT: detecting illegal munitions and documenting war crimes through AI-powered. Governance model: project_of_larger_org. Strongest on lifecycle governance (C3: 10.0). Modifiers: M4:+4. Operates international."
4,https://yrpri.org,Your Priorities,51.4,51.2,0.2,0.92,LOW,LOW,criteria,"Your Priorities takes participatory governance seriously, with structural community involvement rather than token consultation. The project describes itself as: Idea generation, deliberation & decision-making platform for governments since 2008. Governance model: Social enterprise governance with stakeholder input from gov. Strongest on participatory governance (C2: 12.6). Operates international."
5,https://www.loomio.org,Loomio,51.3,47.0,4.3,0.88,LOW,HIGH,criteria,"Loomio takes participatory governance seriously, with structural community involvement rather than token consultation. The project describes itself as: Make decisions together, without the endless meetings. Governance model: LLC. Strongest on participatory governance (C2: 14.7). Modifiers: M4:+4. Operates international. Popularity risk flag: this is a well-known project with rich documentation; stripping the documentation advantage, I estimate the score would drop by roughly 8-12 points."
6,https://www.open-contracting.org,Open Contracting Partnership,50.2,50.0,0.2,0.96,LOW,LOW,criteria,"Open Contracting Partnership scores well across multiple criteria, particularly institutional infrastructure and cross-jurisdictional reach. The project describes itself as: Open, fair & efficient public contracting to improve US$2 trillion in annual public procurement spen. Governance model: foundation. Strongest on lifecycle governance (C3: 12.0). Operates international."
7,https://www.opensanctions.org,OpenSanctions,48.7,48.5,0.2,0.92,LOW,LOW,criteria,"OpenSanctions serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: Supreme Data on Supreme Leaders - open source sanctions and politically exposed persons data platfor. Governance model: Open governance with community contributions and advisory bo. Strongest on lifecycle governance (C3: 12.0). Operates international."
8,https://www.hotosm.org,Humanitarian OpenStreetMap Team (HOT),44.0,43.8,0.2,0.92,LOW,LOW,criteria,"Humanitarian OpenStreetMap Team (HOT) serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: Mapping for impact in humanitarian crises and development challenges. Governance model: foundation. Strongest on cross-jurisdictional applicability (C5: 12). Operates international."
9,https://www.fixmystreet.com,FixMyStreet,41.8,41.6,0.2,0.88,LOW,HIGH,criteria,"FixMyStreet has meaningful participatory elements but limited enforcement infrastructure. The project describes itself as: Report, view, and discuss local street problems with UK councils. Governance model: project_of_larger_org. Strongest on participatory governance (C2: 9.1). Operates national. Popularity risk flag: this is a well-known project with rich documentation; stripping the documentation advantage, I estimate the score would drop by roughly 8-12 points."
10,https://web.archive.org,Internet Archive Wayback Machine,41.4,37.2,4.2,0.96,LOW,LOW,criteria,"Internet Archive Wayback Machine serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: Digital archive of the World Wide Web — preserving over 1 trillion web pages since 1996. Governance model: foundation. Strongest on cross-jurisdictional applicability (C5: 10). Modifiers: M4:+4. Operates international."
11,https://yourtracka.org,Tracka,41.1,40.9,0.2,0.96,LOW,LOW,criteria,"Tracka serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: Monitor the status of federal and state projects in your community and take action on implementation. Governance model: foundation. Strongest on lifecycle governance (C3: 10.0). Operates national."
12,https://www.prolific.com,Prolific,39.3,39.1,0.2,0.85,LOW,LOW,criteria,Prolific addresses some of my criteria but falls short on enforcement and lifecycle coverage. The project describes itself as: Easily collect high-quality data from real people. Governance model: LLC. Strongest on cross-jurisdictional applicability (C5: 10). Operates international.
13,https://www.campaigntracker.nl/en,Campaign Tracker,37.6,37.4,0.2,0.96,LOW,LOW,criteria,"Campaign Tracker serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: Platform for tracking and analyzing political campaign spending and advertising in the Netherlands. Governance model: foundation. Strongest on lifecycle governance (C3: 10.0). Operates national."
14,https://www.torproject.org,Tor Project,37.0,36.8,0.2,0.88,LOW,LOW,criteria,"Tor Project serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: Anonymity Online - Advance human rights and defend privacy through free and open source anonymity an. Governance model: foundation. Strongest on cross-jurisdictional applicability (C5: 9). Operates international."
