rank,url,project_name,score,criteria_score,modifier_adj,dossier_completeness,uncertainty,popularity_risk,primary_driver,rationale
1,https://algorithmwatch.org,AlgorithmWatch,92.7,85.0,7.7,1.0,LOW,HIGH,criteria,"AlgorithmWatch is almost exactly what I look for: a project that builds enforcement infrastructure for AI governance while maintaining cross-jurisdictional reach. The project describes itself as: A non-governmental, non-profit organization based in Berlin and Zurich that fights for a world where. Governance model: foundation. Strongest on enforcement/verification (C1: 20). Modifiers: M3:+7. Operates international. Popularity risk flag: this is a well-known project with rich documentation; stripping the documentation advantage, I estimate the score would drop by roughly 8-12 points."
2,https://decidim.org,Decidim,62.6,56.1,6.5,0.92,LOW,HIGH,criteria,"Decidim takes participatory governance seriously, with structural community involvement rather than token consultation. The project describes itself as: A free/libre, open and safe digital platform for citizen participation. Reprogramming democracy is n. Governance model: cooperative. Strongest on participatory governance (C2: 13.9). Modifiers: M4:+6. Operates international. Popularity risk flag: this is a well-known project with rich documentation; stripping the documentation advantage, I estimate the score would drop by roughly 8-12 points."
3,https://cybersecurityfordemocracy.org,Cybersecurity for Democracy,57.0,56.8,0.2,0.92,LOW,LOW,criteria,"Cybersecurity for Democracy scores well across multiple criteria, particularly institutional infrastructure and cross-jurisdictional reach. The project describes itself as: A multi-university center for problem-driven research and research-driven policy. Governance model: Multi-university research center. Strongest on lifecycle governance (C3: 10.0). Operates Global (based at NYU)."
4,https://consulproject.org,CONSUL Democracy,55.7,55.5,0.2,0.96,LOW,HIGH,criteria,"CONSUL Democracy takes participatory governance seriously, with structural community involvement rather than token consultation. The project describes itself as: The most complete citizen participation tool for an open, transparent and democratic government.. Governance model: foundation. Strongest on participatory governance (C2: 13.9). Operates international. Popularity risk flag: this is a well-known project with rich documentation; stripping the documentation advantage, I estimate the score would drop by roughly 8-12 points."
5,https://ciudadaniai.org,Fundación Ciudadanía Inteligente,54.8,54.6,0.2,0.92,LOW,LOW,criteria,"Fundación Ciudadanía Inteligente takes participatory governance seriously, with structural community involvement rather than token consultation. The project describes itself as: Latin American organization fighting for the transformation of democracies through civic technology . Governance model: foundation. Strongest on participatory governance (C2: 12.1). Operates regional."
6,https://data.mysociety.org,mySociety Datasets and APIs,53.9,53.7,0.2,0.92,LOW,HIGH,criteria,"mySociety Datasets and APIs scores well across multiple criteria, particularly institutional infrastructure and cross-jurisdictional reach. The project describes itself as: Open datasets and APIs for democracy, transparency, and community engagement. Governance model: foundation. Strongest on institutional infrastructure (C4: 11.0). Operates international. Popularity risk flag: this is a well-known project with rich documentation; stripping the documentation advantage, I estimate the score would drop by roughly 8-12 points."
7,https://aleph.occrp.org,Aleph (OCCRP),53.8,49.5,4.3,0.96,LOW,LOW,criteria,"Aleph (OCCRP) scores well across multiple criteria, particularly institutional infrastructure and cross-jurisdictional reach. The project describes itself as: The global archive of research material for investigative reporting. Follow the money through govern. Governance model: foundation. Strongest on evidence quality (C6: 10). Modifiers: M4:+4. Operates international."
8,https://communityrule.info,CommunityRule,52.1,46.7,5.4,0.92,LOW,LOW,criteria,"CommunityRule takes participatory governance seriously, with structural community involvement rather than token consultation. The project describes itself as: A governance toolkit for great communities. Governance model: project_of_larger_org. Strongest on participatory governance (C2: 10.4). Modifiers: M3:+5. Operates international."
9,https://creativecommons.org,Creative Commons,50.9,44.5,6.4,0.92,LOW,HIGH,criteria,"Creative Commons scores well across multiple criteria, particularly institutional infrastructure and cross-jurisdictional reach. The project describes itself as: CC empowers individuals and communities around the world through technical, legal, and policy soluti. Governance model: foundation. Strongest on cross-jurisdictional applicability (C5: 12). Modifiers: M4:+6. Operates international. Popularity risk flag: this is a well-known project with rich documentation; stripping the documentation advantage, I estimate the score would drop by roughly 8-12 points."
10,https://adhocracy.plus,adhocracy+,49.1,48.9,0.2,0.96,LOW,LOW,criteria,"adhocracy+ has meaningful participatory elements but limited enforcement infrastructure. The project describes itself as: Makes digital democracy easy — for everyone, no matter where.. Governance model: foundation. Strongest on participatory governance (C2: 18.7). Operates national."
11,https://bonfirenetworks.org/,Bonfire,48.7,42.3,6.4,0.85,LOW,LOW,criteria,"Bonfire has meaningful participatory elements but limited enforcement infrastructure. The project describes itself as: A federated social network for individuals and communities to design, operate and control their own . Governance model: cooperative. Strongest on participatory governance (C2: 15.2). Modifiers: M4:+6. Operates international."
12,https://constituteproject.org,Constitute Project,47.9,47.7,0.2,0.85,LOW,LOW,criteria,"Constitute Project serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: A comprehensive analysis of the world's constitutions to support constitutional design and inform ci. Governance model: project_of_larger_org. Strongest on cross-jurisdictional applicability (C5: 10). Operates international."
13,https://alaveteli.org,Alaveteli,47.7,47.5,0.2,0.88,LOW,HIGH,criteria,"Alaveteli serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: Run your own Freedom of Information website - An open-source platform for making public freedom of i. Governance model: project_of_larger_org. Strongest on cross-jurisdictional applicability (C5: 9). Operates international. Popularity risk flag: this is a well-known project with rich documentation; stripping the documentation advantage, I estimate the score would drop by roughly 8-12 points."
14,https://expo.diia.gov.ua,Diia,46.0,41.8,4.2,0.96,LOW,LOW,criteria,"Diia serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: Ukraine's digital government ecosystem: mobile app, portal, and digital transformation projects. Governance model: foundation. Strongest on lifecycle governance (C3: 10.0). Modifiers: M4:+4. Operates national."
15,https://cobudget.com,Cobudget,45.7,41.5,4.2,0.92,LOW,LOW,criteria,"Cobudget has meaningful participatory elements but limited enforcement infrastructure. The project describes itself as: Bring people, ideas and money together, encouraging participation at every stage. Governance model: cooperative. Strongest on participatory governance (C2: 12.6). Modifiers: M4:+4. Operates international."
16,https://getodk.org,ODK (Open Data Kit),43.5,43.3,0.2,0.88,LOW,HIGH,criteria,"ODK (Open Data Kit) serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: Open-source tools for collecting, managing, and using data in resource-constrained environments. Governance model: foundation. Strongest on lifecycle governance (C3: 10.0). Operates international. Popularity risk flag: this is a well-known project with rich documentation; stripping the documentation advantage, I estimate the score would drop by roughly 8-12 points."
17,https://cortico.ai/platform,Cortico,41.3,41.1,0.2,0.88,LOW,LOW,criteria,Cortico has meaningful participatory elements but limited enforcement infrastructure. The project describes itself as: Bringing underheard voices to the center of stronger civic spaces through recorded small-group dialo. Governance model: foundation. Strongest on participatory governance (C2: 11.7). Operates national.
18,https://arxiv.org,arXiv,41.1,36.9,4.2,0.92,LOW,LOW,criteria,"arXiv addresses some of my criteria but falls short on enforcement and lifecycle coverage. The project describes itself as: Free distribution service and open-access archive for scholarly articles in physics, mathematics, co. Governance model: project_of_larger_org. Strongest on cross-jurisdictional applicability (C5: 9). Modifiers: M4:+4. Operates international."
19,https://bellingcat.gitbook.io/toolkit,Bellingcat Online Investigation Toolkit,40.8,40.6,0.2,0.92,LOW,LOW,criteria,Bellingcat Online Investigation Toolkit addresses some of my criteria but falls short on enforcement and lifecycle coverage. The project describes itself as: A toolkit for open source researchers - your place to discover tools for online investigations. Governance model: foundation. Strongest on evidence quality (C6: 12). Operates international.
20,https://ckan.org,CKAN,40.4,40.2,0.2,0.92,LOW,HIGH,criteria,"CKAN serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: The world's leading open source data management system for powering data hubs and data portals. Governance model: foundation. Strongest on cross-jurisdictional applicability (C5: 11). Operates international. Popularity risk flag: this is a well-known project with rich documentation; stripping the documentation advantage, I estimate the score would drop by roughly 8-12 points."
