rank,url,project_name,score,criteria_score,modifier_adj,dossier_completeness,uncertainty,popularity_risk,primary_driver,rationale
1,https://turbophonebank.com,Turbo Phonebank,30.5,24.5,6,0.75,LOW,LOW,criteria,Turbo Phonebank engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M1:+6.
2,https://turkopticon.ucsd.edu,Turkopticon,55.1,43.1,12,0.92,LOW,MEDIUM,modifier,"Turkopticon is an open-source civic commons — public knowledge built into public infrastructure, not locked in proprietary systems. modifiers apply: M1:+6, M5:+6."
3,https://unpaywall.org/products/extension,Unpaywall Browser Extension,62.0,50.0,12,0.67,MEDIUM,LOW,criteria,"Unpaywall Browser Extension is an open-source civic commons — public knowledge built into public infrastructure, not locked in proprietary systems. modifiers apply: M1:+6, M5:+6."
4,https://upgrader.gapminder.org,Gapminder Worldview Upgrader,58.9,52.9,6,1.0,LOW,LOW,criteria,"Gapminder Worldview Upgrader is an open-source civic commons — public knowledge built into public infrastructure, not locked in proprietary systems. modifiers apply: M5:+6."
5,https://urbit.org,Urbit,31.4,31.4,0,0.75,LOW,LOW,criteria,Urbit engages with relevant domains but the score is limited by partial alignment with my core criteria.
6,https://vframe.io,VFRAME,55.0,49.0,6,1.0,LOW,MEDIUM,criteria,VFRAME engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M1:+6.
7,https://viewpoints.xyz,Viewpoints,31.4,29.4,2,0.75,LOW,LOW,criteria,"Viewpoints engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M1:+6, M5:-4."
8,https://violationtrackeruk.goodjobsfirst.org,Violation Tracker UK,32.3,33.3,-1,0.55,MEDIUM,NONE,criteria,"Violation Tracker UK engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M3:+3, M5:-4."
9,https://voteforpolicies.org.uk,Vote for Policies,28.5,26.5,2,0.83,LOW,MEDIUM,criteria,"Vote for Policies engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M1:+6, M5:-4."
10,https://wardwatch.uk,WardWatch,31.4,29.4,2,0.75,LOW,LOW,criteria,"WardWatch engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M1:+6, M5:-4."
11,https://web.archive.org,Internet Archive Wayback Machine,77.6,68.6,9,1.0,LOW,MEDIUM,criteria,"Internet Archive Wayback Machine directly supports how governments and citizens understand or shape policy and regulatory frameworks, which aligns closely with my professional work. modifiers apply: M3:+3, M5:+6."
12,https://whoisology.com,Whoisology,34.4,32.4,2,0.75,LOW,LOW,criteria,"Whoisology engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M1:+6, M5:-4."
13,https://whopostedwhat.com,Who Posted What?,42.2,40.2,2,0.75,LOW,MEDIUM,criteria,"Who Posted What? engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M1:+6, M5:-4."
14,https://www.agenciesforgood.org,Agencies for Good,20.5,24.5,-4,0.83,LOW,LOW,criteria,Agencies for Good engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M5:-4.
15,https://www.campaigntracker.nl/en,Campaign Tracker,71.8,58.8,13,1.0,LOW,LOW,criteria,"Campaign Tracker builds the kind of shared digital infrastructure I care most about — open, government-facing, designed to improve public service delivery. modifiers apply: M1:+6, M6:+7."
16,https://www.communitytech.network,Community Tech,32.4,30.4,2,0.92,LOW,LOW,criteria,"Community Tech engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M1:+6, M5:-4."
17,https://www.consoc.io,Consciousness Evolution Operating System (ConSoc),25.4,29.4,-4,0.42,MEDIUM,NONE,criteria,Consciousness Evolution Operating System (ConSoc) engages with relevant domains but the score is limited by thin dossier evidence. modifiers apply: M5:-4.
18,https://www.crowdjustice.com,CrowdJustice,36.3,35.3,1,0.72,LOW,MEDIUM,criteria,"CrowdJustice engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M3:+5, M5:-4."
19,https://www.csail.mit.edu/research/wikum-bridging-discussion-systems-and-wikis-collective-summarization,Wikum,38.4,32.4,6,0.75,LOW,LOW,criteria,Wikum engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M1:+6.
20,https://www.deliberaide.com,deliberAIde,51.1,44.1,7,1.0,LOW,LOW,criteria,"deliberAIde engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M1:+6, M4:-6."
21,https://www.demnext.org/projects/delibtech-network,Deliberation & Technology (DelibTech) Network,37.3,37.3,0,0.75,LOW,LOW,criteria,"Deliberation & Technology (DelibTech) Network engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M1:+6, M4:-6."
22,https://www.dfos.com,Democracy Fund Open Source,37.3,34.3,3,0.75,LOW,LOW,criteria,Democracy Fund Open Source engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M5:+3.
23,https://www.discourse.org,Discourse,34.3,34.3,0,0.75,LOW,MEDIUM,criteria,Discourse engages with relevant domains but the score is limited by partial alignment with my core criteria.
24,https://www.donotpay.com,DoNotPay,31.3,35.3,-4,0.67,MEDIUM,LOW,criteria,DoNotPay engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M5:-4.
