rank,url,project_name,score,criteria_score,modifier_adj,dossier_completeness,uncertainty,popularity_risk,primary_driver,rationale
1,https://github.com/blacksky-algorithms/rsky,rsky,46.3,37.3,9,0.75,LOW,LOW,criteria,"rsky is an open-source civic commons — public knowledge built into public infrastructure, not locked in proprietary systems. modifiers apply: M1:+6, M5:+3."
2,https://github.com/bluesky-social,Bluesky Social,49.1,43.1,6,0.75,LOW,HIGH,criteria,"Bluesky Social is an open-source civic commons — public knowledge built into public infrastructure, not locked in proprietary systems. modifiers apply: M5:+6. this is a popularity-risk flag — Bluesky Social is widely known and well-documented; stripping dossier richness advantage would reduce my score by roughly 8-12 points."
3,https://github.com/cavi-au/consent-o-matic,Consent-O-Matic,59.1,47.1,12,0.75,LOW,LOW,modifier,"Consent-O-Matic is an open-source civic commons — public knowledge built into public infrastructure, not locked in proprietary systems. modifiers apply: M1:+6, M5:+6."
4,https://github.com/compdemocracy/polis,Polis,74.9,55.9,19,1.0,LOW,LOW,modifier,"Polis is an open-source civic commons — public knowledge built into public infrastructure, not locked in proprietary systems. modifiers apply: M1:+6, M5:+6."
5,https://github.com/cverluise/patcit,PatCit,52.1,43.1,9,0.83,LOW,LOW,criteria,"PatCit is an open-source civic commons — public knowledge built into public infrastructure, not locked in proprietary systems. modifiers apply: M1:+6, M5:+3."
6,https://github.com/datakind/data-observation-toolkit,Data Observation Toolkit (DOT),60.0,48.0,12,1.0,LOW,LOW,criteria,"Data Observation Toolkit (DOT) scores reasonably well across my core criteria, particularly on government infrastructure. modifiers apply: M1:+6, M5:+6."
7,https://github.com/deepseek-ai/deepseek-v3,DeepSeek-V3,31.4,31.4,0,0.75,LOW,HIGH,criteria,DeepSeek-V3 engages with relevant domains but the score is limited by partial alignment with my core criteria. this is a popularity-risk flag — DeepSeek-V3 is widely known and well-documented; stripping dossier richness advantage would reduce my score by roughly 8-12 points.
8,https://github.com/disarmfoundation/disarmframeworks,DISARM Frameworks,62.9,52.9,10,1.0,LOW,LOW,criteria,"DISARM Frameworks directly supports how governments and citizens understand or shape policy and regulatory frameworks, which aligns closely with my professional work. modifiers apply: M5:+3, M6:+7."
9,https://github.com/fission-codes/fission-codes,Fission Codes,45.3,33.3,12,0.75,LOW,LOW,modifier,"Fission Codes engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M1:+6, M5:+6."
10,https://github.com/g0v/vue.vtaiwan.tw,vTaiwan,71.0,51.0,20,1.0,LOW,LOW,modifier,"vTaiwan is an open-source civic commons — public knowledge built into public infrastructure, not locked in proprietary systems. modifiers apply: M1:+6, M3:+5."
11,https://github.com/geeksforsocialchange/placecal,PlaceCal,54.2,42.2,12,0.75,LOW,LOW,modifier,"PlaceCal engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M1:+6, M5:+6."
12,https://github.com/huridocs,HURIDOCS,74.7,63.7,11,1.0,LOW,MEDIUM,criteria,"HURIDOCS directly supports how governments and citizens understand or shape policy and regulatory frameworks, which aligns closely with my professional work. modifiers apply: M3:+5, M5:+6."
13,https://github.com/i-dot-ai/awesome-gov-datasets,Awesome UK Government Datasets,65.1,46.1,19,0.92,LOW,LOW,modifier,"Awesome UK Government Datasets is an open-source civic commons — public knowledge built into public infrastructure, not locked in proprietary systems. modifiers apply: M1:+6, M5:+6."
14,https://github.com/ideal-postcodes/postcodes.io,postcodes.io,62.1,46.1,16,0.75,LOW,LOW,modifier,"postcodes.io builds the kind of shared digital infrastructure I care most about — open, government-facing, designed to improve public service delivery. modifiers apply: M1:+6, M5:+6."
15,https://github.com/kazad/pastecal,Pastecal,47.2,38.2,9,0.75,LOW,LOW,criteria,"Pastecal engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M1:+6, M5:+3."
16,https://github.com/mastodon/mastodon,Mastodon,69.7,63.7,6,1.0,LOW,HIGH,criteria,"Mastodon is an open-source civic commons — public knowledge built into public infrastructure, not locked in proprietary systems. modifiers apply: M5:+6. this is a popularity-risk flag — Mastodon is widely known and well-documented; stripping dossier richness advantage would reduce my score by roughly 8-12 points."
17,https://github.com/mikekelly/policy-dojo,UK Policy Dojo,42.4,30.4,12,0.83,LOW,LOW,modifier,"UK Policy Dojo engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M1:+6, M5:+6."
18,https://github.com/notchia/dao-governance-surfaces,DAO Governance Surfaces,50.2,41.2,9,0.75,LOW,LOW,criteria,"DAO Governance Surfaces engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M1:+6, M5:+3."
19,https://github.com/openpolitics/groupthink,Groupthink (OpenPolitics Votebot),46.3,37.3,9,0.92,LOW,LOW,criteria,"Groupthink (OpenPolitics Votebot) is an open-source civic commons — public knowledge built into public infrastructure, not locked in proprietary systems. modifiers apply: M1:+6, M5:+3."
20,https://github.com/podemos-info/participa,Participa (Podemos),47.2,38.2,9,0.92,LOW,LOW,criteria,"Participa (Podemos) is an open-source civic commons — public knowledge built into public infrastructure, not locked in proprietary systems. modifiers apply: M1:+6, M5:+3."
21,https://github.com/populatetools,Populate Tools,70.0,51.0,19,0.83,LOW,LOW,modifier,"Populate Tools builds the kind of shared digital infrastructure I care most about — open, government-facing, designed to improve public service delivery. modifiers apply: M1:+6, M5:+6."
22,https://github.com/propublica/django-collaborative,django-collaborative,36.3,33.3,3,0.75,LOW,LOW,criteria,django-collaborative engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M5:+3.
23,https://github.com/radicalxchange/rxc-voice,RxC Voice,44.2,38.2,6,0.75,LOW,LOW,criteria,RxC Voice engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M5:+6.
24,https://github.com/rahvaalgatus/rahvaalgatus,Rahvaalgatus,47.3,35.3,12,0.75,LOW,LOW,modifier,"Rahvaalgatus engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M1:+6, M5:+6."
25,https://github.com/ribenamaplesyrup/sugartrail,Sugartrail,41.3,35.3,6,0.83,LOW,LOW,criteria,Sugartrail engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M5:+6.
26,https://github.com/sentinelteam/grim,GRIM (Global Risk Simulator),46.3,34.3,12,0.83,LOW,LOW,modifier,"GRIM (Global Risk Simulator) engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M1:+6, M5:+6."
27,https://github.com/stanfordcdt/pb,Stanford Participatory Budgeting Platform,68.0,52.0,16,1.0,LOW,LOW,modifier,"Stanford Participatory Budgeting Platform builds the kind of shared digital infrastructure I care most about — open, government-facing, designed to improve public service delivery. modifiers apply: M1:+6, M5:+3."
28,https://github.com/thicknavyrain/uk_elections_leaflets,OpenElections Leaflet Scraper and Parser,50.2,38.2,12,0.75,LOW,LOW,modifier,"OpenElections Leaflet Scraper and Parser engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M1:+6, M3:+3."
29,https://github.com/travisbrown/birdwatch,Community Notes (Birdwatch) Analysis Tool,66.0,51.0,15,0.92,LOW,LOW,modifier,"Community Notes (Birdwatch) Analysis Tool scores reasonably well across my core criteria, particularly on government infrastructure. modifiers apply: M1:+6, M3:+3."
30,https://github.com/tulir/whatsmeow,whatsmeow,55.1,43.1,12,0.5,MEDIUM,NONE,modifier,"whatsmeow is an open-source civic commons — public knowledge built into public infrastructure, not locked in proprietary systems. modifiers apply: M1:+6, M5:+6."
31,https://github.com/vbuterin/dao,The DAO (Standard DAO Framework),45.3,36.3,9,0.75,LOW,LOW,criteria,"The DAO (Standard DAO Framework) engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M1:+6, M5:+3."
32,https://github.com/whotargetsme/ad-transparency-standards/blob/main/implement.md,Political Advertising Transparency Data Standard,76.7,64.7,12,1.0,LOW,LOW,criteria,"Political Advertising Transparency Data Standard builds the kind of shared digital infrastructure I care most about — open, government-facing, designed to improve public service delivery. modifiers apply: M1:+6, M5:+6."
33,https://github.com/ytdl-org/youtube-dl,youtube-dl,50.2,38.2,12,0.75,LOW,MEDIUM,modifier,"youtube-dl is an open-source civic commons — public knowledge built into public infrastructure, not locked in proprietary systems. modifiers apply: M1:+6, M5:+6."
34,https://globalfactcheck.bot/,Global Fact-Check Bot (GFC),41.1,45.1,-4,0.83,LOW,LOW,criteria,Global Fact-Check Bot (GFC) engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M5:-4.
35,https://gordonguthrie.github.io/frankensteinbill,Frankenstein Bill,56.1,44.1,12,1.0,LOW,LOW,modifier,"Frankenstein Bill is an open-source civic commons — public knowledge built into public infrastructure, not locked in proprietary systems. modifiers apply: M1:+6, M5:+6."
36,https://gov.uk/find-local-consultations,Find local consultations,47.1,44.1,3,0.83,LOW,LOW,criteria,"Find local consultations builds the kind of shared digital infrastructure I care most about — open, government-facing, designed to improve public service delivery. modifiers apply: M5:-4, M6:+7."
37,https://granicus.com/uk,Granicus,39.3,36.3,3,0.92,LOW,LOW,criteria,"Granicus engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M5:-4, M6:+7."
38,https://granitt.io,Granitt,58.0,49.0,9,0.75,LOW,LOW,criteria,"Granitt builds the kind of shared digital infrastructure I care most about — open, government-facing, designed to improve public service delivery. modifiers apply: M1:+6, M5:-4."
39,https://grantnav.threesixtygiving.org,GrantNav,58.9,52.9,6,1.0,LOW,MEDIUM,criteria,"GrantNav builds the kind of shared digital infrastructure I care most about — open, government-facing, designed to improve public service delivery. modifiers apply: M1:+6."
40,https://greenpt.ai/,GreenPT,52.2,39.2,13,0.75,LOW,LOW,modifier,"GreenPT engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M1:+6, M6:+7."
41,https://guardianproject.info,Guardian Project,75.8,60.8,15,0.92,LOW,MEDIUM,criteria,"Guardian Project is an open-source civic commons — public knowledge built into public infrastructure, not locked in proprietary systems. modifiers apply: M1:+6, M3:+3."
42,https://hact.org.uk/tools-and-services/uk-housing-data-standards,UK Housing Data Standards,46.1,43.1,3,1.0,LOW,LOW,criteria,UK Housing Data Standards engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M3:+3.
43,https://hand-written-petition-scanner.streamlit.app,Hand-Written Petition Scanner,38.4,32.4,6,0.37999999999999995,HIGH,NONE,criteria,Hand-Written Petition Scanner engages with relevant domains but the score is limited by thin dossier evidence. modifiers apply: M1:+6. I'm uncertain here — the dossier is thin and I cannot fully assess fit against my criteria.
44,https://harmonica.chat/,Harmonica,54.0,52.0,2,0.83,LOW,LOW,criteria,"Harmonica builds the kind of shared digital infrastructure I care most about — open, government-facing, designed to improve public service delivery. modifiers apply: M1:+6, M5:-4."
45,https://humbledata.org,Humble Data Workshop,49.2,40.2,9,0.75,LOW,LOW,criteria,"Humble Data Workshop engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M1:+6, M5:+3."
46,https://idealist.org,Idealist,27.4,31.4,-4,0.75,LOW,MEDIUM,criteria,Idealist engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M5:-4.
47,https://joss.theoj.org,Journal of Open Source Software,49.1,43.1,6,0.75,LOW,LOW,criteria,"Journal of Open Source Software is an open-source civic commons — public knowledge built into public infrastructure, not locked in proprietary systems. modifiers apply: M5:+6."
48,https://journaliststudio.google.com,Journalist Studio,44.1,44.1,0,0.75,LOW,LOW,criteria,Journalist Studio engages with relevant domains but the score is limited by partial alignment with my core criteria.
49,https://kialo.com,Kialo,26.4,30.4,-4,0.75,LOW,LOW,criteria,Kialo engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M5:-4.
50,https://labourxchange.uk,Labour Xchange,46.1,43.1,3,0.83,LOW,LOW,criteria,"Labour Xchange builds the kind of shared digital infrastructure I care most about — open, government-facing, designed to improve public service delivery. modifiers apply: M5:-4, M6:+7."
51,https://ladderhub.org/,Ladder Hub,31.3,35.3,-4,0.67,MEDIUM,LOW,criteria,Ladder Hub engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M5:-4.
52,https://landexplorer.coop,Land Explorer,51.0,49.0,2,1.0,LOW,LOW,criteria,"Land Explorer builds the kind of shared digital infrastructure I care most about — open, government-facing, designed to improve public service delivery. modifiers apply: M1:+6, M5:-4."
53,https://liberopinion.com,Libertrium,49.1,46.1,3,0.83,LOW,MEDIUM,criteria,"Libertrium builds the kind of shared digital infrastructure I care most about — open, government-facing, designed to improve public service delivery. modifiers apply: M5:-4, M6:+7."
54,https://library.theengineroom.org,The Engine Room Library,52.2,40.2,12,0.75,LOW,LOW,modifier,"The Engine Room Library is an open-source civic commons — public knowledge built into public infrastructure, not locked in proprietary systems. modifiers apply: M1:+6, M5:+6."
55,https://liquidfeedback.com,LiquidFeedback,67.9,55.9,12,1.0,LOW,MEDIUM,criteria,"LiquidFeedback is an open-source civic commons — public knowledge built into public infrastructure, not locked in proprietary systems. modifiers apply: M1:+6, M5:+6."
56,https://littlesis.org,LittleSis,49.2,40.2,9,0.92,LOW,MEDIUM,criteria,"LittleSis is an open-source civic commons — public knowledge built into public infrastructure, not locked in proprietary systems. modifiers apply: M3:+3, M5:+6."
57,https://local-deep-researcher-hnmh.vercel.app/,Local Deep Researcher,32.4,28.4,4,0.3,HIGH,NONE,criteria,Local Deep Researcher engages with relevant domains but the score is limited by thin dossier evidence. modifiers apply: M6:+4. I'm uncertain here — the dossier is thin and I cannot fully assess fit against my criteria.
58,https://localinsight.org,Local Insight,49.1,46.1,3,0.83,LOW,LOW,criteria,"Local Insight builds the kind of shared digital infrastructure I care most about — open, government-facing, designed to improve public service delivery. modifiers apply: M5:-4, M6:+7."
59,https://logos.co/,Logos,50.2,41.2,9,0.83,LOW,LOW,criteria,"Logos engages with relevant domains but the score is limited by partial alignment with my core criteria. modifiers apply: M1:+6, M5:+3."
60,https://manifold.markets,Manifold Markets,34.3,34.3,0,0.75,LOW,LOW,criteria,Manifold Markets engages with relevant domains but the score is limited by partial alignment with my core criteria.
61,https://mapit.mysociety.org,MapIt,67.9,54.9,13,1.0,LOW,MEDIUM,criteria,"MapIt builds the kind of shared digital infrastructure I care most about — open, government-facing, designed to improve public service delivery. modifiers apply: M1:+6, M6:+7."
