rank,name,url,score,criteria_score,mod_adj,completeness,uncertainty,pop_risk,primary_driver,c1,c2,c3,c4,c5,c6,c7,rationale
1,dDocs,https://ddocs.new/,65.3,59.0,6.2,0.45,MEDIUM,LOW,c2,14,23,20,4,2,18,4,dDocs: strong forkability and local-governance signals earn M_AGENCY boost of +9 (agency-first); primary driver is C2 at 23/30 pts.
2,Gapminder Worldview Upgrader,https://upgrader.gapminder.org,65.3,57.6,7.6,0.73,LOW,LOW,c2,12,27,13,8,5,14,4,Gapminder Worldview Upgrader: open source is a baseline agency signal (M_AGENCY=6); primary driver is C2 at 27/30 pts.
3,Open Science Framework,https://osf.io,65.3,57.6,7.6,0.82,LOW,HIGH,c2,14,20,16,6,4,18,5,Open Science Framework: open source is a baseline agency signal (M_AGENCY=6); primary driver is C2 at 20/30 pts.
4,Teaching Public Service in the Digital Age,https://www.teachingpublicservice.digital,65.3,57.6,7.6,0.73,LOW,LOW,c2,14,23,16,4,5,15,6,Teaching Public Service in the Digital Age: open source is a baseline agency signal (M_AGENCY=6); primary driver is C2 at 23/30 pts.
5,Abstract Wikipedia,https://meta.wikimedia.org/wiki/abstract_wikipedia,64.6,56.9,7.6,0.73,LOW,LOW,c2,20,24,13,4,3,14,4,Abstract Wikipedia: open source is a baseline agency signal (M_AGENCY=6); primary driver is C2 at 24/30 pts.
6,docs.plus,https://docs.plus,64.6,58.3,6.2,0.64,LOW,LOW,c1,21,19,20,4,2,14,4,docs.plus: open source is a baseline agency signal (M_AGENCY=6); primary driver is C1 at 21/30 pts.
7,GRIM (Global Risk Simulator),https://github.com/sentinelteam/grim,64.6,54.9,9.7,0.73,LOW,LOW,c2,18,23,10,6,3,14,5,GRIM (Global Risk Simulator): open source is a baseline agency signal (M_AGENCY=6); primary driver is C2 at 23/30 pts.
8,SecureDrop,https://securedrop.org,64.6,58.3,6.2,0.64,LOW,LOW,c2,18,20,16,4,2,18,6,SecureDrop: open source is a baseline agency signal (M_AGENCY=6); primary driver is C2 at 20/30 pts.
9,The Engine Room Library,https://library.theengineroom.org,64.6,58.3,6.2,0.64,LOW,LOW,c1,24,19,16,4,3,14,4,The Engine Room Library: open source is a baseline agency signal (M_AGENCY=6); primary driver is C1 at 24/30 pts.
10,NumFOCUS,https://numfocus.org,63.9,56.2,7.6,0.82,LOW,HIGH,c2,14,24,10,10,4,14,5,NumFOCUS: open source is a baseline agency signal (M_AGENCY=6); primary driver is C2 at 24/30 pts.
11,oTree,https://www.otree.org,63.9,59.7,4.2,0.73,LOW,LOW,c2,14,24,19,4,5,14,6,oTree: open source is a baseline agency signal (M_AGENCY=6); primary driver is C2 at 24/30 pts.
12,Participedia,https://participedia.net,63.9,59.7,4.2,0.64,LOW,LOW,c3,17,19,23,4,3,14,6,Participedia: open source is a baseline agency signal (M_AGENCY=6); primary driver is C3 at 23/30 pts.
13,Relational Tech Project,https://relationaltechproject.org,63.9,57.6,6.2,0.55,MEDIUM,LOW,c1,24,16,20,4,2,14,3,Relational Tech Project: open source is a baseline agency signal (M_AGENCY=6); primary driver is C1 at 24/30 pts.
14,Theft Bisect,https://onodi.co/bisect/,63.9,57.6,6.2,0.73,LOW,LOW,c1,21,19,16,4,3,18,2,Theft Bisect: open source is a baseline agency signal (M_AGENCY=6); primary driver is C1 at 21/30 pts.
15,Activist Handbook,https://activisthandbook.org/,63.2,61.1,2.1,0.73,LOW,LOW,c3,22,15,23,4,3,15,6,Activist Handbook: agency-first scoring; primary driver is C3 at 23/30 pts; M_AGENCY=0.
16,CivicPress,https://civicpress.io/,63.2,56.9,6.2,0.64,LOW,LOW,c1,21,19,19,4,2,15,2,CivicPress: open source is a baseline agency signal (M_AGENCY=6); primary driver is C1 at 21/30 pts.
17,Data Observation Toolkit (DOT),https://github.com/datakind/data-observation-toolkit,63.2,56.9,6.2,0.73,LOW,LOW,c1,21,19,13,6,4,14,5,Data Observation Toolkit (DOT): open source is a baseline agency signal (M_AGENCY=6); primary driver is C1 at 21/30 pts.
18,Fairbnb.coop,https://fairbnb.coop,63.2,56.2,6.9,0.91,LOW,HIGH,c2,12,21,13,8,5,18,4,Fairbnb.coop: agency-first scoring; primary driver is C2 at 21/30 pts; M_AGENCY=0.
19,MP Twitter Bios,https://www.mptwitterbios.co.uk,63.2,56.9,6.2,0.64,LOW,LOW,c1,21,19,20,4,2,14,2,MP Twitter Bios: open source is a baseline agency signal (M_AGENCY=6); primary driver is C1 at 21/30 pts.
20,Open Contracting Partnership,https://www.open-contracting.org,63.2,57.6,5.6,0.91,LOW,HIGH,c1,19,11,19,6,4,18,6,Open Contracting Partnership: agency-first scoring; primary driver is C1 at 19/30 pts; M_AGENCY=0.
21,Papertree,https://www.papertree.earth,63.2,59.0,4.2,0.55,MEDIUM,LOW,c3,14,16,23,4,2,22,4,Papertree: open source is a baseline agency signal (M_AGENCY=6); primary driver is C3 at 23/30 pts.
22,Coral,https://coralproject.net,62.5,54.9,7.6,0.64,LOW,LOW,c2,14,24,13,6,2,14,6,Coral: open source is a baseline agency signal (M_AGENCY=6); primary driver is C2 at 24/30 pts.
23,Fundación Ciudadanía Inteligente,https://ciudadaniai.org,62.5,59.0,3.5,0.91,LOW,HIGH,c3,15,11,28,8,5,14,4,Fundación Ciudadanía Inteligente: agency-first scoring; primary driver is C3 at 28/30 pts; M_AGENCY=0.
24,Membership,https://medium.com/@abscond/membership-a-prototype-ea822b2683b,62.5,54.2,8.3,0.55,MEDIUM,LOW,c3,18,16,20,4,2,14,4,Membership: strong forkability and local-governance signals earn M_AGENCY boost of +9 (agency-first); primary driver is C3 at 20/30 pts.
25,OSINT Framework,https://osintframework.com,62.5,56.2,6.2,0.64,LOW,LOW,c2,18,24,13,4,3,15,4,OSINT Framework: open source is a baseline agency signal (M_AGENCY=6); primary driver is C2 at 24/30 pts.
26,Principles for Public Participation in Procurement of AI,https://p4ai.net,62.5,58.3,4.2,0.64,LOW,LOW,c3,17,16,24,4,4,14,5,Principles for Public Participation in Procurement of AI: open source is a baseline agency signal (M_AGENCY=6); primary driver is C3 at 24/30 pts.
27,sourceAFRICA,https://sourceafrica.net,62.5,58.3,4.2,0.73,LOW,LOW,c3,14,19,28,4,3,14,2,sourceAFRICA: open source is a baseline agency signal (M_AGENCY=6); primary driver is C3 at 28/30 pts.
28,Tor Project,https://www.torproject.org,62.5,58.3,4.2,0.73,LOW,LOW,c2,20,24,13,4,4,14,5,Tor Project: open source is a baseline agency signal (M_AGENCY=6); primary driver is C2 at 24/30 pts.
29,Your Priorities,https://yrpri.org,62.5,59.0,3.5,0.91,LOW,HIGH,c3,15,11,28,6,5,14,6,Your Priorities: agency-first scoring; primary driver is C3 at 28/30 pts; M_AGENCY=0.
30,Consent-O-Matic,https://github.com/cavi-au/consent-o-matic,61.8,55.6,6.2,0.64,LOW,LOW,c2,18,24,13,4,3,14,4,Consent-O-Matic: open source is a baseline agency signal (M_AGENCY=6); primary driver is C2 at 24/30 pts.
31,Open Ownership,https://www.openownership.org,61.8,58.3,3.5,0.91,LOW,LOW,c3,13,10,23,6,5,22,5,Open Ownership: agency-first scoring; primary driver is C3 at 23/30 pts; M_AGENCY=0.
32,Public AI Inference Utility,https://publicai.co/,61.8,55.6,6.2,0.82,LOW,LOW,c2,18,19,16,4,4,14,5,Public AI Inference Utility: open source is a baseline agency signal (M_AGENCY=6); primary driver is C2 at 19/30 pts.
